 Year,National,#grids
1900,    45.374,       334
1901,    48.794,       346
1902,    39.829,       364
1903,    33.242,       374
1904,    34.724,       375
1905,    37.684,       388
1906,    38.667,       385
1907,    36.270,       384
1908,    41.784,       386
1909,    41.462,       392
1910,    44.064,       385
1911,    53.737,       395
1912,    38.652,       397
1913,    51.000,       396
1914,    49.131,       397
1915,    33.516,       399
1916,    45.811,       397
1917,    40.530,       399
1918,    46.087,       394
1919,    45.053,       396
1920,    36.515,       398
1921,    53.079,       396
1922,    46.606,       400
1923,    37.224,       401
1924,    39.438,       403
1925,    54.348,       401
1926,    46.797,       401
1927,    41.008,       398
1928,    39.198,       399
1929,    42.940,       402
1930,    49.377,       401
1931,    58.792,       407
1932,    44.941,       406
1933,    57.653,       405
1934,    59.289,       405
1935,    44.890,       406
1936,    62.516,       404
1937,    52.364,       404
1938,    48.772,       405
1939,    55.054,       406
1940,    43.667,       406
1941,    49.307,       407
1942,    41.387,       410
1943,    49.783,       406
1944,    48.063,       404
1945,    41.281,       404
1946,    37.195,       398
1947,    45.842,       396
1948,    45.002,       398
1949,    42.192,       399
1950,    30.246,       405
1951,    40.506,       405
1952,    52.857,       403
1953,    54.012,       408
1954,    54.481,       407
1955,    51.993,       405
1956,    49.191,       403
1957,    38.471,       405
1958,    39.138,       401
1959,    45.568,       405
1960,    42.661,       406
1961,    37.869,       403
1962,    41.274,       409
1963,    44.406,       405
1964,    44.188,       405
1965,    33.538,       406
1966,    38.330,       407
1967,    30.532,       407
1968,    37.438,       404
1969,    38.796,       407
1970,    44.638,       404
1971,    37.580,       405
1972,    38.488,       404
1973,    38.248,       399
1974,    36.012,       400
1975,    37.830,       397
1976,    34.565,       403
1977,    44.270,       403
1978,    44.402,       398
1979,    33.430,       397
1980,    51.152,       398
1981,    38.326,       402
1982,    32.919,       401
1983,    47.415,       397
1984,    39.147,       400
1985,    36.723,       397
1986,    39.382,       401
1987,    42.306,       399
1988,    51.911,       398
1989,    33.840,       402
1990,    41.138,       400
1991,    41.046,       398
1992,    25.058,       401
1993,    34.873,       400
1994,    32.633,       400
1995,    40.101,       398
1996,    33.612,       400
1997,    33.317,       402
1998,    45.211,       399
1999,    39.724,       397
2000,    41.221,       394
2001,    37.466,       397
2002,    45.875,       398
2003,    34.560,       393
2004,    26.991,       395
2005,    42.581,       380
2006,    44.042,       390
2007,    40.971,       385
2008,    31.403,       378
2009,    29.827,       377
2010,    44.623,       376
2011,    46.972,       374
2012,    49.169,       370
2013,    33.888,       359
2014,    29.809,       357
2015,    36.566,       351
2016,    41.651,       357
2017,    34.005,       345
2018,    43.256,       338
