 Year,National,#grids
1950,     3.239,       354
1951,     4.679,       358
1952,     6.607,       359
1953,     5.853,       360
1954,     6.732,       360
1955,     4.295,       360
1956,     3.565,       360
1957,     4.663,       363
1958,     4.784,       361
1959,     4.450,       362
1960,     3.888,       362
1961,     3.329,       361
1962,     3.810,       364
1963,     3.932,       365
1964,     4.468,       362
1965,     2.784,       361
1966,     4.394,       364
1967,     2.997,       362
1968,     3.341,       361
1969,     6.153,       362
1970,     5.045,       364
1971,     3.432,       363
1972,     3.655,       360
1973,     3.923,       357
1974,     3.547,       359
1975,     3.039,       361
1976,     2.542,       359
1977,     5.040,       361
1978,     5.008,       359
1979,     3.642,       360
1980,     8.114,       358
1981,     6.128,       361
1982,     3.810,       364
1983,     5.750,       361
1984,     3.844,       361
1985,     3.862,       362
1986,     5.375,       360
1987,     5.212,       361
1988,     6.539,       360
1989,     4.809,       360
1990,     5.702,       358
1991,     4.916,       361
1992,     3.934,       362
1993,     5.332,       362
1994,     4.555,       359
1995,     6.880,       360
1996,     5.604,       361
1997,     5.575,       360
1998,     9.715,       357
1999,     7.350,       356
2000,     6.516,       354
2001,     6.615,       356
2002,     6.222,       358
2003,     6.071,       357
2004,     5.151,       356
2005,     7.421,       349
2006,     7.236,       356
2007,     6.739,       350
2008,     5.688,       343
2009,     6.124,       347
2010,    11.541,       350
2011,    10.579,       345
2012,     8.013,       342
2013,     6.062,       328
2014,     5.423,       327
2015,     8.819,       320
2016,     9.521,       323
2017,     7.530,       317
2018,     8.063,       307
