 Year,National,#grids
1950,    14.080,       354
1951,    21.254,       359
1952,    29.450,       360
1953,    28.160,       360
1954,    35.044,       360
1955,    22.404,       361
1956,    23.747,       360
1957,    17.445,       363
1958,    16.339,       360
1959,    17.049,       362
1960,    20.808,       361
1961,    14.621,       359
1962,    20.003,       363
1963,    19.819,       365
1964,    19.046,       362
1965,    13.038,       362
1966,    17.955,       364
1967,    13.044,       363
1968,    15.167,       360
1969,    18.516,       364
1970,    19.093,       364
1971,    15.581,       363
1972,    16.162,       360
1973,    15.239,       357
1974,    16.543,       359
1975,    14.149,       362
1976,    15.026,       359
1977,    21.284,       361
1978,    21.679,       360
1979,    14.640,       361
1980,    30.328,       357
1981,    19.533,       360
1982,    12.617,       364
1983,    23.570,       361
1984,    16.671,       361
1985,    16.826,       362
1986,    17.425,       360
1987,    18.524,       361
1988,    24.872,       361
1989,    14.443,       361
1990,    20.816,       358
1991,    16.451,       361
1992,    11.323,       362
1993,    15.922,       362
1994,    13.818,       359
1995,    18.701,       360
1996,    14.999,       362
1997,    14.883,       361
1998,    22.128,       357
1999,    18.496,       356
2000,    23.631,       354
2001,    17.718,       356
2002,    19.670,       358
2003,    18.191,       358
2004,    13.041,       357
2005,    17.841,       348
2006,    21.428,       357
2007,    19.517,       350
2008,    15.358,       344
2009,    15.334,       347
2010,    21.002,       350
2011,    26.050,       346
2012,    25.922,       342
2013,    15.497,       330
2014,    13.836,       326
2015,    17.641,       320
2016,    17.640,       322
2017,    14.532,       318
2018,    16.360,       307
