 Year,National,#grids
1900,    24.257,       334
1901,    22.887,       344
1902,    21.566,       367
1903,    17.361,       376
1904,    13.324,       376
1905,    21.102,       389
1906,    19.256,       385
1907,    17.736,       382
1908,    18.230,       387
1909,    21.568,       392
1910,    18.497,       384
1911,    25.109,       392
1912,    21.686,       395
1913,    22.738,       394
1914,    23.873,       395
1915,    18.662,       399
1916,    24.334,       393
1917,    16.972,       398
1918,    19.409,       393
1919,    21.543,       397
1920,    16.680,       398
1921,    26.252,       396
1922,    20.762,       400
1923,    20.786,       402
1924,    19.412,       402
1925,    24.719,       401
1926,    22.545,       401
1927,    19.690,       398
1928,    20.835,       401
1929,    19.482,       401
1930,    22.777,       400
1931,    28.230,       407
1932,    23.579,       405
1933,    26.615,       405
1934,    29.722,       406
1935,    25.437,       407
1936,    30.783,       405
1937,    25.452,       403
1938,    23.164,       403
1939,    24.358,       407
1940,    19.421,       406
1941,    26.925,       405
1942,    22.068,       409
1943,    26.942,       405
1944,    22.163,       406
1945,    20.717,       404
1946,    18.970,       399
1947,    24.050,       394
1948,    19.246,       398
1949,    24.805,       399
1950,    14.932,       405
1951,    19.994,       406
1952,    23.617,       402
1953,    24.191,       406
1954,    25.354,       407
1955,    24.075,       405
1956,    18.219,       402
1957,    20.750,       405
1958,    20.597,       401
1959,    23.230,       405
1960,    17.670,       406
1961,    15.588,       401
1962,    17.518,       409
1963,    18.331,       405
1964,    21.550,       406
1965,    17.002,       406
1966,    18.173,       407
1967,    13.141,       407
1968,    19.367,       404
1969,    19.332,       406
1970,    21.289,       404
1971,    16.945,       404
1972,    16.031,       402
1973,    19.173,       398
1974,    14.799,       400
1975,    18.120,       397
1976,    12.021,       402
1977,    23.324,       402
1978,    21.021,       400
1979,    17.151,       398
1980,    25.356,       399
1981,    20.687,       403
1982,    18.508,       402
1983,    22.614,       398
1984,    16.405,       401
1985,    18.214,       398
1986,    22.787,       401
1987,    22.241,       399
1988,    23.686,       399
1989,    19.713,       402
1990,    22.026,       400
1991,    25.939,       398
1992,    14.987,       402
1993,    23.322,       399
1994,    19.413,       400
1995,    24.340,       398
1996,    19.411,       400
1997,    18.742,       402
1998,    28.231,       399
1999,    23.935,       397
2000,    22.573,       395
2001,    23.100,       397
2002,    26.494,       398
2003,    21.516,       393
2004,    18.137,       395
2005,    24.778,       381
2006,    24.761,       389
2007,    23.687,       385
2008,    19.523,       377
2009,    19.602,       377
2010,    31.481,       375
2011,    29.606,       374
2012,    26.243,       371
2013,    22.803,       359
2014,    19.816,       358
2015,    24.002,       350
2016,    29.050,       357
2017,    21.990,       345
2018,    29.185,       337
