 Year,National,#grids
1900,     2.069,       341
1901,     1.835,       345
1902,     2.128,       365
1903,     1.802,       373
1904,     1.463,       376
1905,     2.069,       382
1906,     1.943,       383
1907,     1.730,       389
1908,     1.748,       383
1909,     1.879,       393
1910,     1.347,       386
1911,     1.551,       395
1912,     1.775,       397
1913,     1.742,       392
1914,     1.574,       394
1915,     2.134,       393
1916,     1.582,       395
1917,     1.143,       390
1918,     1.564,       390
1919,     2.044,       391
1920,     1.852,       387
1921,     1.577,       388
1922,     1.666,       398
1923,     1.647,       397
1924,     1.384,       397
1925,     1.323,       397
1926,     1.832,       399
1927,     1.798,       396
1928,     1.794,       400
1929,     1.759,       396
1930,     1.203,       401
1931,     1.406,       406
1932,     1.860,       409
1933,     1.529,       407
1934,     1.426,       410
1935,     1.657,       408
1936,     1.619,       405
1937,     1.741,       403
1938,     1.766,       406
1939,     1.255,       407
1940,     1.587,       408
1941,     1.806,       405
1942,     1.945,       404
1943,     1.516,       407
1944,     1.857,       406
1945,     1.991,       406
1946,     1.911,       402
1947,     1.647,       394
1948,     1.737,       401
1949,     1.690,       405
1950,     1.885,       408
1951,     1.587,       408
1952,     1.379,       407
1953,     1.571,       412
1954,     1.350,       411
1955,     1.563,       410
1956,     1.213,       408
1957,     1.958,       412
1958,     1.505,       406
1959,     1.693,       406
1960,     1.430,       409
1961,     1.936,       408
1962,     1.407,       413
1963,     1.293,       407
1964,     2.047,       412
1965,     1.594,       412
1966,     1.507,       413
1967,     1.603,       412
1968,     1.666,       409
1969,     1.849,       412
1970,     1.565,       410
1971,     1.535,       410
1972,     1.793,       408
1973,     2.232,       405
1974,     1.761,       404
1975,     1.834,       403
1976,     1.287,       406
1977,     1.704,       406
1978,     1.600,       404
1979,     2.273,       401
1980,     1.587,       406
1981,     1.580,       409
1982,     2.004,       407
1983,     2.111,       406
1984,     1.700,       404
1985,     1.899,       402
1986,     1.800,       402
1987,     1.657,       400
1988,     1.402,       398
1989,     1.888,       405
1990,     2.037,       405
1991,     2.142,       405
1992,     1.754,       405
1993,     1.855,       404
1994,     1.842,       402
1995,     2.134,       402
1996,     2.083,       401
1997,     1.883,       399
1998,     2.327,       400
1999,     1.735,       401
2000,     1.658,       403
2001,     1.899,       405
2002,     1.994,       409
2003,     1.803,       398
2004,     2.140,       404
2005,     1.708,       392
2006,     1.853,       401
2007,     1.790,       393
2008,     2.190,       387
2009,     2.301,       386
2010,     2.037,       389
2011,     1.929,       366
2012,     1.516,       372
2013,     2.214,       366
2014,     2.005,       363
2015,     2.584,       355
2016,     2.197,       359
2017,     2.191,       351
2018,     2.556,       345
