 Year,National,#grids
1950,   112.502,       354
1951,   115.004,       358
1952,   113.975,       359
1953,   106.266,       360
1954,   109.470,       360
1955,   115.415,       360
1956,   116.196,       360
1957,   107.010,       363
1958,   114.151,       361
1959,   114.538,       362
1960,   119.369,       362
1961,   114.491,       361
1962,   112.827,       364
1963,   112.797,       365
1964,   117.814,       362
1965,   112.242,       361
1966,   117.720,       364
1967,   114.516,       362
1968,   116.964,       361
1969,   118.524,       362
1970,   117.879,       364
1971,   115.459,       363
1972,   114.103,       360
1973,   105.014,       357
1974,   111.000,       359
1975,   116.771,       361
1976,   123.607,       359
1977,   109.856,       361
1978,   116.635,       359
1979,   117.126,       360
1980,   114.374,       358
1981,   108.609,       361
1982,   110.539,       364
1983,   108.495,       361
1984,   111.838,       361
1985,   112.881,       362
1986,   102.631,       360
1987,   106.074,       361
1988,   114.251,       360
1989,   114.908,       360
1990,   105.928,       358
1991,   107.678,       361
1992,   105.564,       362
1993,   112.373,       362
1994,   105.910,       359
1995,   107.563,       360
1996,   113.617,       361
1997,   108.935,       360
1998,    92.897,       357
1999,   104.544,       356
2000,   106.190,       354
2001,   101.884,       356
2002,   112.891,       358
2003,   104.533,       357
2004,   101.136,       356
2005,   102.885,       349
2006,   102.914,       356
2007,   106.580,       350
2008,   115.140,       343
2009,   108.953,       347
2010,   109.604,       350
2011,   109.203,       345
2012,   100.260,       342
2013,   119.989,       328
2014,   112.498,       327
2015,    99.716,       320
2016,    97.251,       323
2017,    98.497,       317
2018,   111.789,       307
