 Year,National,#grids
1900,     9.729,       341
1901,     8.057,       345
1902,     9.538,       365
1903,     9.015,       373
1904,     7.768,       376
1905,    10.152,       382
1906,     9.124,       383
1907,     8.885,       389
1908,     8.799,       383
1909,     9.229,       393
1910,     7.001,       386
1911,     8.278,       395
1912,     8.707,       397
1913,     8.719,       392
1914,     7.996,       394
1915,     9.783,       393
1916,     8.103,       395
1917,     6.862,       390
1918,     8.253,       390
1919,     9.578,       391
1920,     9.241,       387
1921,     8.091,       388
1922,     8.803,       398
1923,     9.225,       397
1924,     7.683,       397
1925,     6.908,       397
1926,     8.859,       399
1927,     9.163,       396
1928,     8.582,       400
1929,     8.684,       396
1930,     6.601,       401
1931,     7.564,       406
1932,     8.540,       409
1933,     7.618,       407
1934,     7.257,       410
1935,     8.231,       408
1936,     7.302,       405
1937,     8.665,       403
1938,     8.261,       406
1939,     7.311,       407
1940,     7.860,       408
1941,     8.443,       405
1942,     8.948,       404
1943,     7.204,       407
1944,     8.598,       406
1945,     9.491,       406
1946,     9.013,       402
1947,     8.338,       394
1948,     8.641,       401
1949,     8.225,       405
1950,     8.897,       408
1951,     8.693,       408
1952,     7.111,       407
1953,     7.830,       412
1954,     7.087,       411
1955,     7.367,       410
1956,     6.639,       408
1957,     9.571,       412
1958,     8.197,       406
1959,     8.693,       406
1960,     7.909,       409
1961,     9.015,       408
1962,     7.694,       413
1963,     6.403,       407
1964,     8.588,       412
1965,     8.103,       412
1966,     7.716,       413
1967,     8.047,       412
1968,     8.176,       409
1969,     8.698,       412
1970,     8.126,       410
1971,     8.181,       410
1972,     8.772,       408
1973,    10.475,       405
1974,     8.484,       404
1975,     9.173,       403
1976,     7.205,       406
1977,     8.665,       406
1978,     7.962,       404
1979,    10.063,       401
1980,     7.553,       406
1981,     7.939,       409
1982,     9.539,       407
1983,    10.142,       406
1984,     8.944,       404
1985,     8.801,       402
1986,     8.624,       402
1987,     8.080,       400
1988,     6.939,       398
1989,     8.704,       405
1990,     9.735,       405
1991,     9.648,       405
1992,     8.907,       405
1993,     9.227,       404
1994,     9.028,       402
1995,     9.381,       402
1996,     9.832,       401
1997,     8.880,       399
1998,    10.042,       400
1999,     8.294,       401
2000,     8.066,       403
2001,     8.803,       405
2002,     9.121,       409
2003,     9.012,       398
2004,     9.634,       404
2005,     8.224,       392
2006,     8.958,       401
2007,     8.499,       393
2008,     9.548,       387
2009,    10.276,       386
2010,     9.053,       389
2011,     9.090,       366
2012,     7.457,       372
2013,     9.941,       366
2014,     9.047,       363
2015,    10.935,       355
2016,     9.182,       359
2017,     9.661,       351
2018,    11.131,       345
