 Year,National,#grids
1950,    36.116,       354
1951,    45.521,       359
1952,    57.566,       360
1953,    57.792,       360
1954,    60.837,       360
1955,    54.944,       361
1956,    52.822,       360
1957,    42.643,       363
1958,    43.537,       360
1959,    49.844,       362
1960,    48.320,       361
1961,    41.078,       359
1962,    48.231,       363
1963,    48.506,       365
1964,    47.586,       362
1965,    37.685,       362
1966,    42.677,       364
1967,    34.565,       363
1968,    42.307,       360
1969,    43.658,       364
1970,    48.349,       364
1971,    42.938,       363
1972,    44.233,       360
1973,    43.248,       357
1974,    40.839,       359
1975,    42.141,       362
1976,    38.520,       359
1977,    48.641,       361
1978,    49.161,       360
1979,    38.273,       361
1980,    55.752,       357
1981,    44.488,       360
1982,    36.872,       364
1983,    49.854,       361
1984,    42.754,       361
1985,    40.813,       362
1986,    45.203,       360
1987,    47.289,       361
1988,    54.341,       361
1989,    38.533,       361
1990,    46.456,       358
1991,    44.880,       361
1992,    30.374,       362
1993,    39.182,       362
1994,    36.674,       359
1995,    44.550,       360
1996,    38.878,       362
1997,    38.833,       361
1998,    49.090,       357
1999,    44.074,       356
2000,    46.900,       354
2001,    44.058,       356
2002,    49.833,       358
2003,    40.988,       358
2004,    33.619,       357
2005,    47.102,       348
2006,    48.151,       357
2007,    47.486,       350
2008,    37.681,       344
2009,    35.429,       347
2010,    49.549,       350
2011,    51.732,       346
2012,    53.670,       342
2013,    40.207,       330
2014,    36.479,       326
2015,    42.637,       320
2016,    47.199,       322
2017,    39.555,       318
2018,    49.088,       307
