 Year,National,#grids
1950,     0.841,       354
1951,     1.034,       359
1952,     0.279,       360
1953,     0.079,       360
1954,     0.517,       360
1955,     0.389,       361
1956,     0.250,       360
1957,     0.430,       363
1958,     0.202,       360
1959,     0.380,       362
1960,     0.178,       361
1961,     0.217,       359
1962,     1.001,       363
1963,     1.486,       365
1964,     0.195,       362
1965,     0.639,       362
1966,     0.849,       364
1967,     0.336,       363
1968,     0.793,       360
1969,     0.599,       364
1970,     1.071,       364
1971,     0.758,       363
1972,     1.288,       360
1973,     0.452,       357
1974,     0.472,       359
1975,     0.290,       362
1976,     0.538,       359
1977,     1.058,       361
1978,     0.640,       360
1979,     1.147,       361
1980,     0.372,       357
1981,     0.206,       360
1982,     1.221,       364
1983,     1.644,       361
1984,     0.562,       361
1985,     1.048,       362
1986,     0.211,       360
1987,     0.108,       361
1988,     0.699,       361
1989,     1.600,       361
1990,     0.890,       358
1991,     0.189,       361
1992,     0.262,       362
1993,     0.395,       362
1994,     1.411,       359
1995,     0.326,       360
1996,     1.666,       362
1997,     0.612,       361
1998,     0.301,       357
1999,     0.356,       356
2000,     0.363,       354
2001,     0.055,       356
2002,     0.029,       358
2003,     0.196,       358
2004,     0.704,       357
2005,     0.412,       348
2006,     0.088,       357
2007,     0.363,       350
2008,     0.672,       344
2009,     0.535,       347
2010,     0.298,       350
2011,     0.312,       346
2012,     0.089,       342
2013,     0.711,       330
2014,     1.056,       326
2015,     0.321,       320
2016,     0.372,       322
2017,     0.574,       318
2018,     0.455,       307
