 Year,National,#grids
1900,     3.565,       334
1901,     4.340,       344
1902,     4.098,       367
1903,     2.416,       376
1904,     1.284,       376
1905,     3.026,       389
1906,     2.367,       385
1907,     2.719,       382
1908,     1.899,       387
1909,     4.241,       392
1910,     2.841,       384
1911,     4.069,       392
1912,     3.728,       395
1913,     3.504,       394
1914,     3.928,       395
1915,     3.481,       399
1916,     3.627,       393
1917,     3.347,       398
1918,     3.733,       393
1919,     2.773,       397
1920,     1.878,       398
1921,     3.378,       396
1922,     2.988,       400
1923,     3.270,       402
1924,     4.398,       402
1925,     4.870,       401
1926,     3.310,       401
1927,     2.936,       398
1928,     3.406,       401
1929,     2.780,       401
1930,     5.793,       400
1931,     5.764,       407
1932,     5.216,       405
1933,     5.168,       405
1934,     8.898,       406
1935,     4.898,       407
1936,     8.639,       405
1937,     4.370,       403
1938,     3.256,       403
1939,     3.946,       407
1940,     3.532,       406
1941,     4.273,       405
1942,     3.585,       409
1943,     5.307,       405
1944,     3.941,       406
1945,     3.426,       404
1946,     3.024,       399
1947,     3.632,       394
1948,     3.415,       398
1949,     3.492,       399
1950,     1.939,       405
1951,     4.273,       406
1952,     5.247,       402
1953,     4.577,       406
1954,     5.576,       407
1955,     3.442,       405
1956,     3.213,       402
1957,     3.630,       405
1958,     3.511,       401
1959,     2.471,       405
1960,     2.426,       406
1961,     1.677,       401
1962,     2.733,       409
1963,     3.194,       405
1964,     3.826,       406
1965,     1.773,       406
1966,     3.205,       407
1967,     1.917,       407
1968,     2.264,       404
1969,     4.571,       406
1970,     3.669,       404
1971,     1.959,       404
1972,     2.141,       402
1973,     2.158,       398
1974,     1.963,       400
1975,     1.902,       397
1976,     1.235,       402
1977,     4.166,       402
1978,     4.150,       400
1979,     2.572,       398
1980,     7.500,       399
1981,     4.527,       403
1982,     3.086,       402
1983,     3.938,       398
1984,     2.355,       401
1985,     2.839,       398
1986,     4.057,       401
1987,     3.967,       399
1988,     4.937,       399
1989,     3.347,       402
1990,     4.006,       400
1991,     3.172,       398
1992,     2.624,       402
1993,     5.012,       399
1994,     3.067,       400
1995,     5.290,       398
1996,     3.684,       400
1997,     3.619,       402
1998,     8.206,       399
1999,     5.572,       397
2000,     4.668,       395
2001,     4.778,       397
2002,     4.117,       398
2003,     3.673,       393
2004,     2.717,       395
2005,     4.865,       381
2006,     5.613,       389
2007,     4.434,       385
2008,     3.817,       377
2009,     4.949,       377
2010,     9.543,       375
2011,     9.614,       374
2012,     6.022,       371
2013,     3.907,       359
2014,     3.811,       358
2015,     5.582,       350
2016,     7.144,       357
2017,     4.801,       345
2018,     5.874,       337
