 Year,National,#grids
1950,     0.600,       262
1951,     0.502,       263
1952,     0.434,       263
1953,     0.470,       263
1954,     0.410,       263
1955,     0.456,       263
1956,     0.400,       264
1957,     0.577,       263
1958,     0.507,       262
1959,     0.505,       262
1960,     0.426,       265
1961,     0.610,       264
1962,     0.454,       265
1963,     0.463,       264
1964,     0.765,       264
1965,     0.450,       264
1966,     0.502,       265
1967,     0.430,       264
1968,     0.428,       264
1969,     0.677,       264
1970,     0.527,       264
1971,     0.355,       265
1972,     0.460,       263
1973,     0.669,       261
1974,     0.540,       264
1975,     0.509,       263
1976,     0.367,       262
1977,     0.498,       264
1978,     0.514,       263
1979,     0.633,       263
1980,     0.492,       264
1981,     0.464,       263
1982,     0.728,       262
1983,     0.635,       263
1984,     0.414,       262
1985,     0.529,       263
1986,     0.501,       262
1987,     0.408,       261
1988,     0.402,       262
1989,     0.446,       262
1990,     0.561,       261
1991,     0.579,       262
1992,     0.408,       263
1993,     0.568,       263
1994,     0.514,       262
1995,     0.779,       261
1996,     0.725,       265
1997,     0.562,       264
1998,     0.769,       262
1999,     0.436,       264
2000,     0.413,       261
2001,     0.536,       263
2002,     0.635,       264
2003,     0.523,       262
2004,     0.656,       263
2005,     0.574,       259
2006,     0.425,       262
2007,     0.500,       258
2008,     0.875,       258
2009,     0.685,       258
2010,     0.526,       259
2011,     0.591,       252
2012,     0.480,       252
2013,     0.624,       248
2014,     0.632,       248
2015,     0.632,       247
2016,     0.605,       245
2017,     0.851,       242
2018,     0.698,       237
