 Year,National,#grids
1950,     0.224,       262
1951,     0.175,       263
1952,     0.117,       263
1953,     0.190,       263
1954,     0.128,       263
1955,     0.172,       263
1956,     0.157,       264
1957,     0.201,       263
1958,     0.141,       262
1959,     0.173,       262
1960,     0.138,       265
1961,     0.211,       264
1962,     0.165,       265
1963,     0.146,       264
1964,     0.281,       264
1965,     0.175,       264
1966,     0.190,       265
1967,     0.126,       264
1968,     0.146,       264
1969,     0.245,       264
1970,     0.211,       264
1971,     0.118,       265
1972,     0.169,       263
1973,     0.205,       261
1974,     0.188,       264
1975,     0.162,       263
1976,     0.106,       262
1977,     0.164,       264
1978,     0.196,       263
1979,     0.231,       263
1980,     0.162,       264
1981,     0.167,       263
1982,     0.260,       262
1983,     0.194,       263
1984,     0.134,       262
1985,     0.177,       263
1986,     0.175,       262
1987,     0.140,       261
1988,     0.130,       262
1989,     0.125,       262
1990,     0.220,       261
1991,     0.178,       262
1992,     0.139,       263
1993,     0.185,       263
1994,     0.190,       262
1995,     0.305,       261
1996,     0.232,       265
1997,     0.204,       264
1998,     0.301,       262
1999,     0.134,       264
2000,     0.137,       261
2001,     0.192,       263
2002,     0.208,       264
2003,     0.165,       262
2004,     0.271,       263
2005,     0.219,       259
2006,     0.114,       262
2007,     0.210,       258
2008,     0.336,       258
2009,     0.231,       258
2010,     0.158,       259
2011,     0.201,       252
2012,     0.186,       252
2013,     0.199,       248
2014,     0.221,       248
2015,     0.232,       247
2016,     0.222,       245
2017,     0.347,       242
2018,     0.199,       237
