Year,National
1950,9.354
1951,9.655
1952,7.732
1953,7.838
1954,7.416
1955,7.517
1956,6.879
1957,9.786
1958,8.913
1959,9.094
1960,8.088
1961,9.269
1962,8.053
1963,7.196
1964,8.989
1965,8.33
1966,8.172
1967,8.878
1968,8.27
1969,9.528
1970,8.992
1971,7.976
1972,9.008
1973,11.179
1974,8.656
1975,9.393
1976,7.437
1977,8.857
1978,8.631
1979,10.678
1980,8.185
1981,8.194
1982,10.191
1983,11.309
1984,9.112
1985,8.752
1986,8.602
1987,8.343
1988,7.616
1989,8.803
1990,9.87
1991,9.719
1992,9.372
1993,9.924
1994,9.155
1995,9.744
1996,10.305
1997,9.07
1998,10.39
1999,8.283
2000,8.201
2001,9.103
2002,9.178
2003,9.279
2004,9.701
2005,9.013
2006,9.013
2007,8.36
2008,10.052
2009,10.835
2010,9.114
2011,9.252
2012,7.929
2013,9.77
2014,9.627
2015,10.281
2016,9.217
2017,9.915
2018,11.11
2019,11.194
2020,9.296
