Year,national
1895,1042.26
1896,1185.54
1897,1135.71
1898,1145.07
1899,1127.86
1900,1191.48
1901,1191.39
1902,1082.27
1903,935.14
1904,992.12
1905,1090.1
1906,1062.02
1907,999.93
1908,1046.67
1909,1086.31
1910,1107.2
1911,1196.11
1912,995.38
1913,1079.27
1914,1128.95
1915,961.61
1916,1071.19
1917,990.91
1918,1139.64
1919,1140.57
1920,1005.98
1921,1245.09
1922,1194.81
1923,1063.4
1924,1020.06
1925,1202.47
1926,1110.07
1927,1063.72
1928,1042.06
1929,1080.98
1930,1161.04
1931,1258.54
1932,1137.07
1933,1288.07
1934,1345.35
1935,1132.43
1936,1349.71
1937,1214.75
1938,1189.4
1939,1248.86
1940,1098.56
1941,1142.78
1942,1067.21
1943,1176.12
1944,1116.97
1945,1053.76
1946,1091.44
1947,1173.98
1948,1132.98
1949,1149.49
1950,1001.63
1951,1082.69
1952,1191.66
1953,1203.43
1954,1249.96
1955,1191.15
1956,1175.83
1957,1098.01
1958,1113.46
1959,1180.17
1960,1128.01
1961,1055.01
1962,1110.57
1963,1186.26
1964,1103.66
1965,1044.07
1966,1067.2
1967,1000.11
1968,1011.14
1969,1112.47
1970,1135.38
1971,1081.98
1972,1066.75
1973,1106.91
1974,1053.62
1975,1055.18
1976,968.21
1977,1220.1
1978,1154.45
1979,1031.8
1980,1225.43
1981,1139.18
1982,1056.77
1983,1141.98
1984,1123.02
1985,1114.1
1986,1165.83
1987,1159.62
1988,1217.51
1989,1090.49
1990,1180.73
1991,1200.19
1992,973.7
1993,1062.43
1994,1157.61
1995,1163.33
1996,1140.11
1997,1099.47
1998,1328.37
1999,1182.81
2000,1250.75
2001,1235.35
2002,1281.78
2003,1232.37
2004,1113.86
2005,1265.41
2006,1294.27
2007,1310.05
2008,1165.36
2009,1136.7
2010,1309.71
2011,1353.8
2012,1407.62
2013,1207.11
2014,1176.82
2015,1317.38
2016,1381.18
2017,1287.74
2018,1411.38
2019,1300.02
2020,1348.57
2021,1354.84
