Year,national
1895,3.56
1896,6.13
1897,8.11
1898,10.75
1899,5.7
1900,6.98
1901,7.21
1902,4.73
1903,8.45
1904,8.21
1905,4.98
1906,7.16
1907,19.64
1908,7.75
1909,15.39
1910,5.48
1911,16.33
1912,6.23
1913,12.47
1914,8.32
1915,6.42
1916,13.54
1917,11.45
1918,7.03
1919,7.05
1920,8.29
1921,12.65
1922,13.6
1923,17.6
1924,9.37
1925,13.08
1926,7.96
1927,18.79
1928,6.79
1929,8.99
1930,13.03
1931,6.31
1932,26.6
1933,15.03
1934,15.9
1935,10.09
1936,5.04
1937,17.05
1938,12.27
1939,12.29
1940,5.04
1941,9.85
1942,6.77
1943,11.39
1944,11.42
1945,9.04
1946,8.97
1947,11.87
1948,7.98
1949,18.62
1950,26.08
1951,7.64
1952,19.56
1953,11.03
1954,15.46
1955,8.1
1956,10.41
1957,22.19
1958,4.6
1959,8.41
1960,6.28
1961,6.96
1962,14.66
1963,5.49
1964,3.76
1965,10.66
1966,6.25
1967,7.72
1968,7.67
1969,7.2
1970,5.36
1971,13.24
1972,18.86
1973,6.98
1974,15.36
1975,13.41
1976,12.02
1977,4.54
1978,4.06
1979,6.5
1980,8.32
1981,6.6
1982,9.57
1983,9.55
1984,7.29
1985,12.78
1986,12.13
1987,9.79
1988,8.43
1989,14.63
1990,17.15
1991,14.88
1992,13.79
1993,12.66
1994,10.05
1995,13.8
1996,10.21
1997,12.62
1998,13.31
1999,20.74
2000,17.21
2001,10.15
2002,13.06
2003,8.68
2004,8.34
2005,13.88
2006,14.95
2007,12.38
2008,16.05
2009,14.08
2010,4.77
2011,7.31
2012,17.74
2013,17.35
2014,12.46
2015,11.96
2016,22.06
2017,30.68
2018,18.15
2019,16.06
2020,18.06
2021,10.69
