Year,national
1895,717.0
1896,816.15
1897,774.89
1898,810.34
1899,786.29
1900,822.86
1901,901.78
1902,741.42
1903,665.58
1904,667.31
1905,743.43
1906,736.19
1907,694.84
1908,715.21
1909,786.02
1910,757.97
1911,795.75
1912,678.91
1913,799.43
1914,819.23
1915,648.27
1916,771.75
1917,752.56
1918,826.42
1919,802.51
1920,692.67
1921,846.33
1922,807.53
1923,763.36
1924,757.44
1925,821.67
1926,768.69
1927,673.69
1928,738.28
1929,764.83
1930,830.29
1931,874.29
1932,824.1
1933,864.37
1934,952.13
1935,825.39
1936,972.29
1937,877.88
1938,821.57
1939,839.93
1940,790.62
1941,774.79
1942,777.98
1943,863.66
1944,782.88
1945,719.93
1946,753.08
1947,788.68
1948,783.52
1949,814.89
1950,662.05
1951,761.24
1952,875.69
1953,849.24
1954,872.17
1955,805.53
1956,804.31
1957,805.75
1958,778.75
1959,829.75
1960,794.92
1961,764.68
1962,740.55
1963,786.67
1964,774.15
1965,705.11
1966,777.05
1967,701.68
1968,734.1
1969,799.09
1970,808.29
1971,766.22
1972,725.25
1973,785.49
1974,738.59
1975,756.73
1976,712.54
1977,838.75
1978,802.6
1979,716.17
1980,893.45
1981,826.19
1982,734.36
1983,843.86
1984,795.85
1985,760.14
1986,810.64
1987,812.08
1988,889.71
1989,759.86
1990,810.22
1991,818.87
1992,649.87
1993,770.13
1994,826.91
1995,836.59
1996,806.47
1997,754.31
1998,889.03
1999,829.43
2000,842.21
2001,862.21
2002,901.66
2003,867.8
2004,708.87
2005,884.57
2006,928.55
2007,893.79
2008,830.54
2009,772.49
2010,933.82
2011,982.87
2012,949.02
2013,845.62
2014,797.13
2015,863.22
2016,940.85
2017,862.07
2018,936.34
2019,864.39
2020,939.11
2021,938.07
