Year,national
1895,119.66
1896,193.19
1897,130.65
1898,132.14
1899,144.37
1900,132.98
1901,108.02
1902,163.76
1903,112.04
1904,123.55
1905,136.2
1906,118.14
1907,104.31
1908,149.36
1909,106.92
1910,127.94
1911,148.13
1912,128.41
1913,111.94
1914,119.59
1915,106.96
1916,128.07
1917,70.77
1918,145.98
1919,109.13
1920,111.88
1921,133.28
1922,144.22
1923,113.69
1924,91.22
1925,142.98
1926,112.81
1927,152.07
1928,119.05
1929,130.33
1930,125.67
1931,88.9
1932,117.23
1933,140.75
1934,179.87
1935,115.18
1936,157.53
1937,129.89
1938,135.99
1939,154.0
1940,117.64
1941,137.01
1942,112.96
1943,140.88
1944,133.44
1945,121.74
1946,137.97
1947,120.75
1948,146.43
1949,135.64
1950,125.76
1951,118.01
1952,115.42
1953,134.73
1954,122.95
1955,162.67
1956,145.77
1957,115.53
1958,131.31
1959,144.22
1960,108.92
1961,106.53
1962,161.81
1963,155.66
1964,147.19
1965,148.12
1966,119.88
1967,133.02
1968,104.51
1969,122.1
1970,131.33
1971,92.51
1972,137.14
1973,105.26
1974,154.38
1975,125.7
1976,103.93
1977,157.18
1978,124.48
1979,108.8
1980,112.27
1981,128.31
1982,137.53
1983,83.8
1984,128.21
1985,159.51
1986,146.81
1987,153.75
1988,124.33
1989,144.42
1990,124.51
1991,172.97
1992,120.67
1993,109.9
1994,126.41
1995,117.67
1996,154.1
1997,123.46
1998,151.06
1999,136.51
2000,185.98
2001,163.74
2002,144.96
2003,147.25
2004,170.59
2005,115.47
2006,180.29
2007,159.96
2008,125.86
2009,150.97
2010,142.35
2011,152.96
2012,226.93
2013,123.81
2014,137.05
2015,157.43
2016,144.4
2017,161.61
2018,205.22
2019,141.98
2020,159.73
2021,136.16
