Year,national
1895,200.76
1896,169.69
1897,221.92
1898,192.52
1899,190.81
1900,228.64
1901,174.81
1902,171.16
1903,150.88
1904,192.01
1905,205.92
1906,197.95
1907,182.82
1908,172.38
1909,181.43
1910,215.43
1911,234.13
1912,181.95
1913,156.27
1914,182.4
1915,199.5
1916,157.13
1917,157.98
1918,158.3
1919,222.36
1920,193.42
1921,249.63
1922,228.42
1923,170.02
1924,164.16
1925,226.3
1926,217.9
1927,221.61
1928,177.7
1929,176.84
1930,193.06
1931,282.71
1932,173.04
1933,262.95
1934,203.24
1935,183.33
1936,212.42
1937,191.33
1938,219.18
1939,242.07
1940,183.61
1941,221.72
1942,169.88
1943,161.84
1944,189.83
1945,202.66
1946,188.09
1947,254.66
1948,192.49
1949,181.39
1950,190.5
1951,192.61
1952,184.2
1953,207.9
1954,239.37
1955,214.45
1956,212.26
1957,157.68
1958,199.6
1959,197.32
1960,219.04
1961,175.07
1962,195.18
1963,239.16
1964,175.68
1965,180.49
1966,165.32
1967,155.59
1968,167.19
1969,183.63
1970,186.88
1971,207.15
1972,190.73
1973,210.27
1974,145.16
1975,159.51
1976,140.35
1977,218.44
1978,222.24
1979,201.64
1980,211.69
1981,178.0
1982,172.42
1983,207.92
1984,184.05
1985,189.7
1986,194.26
1987,183.6
1988,195.88
1989,173.92
1990,225.28
1991,193.18
1992,190.21
1993,171.22
1994,191.81
1995,197.49
1996,167.87
1997,210.68
1998,272.16
1999,198.36
2000,206.72
2001,195.44
2002,224.96
2003,209.22
2004,225.82
2005,251.57
2006,167.51
2007,242.84
2008,195.14
2009,200.53
2010,229.99
2011,207.8
2012,212.69
2013,221.29
2014,230.02
2015,277.29
2016,279.33
2017,236.32
2018,251.42
2019,276.12
2020,234.54
2021,256.23
