Year,national
1895,5856.38
1896,5416.41
1897,5514.84
1898,5567.26
1899,5696.68
1900,5144.92
1901,5486.77
1902,5466.97
1903,5662.93
1904,5549.73
1905,5671.1
1906,5390.47
1907,5433.74
1908,5265.93
1909,5564.29
1910,5230.05
1911,5406.14
1912,5871.63
1913,5461.36
1914,5421.67
1915,5414.33
1916,5728.38
1917,5947.33
1918,5418.86
1919,5525.93
1920,5587.81
1921,4833.84
1922,5389.69
1923,5403.31
1924,5778.22
1925,5278.1
1926,5398.33
1927,5243.85
1928,5315.92
1929,5718.47
1930,5435.32
1931,4938.72
1932,5465.59
1933,5159.04
1934,4857.76
1935,5432.11
1936,5519.37
1937,5624.41
1938,5007.04
1939,5022.02
1940,5412.65
1941,5126.04
1942,5371.61
1943,5420.55
1944,5407.99
1945,5407.52
1946,5001.29
1947,5449.29
1948,5522.41
1949,5355.97
1950,5476.38
1951,5649.89
1952,5340.95
1953,4968.2
1954,5039.36
1955,5528.04
1956,5284.08
1957,5311.13
1958,5382.67
1959,5371.49
1960,5588.15
1961,5364.32
1962,5421.36
1963,5365.69
1964,5460.35
1965,5377.6
1966,5483.49
1967,5329.39
1968,5486.1
1969,5533.03
1970,5510.87
1971,5428.11
1972,5526.18
1973,5235.07
1974,5201.43
1975,5444.35
1976,5424.1
1977,5280.72
1978,5715.32
1979,5660.32
1980,5329.35
1981,5010.06
1982,5502.18
1983,5434.11
1984,5346.77
1985,5592.45
1986,4943.08
1987,4923.55
1988,5225.58
1989,5378.05
1990,4858.89
1991,5016.24
1992,5001.76
1993,5523.09
1994,5082.25
1995,5156.47
1996,5413.92
1997,5238.59
1998,4750.16
1999,4753.33
2000,5050.29
2001,4887.4
2002,5085.97
2003,5024.95
2004,4931.3
2005,4908.64
2006,4699.21
2007,4928.07
2008,5288.83
2009,5223.81
2010,5162.17
2011,5141.84
2012,4448.68
2013,5282.52
2014,5214.57
2015,4673.01
2016,4539.78
2017,4589.33
2018,5069.77
2019,5243.34
2020,4716.74
2021,4670.84
