Year,national
1895,2158.13
1896,2750.38
1897,2784.49
1898,2801.6
1899,3161.13
1900,2802.6
1901,2808.68
1902,2923.04
1903,2970.53
1904,3021.57
1905,3106.83
1906,2764.34
1907,2682.26
1908,2700.24
1909,2683.21
1910,3153.94
1911,2745.75
1912,3057.21
1913,2894.52
1914,2764.14
1915,2966.89
1916,2868.96
1917,3065.33
1918,3097.34
1919,2713.54
1920,2961.09
1921,2577.91
1922,2864.51
1923,2757.38
1924,2776.72
1925,2863.49
1926,2712.3
1927,2691.11
1928,2855.55
1929,3095.4
1930,2797.33
1931,2648.71
1932,2595.23
1933,2868.53
1934,2540.52
1935,2709.08
1936,3190.26
1937,2948.18
1938,2681.16
1939,2738.65
1940,2849.52
1941,2650.58
1942,2796.55
1943,2759.23
1944,2728.43
1945,2829.99
1946,2848.09
1947,2722.55
1948,2939.35
1949,2972.49
1950,2727.37
1951,2780.21
1952,2736.29
1953,2544.63
1954,2553.12
1955,2854.94
1956,2852.94
1957,2672.19
1958,2689.74
1959,2882.42
1960,2806.94
1961,2787.14
1962,2928.46
1963,2967.45
1964,2969.71
1965,2809.64
1966,2872.59
1967,2740.8
1968,2870.13
1969,2924.46
1970,2840.49
1971,2808.95
1972,2773.27
1973,2904.15
1974,2726.22
1975,2735.66
1976,2611.15
1977,3020.57
1978,3080.53
1979,3286.61
1980,2706.03
1981,2595.64
1982,2932.35
1983,2535.33
1984,2963.74
1985,2942.34
1986,2744.9
1987,2619.5
1988,2821.13
1989,2774.37
1990,2688.38
1991,2711.67
1992,2438.4
1993,2870.05
1994,2835.17
1995,2527.07
1996,2742.69
1997,2703.16
1998,2481.49
1999,2457.76
2000,2441.45
2001,2900.91
2002,2493.52
2003,2683.64
2004,2719.51
2005,2525.37
2006,2517.35
2007,2683.08
2008,2762.71
2009,2727.88
2010,2923.1
2011,2846.06
2012,2436.57
2013,2607.36
2014,2901.5
2015,2626.03
2016,2404.36
2017,2490.65
2018,2645.75
2019,2695.3
2020,2461.99
2021,2666.81
