Year,national
1895,157.1
1896,112.7
1897,145.69
1898,110.55
1899,148.42
1900,105.16
1901,125.5
1902,170.04
1903,175.12
1904,161.88
1905,141.98
1906,147.29
1907,184.94
1908,161.92
1909,128.71
1910,134.72
1911,135.32
1912,171.38
1913,122.72
1914,130.73
1915,199.38
1916,164.08
1917,151.46
1918,110.42
1919,99.46
1920,139.99
1921,102.07
1922,97.63
1923,133.9
1924,151.09
1925,122.29
1926,124.31
1927,167.85
1928,169.26
1929,127.53
1930,110.21
1931,85.12
1932,111.81
1933,89.0
1934,100.04
1935,122.05
1936,80.32
1937,106.6
1938,106.07
1939,118.33
1940,92.4
1941,117.05
1942,131.59
1943,129.27
1944,142.01
1945,161.61
1946,127.12
1947,145.0
1948,124.73
1949,111.07
1950,158.22
1951,166.44
1952,115.25
1953,120.09
1954,139.31
1955,131.11
1956,118.02
1957,122.71
1958,128.57
1959,97.9
1960,114.16
1961,80.57
1962,143.64
1963,124.05
1964,144.89
1965,149.35
1966,125.46
1967,131.86
1968,138.26
1969,141.16
1970,95.39
1971,118.55
1972,126.29
1973,107.23
1974,122.41
1975,138.92
1976,133.34
1977,109.33
1978,121.63
1979,122.38
1980,132.81
1981,112.45
1982,148.47
1983,116.9
1984,113.05
1985,129.77
1986,106.91
1987,108.28
1988,73.8
1989,117.18
1990,101.46
1991,103.0
1992,155.15
1993,177.44
1994,96.74
1995,119.65
1996,97.43
1997,114.53
1998,118.89
1999,119.61
2000,101.79
2001,94.39
2002,85.54
2003,91.41
2004,137.29
2005,104.42
2006,74.67
2007,80.4
2008,112.66
2009,137.63
2010,109.06
2011,112.05
2012,81.31
2013,82.84
2014,107.89
2015,76.67
2016,76.17
2017,85.64
2018,81.46
2019,104.54
2020,82.43
2021,49.92
