Year,national
1895,1301.16
1896,1360.96
1897,1354.64
1898,1334.94
1899,1458.81
1900,1263.19
1901,1347.11
1902,1288.72
1903,1310.83
1904,1350.29
1905,1249.91
1906,1434.2
1907,1395.53
1908,1242.74
1909,1455.89
1910,1039.11
1911,1256.5
1912,1492.56
1913,1375.42
1914,1299.94
1915,1385.3
1916,1346.77
1917,1571.04
1918,1238.75
1919,1310.05
1920,1483.08
1921,1155.39
1922,1339.61
1923,1440.82
1924,1497.31
1925,1147.04
1926,1363.75
1927,1311.58
1928,1304.48
1929,1281.2
1930,1276.35
1931,1362.65
1932,1404.6
1933,1359.41
1934,1117.57
1935,1362.47
1936,1208.06
1937,1381.09
1938,1201.46
1939,1223.22
1940,1311.28
1941,1290.16
1942,1271.47
1943,1379.63
1944,1412.67
1945,1260.98
1946,1104.2
1947,1396.08
1948,1340.43
1949,1266.12
1950,1483.49
1951,1412.94
1952,1387.57
1953,1345.61
1954,1332.98
1955,1295.23
1956,1356.26
1957,1326.11
1958,1375.51
1959,1285.74
1960,1453.84
1961,1345.04
1962,1372.63
1963,1220.73
1964,1364.74
1965,1466.27
1966,1298.5
1967,1328.09
1968,1294.85
1969,1386.27
1970,1410.9
1971,1414.56
1972,1243.86
1973,1298.13
1974,1227.42
1975,1503.65
1976,1268.47
1977,1148.23
1978,1320.13
1979,1327.57
1980,1347.79
1981,1185.15
1982,1348.24
1983,1424.38
1984,1399.19
1985,1123.57
1986,1111.41
1987,1136.53
1988,1222.32
1989,1231.31
1990,1205.95
1991,1191.5
1992,1145.41
1993,1301.28
1994,1157.93
1995,1326.84
1996,1396.11
1997,1312.05
1998,1263.33
1999,1267.56
2000,1096.25
2001,1215.44
2002,1334.69
2003,1229.82
2004,1063.65
2005,1250.94
2006,1138.85
2007,1097.39
2008,1335.82
2009,1242.84
2010,1191.06
2011,1278.41
2012,925.83
2013,1345.79
2014,1286.95
2015,1130.1
2016,1067.5
2017,1099.71
2018,1245.04
2019,1313.71
2020,1181.2
2021,1159.32
