Year,national
1895,1266.41
1896,1302.74
1897,1083.89
1898,1263.34
1899,1020.8
1900,1057.34
1901,1105.67
1902,1074.15
1903,1190.46
1904,1066.43
1905,1147.59
1906,1156.81
1907,1162.24
1908,1123.55
1909,1059.64
1910,1089.44
1911,1286.26
1912,1169.42
1913,1085.21
1914,1024.14
1915,1050.53
1916,1224.47
1917,1176.7
1918,1133.51
1919,1219.2
1920,1139.36
1921,1052.75
1922,1043.87
1923,1148.6
1924,1098.51
1925,1285.33
1926,1168.05
1927,989.53
1928,1120.22
1929,1240.79
1930,1171.56
1931,967.27
1932,1178.03
1933,1048.28
1934,985.68
1935,1179.36
1936,1160.18
1937,1129.97
1938,1065.8
1939,1045.4
1940,1109.29
1941,1071.49
1942,1070.58
1943,1145.05
1944,1065.47
1945,1109.24
1946,1136.47
1947,1086.92
1948,1107.54
1949,1036.84
1950,1085.09
1951,1245.22
1952,1166.29
1953,964.98
1954,1022.73
1955,1175.63
1956,1097.95
1957,1212.72
1958,1036.62
1959,1228.81
1960,1041.85
1961,1172.42
1962,1038.82
1963,886.52
1964,1116.08
1965,1069.51
1966,1090.37
1967,1116.75
1968,1117.6
1969,1174.61
1970,1176.67
1971,1100.22
1972,1255.73
1973,1036.94
1974,1123.7
1975,1084.52
1976,1305.93
1977,1076.48
1978,1098.06
1979,1105.22
1980,1115.57
1981,1064.7
1982,1148.22
1983,1039.07
1984,1155.56
1985,1210.16
1986,1149.35
1987,1065.85
1988,1081.84
1989,1070.49
1990,972.01
1991,1152.88
1992,1150.1
1993,1237.47
1994,1053.78
1995,1101.18
1996,1192.86
1997,1108.92
1998,937.02
1999,920.92
2000,1172.98
2001,917.68
2002,1138.97
2003,1027.38
2004,1001.84
2005,951.37
2006,1095.34
2007,960.22
2008,1038.02
2009,1057.08
2010,1012.85
2011,998.54
2012,1026.67
2013,1094.82
2014,1090.09
2015,897.01
2016,819.86
2017,951.0
2018,1138.53
2019,1155.32
2020,969.31
2021,900.28
