Year,national
1895,27.58
1896,29.81
1897,29.72
1898,29.61
1899,28.73
1900,30.69
1901,27.7
1902,30.66
1903,29.41
1904,27.98
1905,32.64
1906,32.86
1907,30.97
1908,29.84
1909,31.19
1910,24.96
1911,29.56
1912,30.53
1913,29.9
1914,28.83
1915,32.79
1916,29.44
1917,25.38
1918,28.81
1919,31.79
1920,31.33
1921,28.8
1922,29.93
1923,31.71
1924,26.57
1925,26.99
1926,30.95
1927,32.07
1928,29.53
1929,30.19
1930,25.6
1931,27.56
1932,30.47
1933,27.54
1934,25.84
1935,29.51
1936,27.35
1937,30.58
1938,29.76
1939,26.34
1940,30.44
1941,32.82
1942,31.35
1943,26.83
1944,30.68
1945,33.05
1946,31.12
1947,29.4
1948,30.74
1949,30.34
1950,30.89
1951,31.27
1952,26.4
1953,28.37
1954,26.2
1955,27.77
1956,25.41
1957,33.89
1958,30.27
1959,30.65
1960,28.79
1961,31.28
1962,28.63
1963,25.72
1964,30.29
1965,29.84
1966,27.5
1967,29.62
1968,30.42
1969,30.66
1970,29.73
1971,30.37
1972,31.73
1973,35.0
1974,30.66
1975,33.08
1976,26.34
1977,30.49
1978,30.15
1979,32.8
1980,28.3
1981,29.98
1982,33.89
1983,34.8
1984,31.44
1985,30.0
1986,31.41
1987,29.06
1988,25.95
1989,29.1
1990,32.2
1991,32.5
1992,31.3
1993,32.64
1994,30.67
1995,32.72
1996,33.72
1997,31.88
1998,33.91
1999,28.52
2000,28.27
2001,29.06
2002,29.11
2003,30.56
2004,33.28
2005,30.15
2006,29.85
2007,29.2
2008,31.29
2009,32.34
2010,31.39
2011,30.13
2012,27.59
2013,31.1
2014,30.88
2015,34.61
2016,31.47
2017,32.34
2018,34.7
2019,34.86
2020,30.44
2021,30.52
