Year,national
1895,4.73
1896,6.98
1897,6.69
1898,6.65
1899,6.62
1900,6.63
1901,5.79
1902,6.62
1903,8.24
1904,5.69
1905,6.7
1906,6.55
1907,7.45
1908,7.34
1909,7.35
1910,6.86
1911,6.27
1912,6.81
1913,6.88
1914,6.9
1915,8.03
1916,8.19
1917,6.19
1918,5.8
1919,7.22
1920,5.63
1921,6.64
1922,6.72
1923,6.98
1924,6.67
1925,6.69
1926,6.07
1927,7.15
1928,5.82
1929,6.14
1930,6.53
1931,4.7
1932,8.86
1933,7.12
1934,6.14
1935,6.02
1936,7.28
1937,8.68
1938,6.95
1939,7.13
1940,6.79
1941,6.69
1942,6.4
1943,6.48
1944,6.3
1945,6.62
1946,7.3
1947,5.41
1948,6.52
1949,8.15
1950,7.81
1951,6.54
1952,7.57
1953,7.16
1954,6.54
1955,5.91
1956,7.13
1957,6.21
1958,7.13
1959,5.87
1960,7.08
1961,6.17
1962,7.45
1963,4.89
1964,5.48
1965,7.83
1966,6.88
1967,6.11
1968,6.72
1969,8.06
1970,6.67
1971,6.63
1972,7.34
1973,7.47
1974,7.94
1975,7.65
1976,5.76
1977,4.19
1978,7.68
1979,8.45
1980,6.42
1981,4.72
1982,7.49
1983,8.52
1984,6.91
1985,6.01
1986,5.74
1987,6.52
1988,6.37
1989,5.75
1990,6.82
1991,6.71
1992,7.18
1993,8.16
1994,6.36
1995,6.97
1996,6.96
1997,8.49
1998,9.0
1999,7.14
2000,5.99
2001,5.77
2002,5.7
2003,6.91
2004,6.8
2005,6.95
2006,6.42
2007,6.55
2008,7.66
2009,5.99
2010,7.72
2011,6.09
2012,6.2
2013,7.27
2014,5.84
2015,6.15
2016,8.04
2017,8.2
2018,6.34
2019,9.11
2020,7.78
2021,6.18
