Year,national
1895,8.49
1896,7.87
1897,8.12
1898,9.03
1899,8.19
1900,8.54
1901,7.93
1902,8.29
1903,8.91
1904,8.74
1905,9.38
1906,9.75
1907,8.67
1908,8.93
1909,8.68
1910,7.35
1911,8.14
1912,8.76
1913,7.28
1914,8.48
1915,10.19
1916,9.0
1917,7.41
1918,7.06
1919,8.51
1920,9.0
1921,8.37
1922,7.84
1923,8.93
1924,7.37
1925,7.63
1926,8.58
1927,8.69
1928,10.51
1929,7.01
1930,6.09
1931,7.58
1932,8.51
1933,7.16
1934,6.94
1935,8.32
1936,6.47
1937,8.3
1938,8.54
1939,8.4
1940,8.47
1941,9.74
1942,9.16
1943,7.97
1944,8.3
1945,9.08
1946,8.05
1947,8.22
1948,8.54
1949,8.79
1950,9.22
1951,8.91
1952,7.23
1953,7.5
1954,7.04
1955,8.16
1956,7.21
1957,8.14
1958,9.47
1959,8.34
1960,8.22
1961,8.67
1962,8.17
1963,7.97
1964,8.3
1965,8.79
1966,7.77
1967,9.0
1968,8.78
1969,8.72
1970,7.57
1971,8.3
1972,8.68
1973,8.09
1974,8.22
1975,9.13
1976,7.52
1977,8.62
1978,8.09
1979,8.84
1980,6.86
1981,9.27
1982,8.83
1983,7.42
1984,8.21
1985,8.29
1986,8.62
1987,8.38
1988,6.91
1989,9.41
1990,8.11
1991,8.18
1992,9.96
1993,9.68
1994,8.55
1995,8.55
1996,8.66
1997,8.79
1998,8.6
1999,8.2
2000,7.68
2001,8.28
2002,7.58
2003,8.67
2004,9.62
2005,8.85
2006,7.84
2007,8.4
2008,8.87
2009,8.79
2010,9.33
2011,7.38
2012,7.26
2013,9.27
2014,9.42
2015,9.2
2016,8.89
2017,9.31
2018,9.01
2019,8.93
2020,8.12
2021,9.56
