Year,national
1895,4.96
1896,8.01
1897,5.7
1898,7.1
1899,5.95
1900,8.05
1901,5.54
1902,7.67
1903,5.73
1904,5.03
1905,6.94
1906,7.49
1907,6.81
1908,5.54
1909,6.77
1910,5.98
1911,7.36
1912,6.17
1913,7.97
1914,6.21
1915,6.72
1916,5.59
1917,4.52
1918,7.69
1919,8.59
1920,6.88
1921,6.44
1922,5.29
1923,7.25
1924,5.83
1925,8.04
1926,8.59
1927,7.59
1928,6.5
1929,7.32
1930,6.92
1931,6.5
1932,6.68
1933,5.12
1934,7.57
1935,6.13
1936,6.21
1937,6.79
1938,5.77
1939,4.21
1940,6.68
1941,8.65
1942,7.15
1943,5.24
1944,6.43
1945,7.69
1946,8.44
1947,7.24
1948,6.76
1949,6.21
1950,6.7
1951,7.32
1952,4.24
1953,4.82
1954,5.86
1955,6.08
1956,4.81
1957,8.74
1958,6.56
1959,8.05
1960,6.67
1961,7.31
1962,7.18
1963,5.84
1964,6.29
1965,6.98
1966,6.13
1967,6.44
1968,7.21
1969,6.59
1970,8.15
1971,7.6
1972,8.54
1973,9.0
1974,6.91
1975,7.26
1976,6.0
1977,8.28
1978,6.15
1979,7.07
1980,6.44
1981,7.19
1982,7.78
1983,8.79
1984,8.41
1985,9.73
1986,9.34
1987,5.91
1988,7.42
1989,6.32
1990,6.91
1991,7.13
1992,7.28
1993,6.9
1994,7.91
1995,7.21
1996,8.93
1997,7.35
1998,8.12
1999,5.56
2000,7.17
2001,6.91
2002,7.7
2003,7.22
2004,9.21
2005,6.56
2006,8.17
2007,6.3
2008,6.83
2009,8.47
2010,6.98
2011,7.1
2012,5.9
2013,7.26
2014,7.2
2015,8.38
2016,6.88
2017,6.5
2018,9.73
2019,7.6
2020,6.58
2021,6.85
