 Year,National,#grids
1950,     6.110,       354
1951,     7.584,       359
1952,    11.020,       360
1953,     9.874,       360
1954,    14.693,       360
1955,     6.767,       361
1956,     8.910,       360
1957,     6.242,       363
1958,     6.407,       360
1959,     6.292,       362
1960,     7.412,       361
1961,     5.919,       359
1962,     6.634,       363
1963,     6.302,       365
1964,     6.367,       362
1965,     4.167,       362
1966,     6.911,       364
1967,     5.206,       363
1968,     4.936,       360
1969,     7.069,       364
1970,     7.117,       364
1971,     5.964,       363
1972,     5.198,       360
1973,     6.334,       357
1974,     6.861,       359
1975,     5.402,       362
1976,     5.256,       359
1977,     6.912,       361
1978,     8.415,       360
1979,     6.036,       361
1980,    13.197,       357
1981,     7.153,       360
1982,     4.109,       364
1983,     8.474,       361
1984,     6.078,       361
1985,     6.752,       362
1986,     6.312,       360
1987,     6.317,       361
1988,     9.141,       361
1989,     5.719,       361
1990,     7.102,       358
1991,     5.801,       361
1992,     4.884,       362
1993,     5.330,       362
1994,     6.521,       359
1995,     6.767,       360
1996,     6.833,       362
1997,     5.681,       361
1998,     7.578,       357
1999,     6.327,       356
2000,    10.058,       354
2001,     7.538,       356
2002,     7.529,       358
2003,     8.891,       358
2004,     5.241,       357
2005,     6.419,       348
2006,     7.986,       357
2007,     7.338,       350
2008,     6.009,       344
2009,     6.554,       347
2010,     7.125,       350
2011,     9.423,       346
2012,    11.119,       342
2013,     6.151,       330
2014,     5.447,       326
2015,     6.396,       320
2016,     5.686,       322
2017,     6.010,       318
2018,     5.483,       307
