Year,National
1900,27.532
1901,31.292
1902,29.676
1903,30.268
1904,32.772
1905,30.911
1906,27.06
1907,24.714
1908,22.388
1909,30.874
1910,28.391
1911,24.49
1912,33.091
1913,27.082
1914,30.383
1915,25.727
1916,34.563
1917,34.103
1918,28.889
1919,27.84
1920,29.579
1921,19.678
1922,27.93
1923,22.417
1924,32.96
1925,25.32
1926,27.39
1927,25.084
1928,20.057
1929,34.213
1930,29.103
1931,14.714
1932,29.973
1933,20.691
1934,22.535
1935,26.559
1936,34.16
1937,34.052
1938,22.315
1939,21.231
1940,34.531
1941,24.669
1942,27.291
1943,26.001
1944,25.734
1945,29.208
1946,18.102
1947,29.249
1948,32.746
1949,27.64
1950,31.659
1951,32.459
1952,25.885
1953,17.9
1954,20.139
1955,33.911
1956,26.357
1957,23.558
1958,30.09
1959,26.155
1960,36.887
1961,24.141
1962,30.425
1963,34.066
1964,24.735
1965,26.885
1966,30.681
1967,25.439
1968,28.878
1969,31.954
1970,30.118
1971,30.181
1972,31.698
1973,24.877
1974,24.106
1975,29.546
1976,26.588
1977,32.943
1978,43.003
1979,35.478
1980,29.952
1981,22.349
1982,31.46
1983,29.284
1984,25.772
1985,39.821
1986,23.454
1987,19.032
1988,28.315
1989,34.647
1990,18.056
1991,25.043
1992,21.547
1993,32.487
1994,27.824
1995,31.469
1996,35.548
1997,28.825
1998,19.465
1999,17.95
2000,30.194
2001,24.899
2002,21.921
2003,29.626
2004,24.874
2005,27.905
2006,16.93
2007,33.171
2008,31.649
2009,31.177
2010,34.487
2011,28.145
2012,17.929
2013,34.701
2014,37.779
2015,29.148
2016,24.476
2017,26.273
2018,31.746
2019,34.548
2020,22.177
2021,24.29
