Year,National
1900,42.513
1901,45.927
1902,37.335
1903,31.444
1904,33.329
1905,36.005
1906,37.182
1907,34.161
1908,40.548
1909,40.18
1910,43.338
1911,51.691
1912,37.185
1913,49.625
1914,47.904
1915,31.487
1916,44.651
1917,39.506
1918,45.076
1919,44.598
1920,35.688
1921,52.244
1922,45.96
1923,36.136
1924,38.257
1925,52.619
1926,45.553
1927,39.6
1928,38.339
1929,42.505
1930,48.269
1931,58.208
1932,43.655
1933,56.443
1934,59.339
1935,44.193
1936,62.287
1937,52.213
1938,48.609
1939,54.485
1940,43.549
1941,47.887
1942,40.384
1943,48.404
1944,46.781
1945,40.537
1946,37.082
1947,44.545
1948,43.923
1949,41.17
1950,29.287
1951,38.724
1952,52.203
1953,53.055
1954,52.828
1955,51.678
1956,47.976
1957,37.359
1958,38.233
1959,44.587
1960,42.228
1961,37.552
1962,39.923
1963,43.575
1964,43.41
1965,32.472
1966,37.89
1967,30.627
1968,36.43
1969,38.209
1970,44.371
1971,37.339
1972,37.468
1973,37.716
1974,35.817
1975,37.253
1976,33.683
1977,43.317
1978,43.187
1979,33.468
1980,50.097
1981,37.561
1982,32.305
1983,46.573
1984,38.316
1985,36.219
1986,38.735
1987,41.385
1988,51.397
1989,33.56
1990,40.601
1991,40.194
1992,24.658
1993,33.615
1994,32.977
1995,39.337
1996,33.168
1997,32.842
1998,44.138
1999,39.366
2000,41.337
2001,37.914
2002,45.93
2003,35.468
2004,27.144
2005,42.84
2006,43.395
2007,40.552
2008,31.707
2009,30.03
2010,43.747
2011,46.733
2012,49.73
2013,34.584
2014,30.368
2015,36.824
2016,41.541
2017,35.068
2018,42.628
2019,37.477
2020,40.27
2021,39.191
