Year,national
1895,37.26
1896,43.35
1897,42.25
1898,42.71
1899,38.4
1900,42.64
1901,42.36
1902,41.59
1903,40.07
1904,41.35
1905,38.9
1906,43.08
1907,43.92
1908,43.81
1909,43.98
1910,38.47
1911,43.16
1912,39.73
1913,41.79
1914,42.61
1915,39.9
1916,41.97
1917,40.27
1918,40.33
1919,42.88
1920,40.85
1921,45.17
1922,41.84
1923,43.15
1924,43.15
1925,42.49
1926,43.76
1927,43.69
1928,42.26
1929,39.47
1930,43.37
1931,44.37
1932,44.34
1933,41.96
1934,46.41
1935,43.87
1936,38.02
1937,40.61
1938,43.44
1939,43.4
1940,41.95
1941,43.62
1942,42.5
1943,44.04
1944,43.65
1945,42.33
1946,42.69
1947,44.08
1948,41.48
1949,40.49
1950,44.19
1951,43.66
1952,43.3
1953,45.61
1954,46.5
1955,42.05
1956,42.09
1957,44.34
1958,43.88
1959,42.34
1960,41.73
1961,43.48
1962,41.41
1963,42.06
1964,41.54
1965,42.77
1966,41.34
1967,43.82
1968,41.64
1969,40.52
1970,42.58
1971,42.9
1972,43.15
1973,40.94
1974,43.75
1975,43.1
1976,45.88
1977,41.78
1978,38.65
1979,36.75
1980,43.61
1981,46.05
1982,41.39
1983,44.65
1984,40.76
1985,40.87
1986,43.82
1987,44.29
1988,42.57
1989,43.07
1990,44.74
1991,44.25
1992,46.32
1993,40.61
1994,42.28
1995,45.55
1996,43.74
1997,43.2
1998,45.07
1999,47.07
2000,47.5
2001,41.48
2002,46.6
2003,43.8
2004,43.22
2005,45.51
2006,46.36
2007,43.81
2008,43.27
2009,44.47
2010,40.07
2011,42.16
2012,47.07
2013,44.68
2014,42.33
2015,44.33
2016,46.91
2017,45.86
2018,44.89
2019,42.94
2020,46.09
2021,43.79
