Year,national
1895,63.72
1896,62.85
1897,62.44
1898,62.64
1899,61.35
1900,63.73
1901,62.74
1902,63.37
1903,62.31
1904,62.62
1905,63.02
1906,61.19
1907,61.58
1908,64.15
1909,61.28
1910,67.63
1911,64.38
1912,60.51
1913,62.65
1914,63.17
1915,61.4
1916,63.09
1917,59.24
1918,64.46
1919,62.78
1920,60.6
1921,64.93
1922,62.33
1923,61.59
1924,60.42
1925,66.13
1926,62.75
1927,62.9
1928,63.47
1929,63.21
1930,63.8
1931,62.48
1932,61.98
1933,62.5
1934,67.42
1935,61.65
1936,65.3
1937,62.43
1938,64.09
1939,65.25
1940,63.2
1941,63.05
1942,63.43
1943,62.96
1944,61.84
1945,63.74
1946,66.04
1947,62.1
1948,63.07
1949,63.78
1950,61.31
1951,62.04
1952,62.16
1953,62.49
1954,63.12
1955,64.06
1956,63.41
1957,61.75
1958,61.61
1959,63.8
1960,61.64
1961,62.36
1962,62.92
1963,64.72
1964,62.89
1965,61.17
1966,63.88
1967,63.02
1968,63.26
1969,62.5
1970,61.68
1971,62.07
1972,64.5
1973,62.24
1974,64.36
1975,60.17
1976,63.74
1977,65.55
1978,62.65
1979,62.1
1980,62.52
1981,64.53
1982,62.3
1983,60.26
1984,61.73
1985,65.82
1986,65.9
1987,65.62
1988,65.03
1989,64.5
1990,64.0
1991,64.22
1992,65.18
1993,62.59
1994,65.3
1995,61.99
1996,62.58
1997,63.07
1998,63.47
1999,63.63
2000,66.61
2001,64.58
2002,63.37
2003,64.14
2004,66.32
2005,63.67
2006,65.88
2007,66.06
2008,63.21
2009,64.13
2010,64.42
2011,63.22
2012,69.03
2013,62.74
2014,63.82
2015,65.37
2016,65.84
2017,65.63
2018,64.73
2019,62.36
2020,64.57
2021,65.2
