 Year,National,#grids
1950,    12.410,       354
1951,    13.075,       358
1952,     8.238,       359
1953,     5.430,       360
1954,     6.136,       360
1955,    12.011,       360
1956,     9.315,       360
1957,     9.663,       363
1958,    10.167,       361
1959,    10.225,       362
1960,    11.535,       362
1961,     9.413,       361
1962,    13.463,       364
1963,    17.099,       365
1964,     9.617,       362
1965,    10.302,       361
1966,    11.529,       364
1967,     9.932,       362
1968,    10.951,       361
1969,     9.317,       362
1970,    12.200,       364
1971,    11.149,       363
1972,    14.531,       360
1973,     8.532,       357
1974,     9.871,       359
1975,    10.231,       361
1976,    12.075,       359
1977,    14.464,       361
1978,    16.335,       359
1979,    16.760,       360
1980,    10.290,       358
1981,     7.695,       361
1982,    14.544,       364
1983,     9.966,       361
1984,    10.538,       361
1985,    16.568,       362
1986,     7.625,       360
1987,     5.166,       361
1988,    12.102,       360
1989,    15.630,       360
1990,     7.912,       358
1991,     8.733,       361
1992,     6.576,       362
1993,    10.684,       362
1994,    11.093,       359
1995,     8.133,       360
1996,    13.193,       361
1997,     8.780,       360
1998,     5.165,       357
1999,     5.558,       356
2000,     8.787,       354
2001,     6.739,       356
2002,     5.459,       358
2003,     8.903,       357
2004,     8.977,       356
2005,     8.000,       349
2006,     4.047,       356
2007,     9.711,       350
2008,    11.379,       343
2009,    10.259,       347
2010,     7.750,       350
2011,     9.226,       345
2012,     4.345,       342
2013,    10.370,       328
2014,    14.865,       327
2015,    10.420,       320
2016,     6.539,       323
2017,     6.897,       317
2018,     8.825,       307
