Year,National
1900,22.852
1901,21.467
1902,20.18
1903,16.024
1904,12.563
1905,20.227
1906,17.644
1907,16.457
1908,16.627
1909,19.372
1910,16.698
1911,22.613
1912,19.694
1913,20.653
1914,21.789
1915,16.476
1916,23.041
1917,15.49
1918,18.009
1919,19.691
1920,15.156
1921,24.469
1922,19.094
1923,18.987
1924,17.784
1925,22.835
1926,20.323
1927,17.429
1928,18.599
1929,17.528
1930,20.866
1931,26.133
1932,21.639
1933,23.924
1934,27.985
1935,23.514
1936,29.334
1937,23.724
1938,21.858
1939,22.559
1940,18.022
1941,24.57
1942,20.202
1943,24.823
1944,19.823
1945,18.401
1946,17.317
1947,21.216
1948,17.12
1949,22.377
1950,13.381
1951,18.293
1952,21.782
1953,22.318
1954,23.697
1955,22.447
1956,16.448
1957,18.596
1958,18.363
1959,21.12
1960,15.958
1961,14.005
1962,16.118
1963,17.068
1964,19.628
1965,15.739
1966,17.174
1967,12.007
1968,18.107
1969,18.421
1970,19.91
1971,15.601
1972,15.166
1973,17.555
1974,13.793
1975,16.625
1976,10.947
1977,21.698
1978,19.157
1979,15.389
1980,24.025
1981,18.941
1982,17.234
1983,21.068
1984,15.08
1985,16.612
1986,21.064
1987,20.012
1988,21.909
1989,17.938
1990,20.211
1991,23.778
1992,13.067
1993,20.907
1994,17.36
1995,22.184
1996,17.901
1997,17.391
1998,26.138
1999,22.503
2000,21.467
2001,21.963
2002,24.943
2003,20.126
2004,16.828
2005,23.227
2006,23.098
2007,21.778
2008,18.156
2009,17.721
2010,29.486
2011,28.263
2012,24.918
2013,21.429
2014,18.47
2015,22.423
2016,27.47
2017,21.077
2018,26.989
2019,23.1
2020,23.115
2021,22.045
