Year,national
1895,38.11
1896,40.25
1897,39.72
1898,39.56
1899,39.09
1900,40.97
1901,39.78
1902,39.81
1903,38.76
1904,38.92
1905,39.46
1906,40.13
1907,39.7
1908,39.97
1909,39.55
1910,39.91
1911,40.1
1912,38.51
1913,39.62
1914,39.94
1915,39.85
1916,38.59
1917,37.63
1918,39.81
1919,39.8
1920,39.45
1921,41.64
1922,40.02
1923,39.88
1924,38.27
1925,40.43
1926,40.03
1927,40.39
1928,39.91
1929,38.79
1930,39.77
1931,41.44
1932,39.71
1933,40.58
1934,41.45
1935,40.12
1936,39.71
1937,39.67
1938,41.15
1939,40.62
1940,40.04
1941,41.24
1942,39.83
1943,39.54
1944,39.84
1945,39.81
1946,40.75
1947,39.96
1948,39.39
1949,39.86
1950,39.18
1951,39.06
1952,39.86
1953,40.97
1954,40.87
1955,39.43
1956,39.77
1957,40.64
1958,40.13
1959,40.08
1960,39.46
1961,39.92
1962,39.85
1963,39.86
1964,39.44
1965,39.9
1966,39.35
1967,39.7
1968,39.44
1969,39.82
1970,39.68
1971,39.79
1972,39.65
1973,40.76
1974,40.22
1975,39.78
1976,38.88
1977,40.53
1978,39.33
1979,39.07
1980,40.34
1981,41.17
1982,39.86
1983,40.69
1984,40.38
1985,39.56
1986,41.75
1987,41.32
1988,40.08
1989,39.7
1990,41.4
1991,41.52
1992,41.08
1993,39.84
1994,40.94
1995,40.97
1996,40.06
1997,40.69
1998,42.84
1999,41.56
2000,41.22
2001,41.75
2002,41.23
2003,41.41
2004,41.58
2005,41.79
2006,42.09
2007,41.68
2008,40.14
2009,40.61
2010,41.32
2011,41.21
2012,42.89
2013,40.71
2014,40.75
2015,42.73
2016,43.14
2017,42.75
2018,41.95
2019,41.28
2020,42.42
2021,42.66
