Year,national
1895,38.13
1896,39.04
1897,38.3
1898,38.55
1899,37.41
1900,39.33
1901,38.11
1902,39.57
1903,38.99
1904,38.28
1905,40.14
1906,37.74
1907,37.83
1908,39.5
1909,37.02
1910,40.52
1911,39.11
1912,37.38
1913,37.5
1914,38.78
1915,38.38
1916,38.04
1917,35.51
1918,39.25
1919,38.73
1920,36.98
1921,40.22
1922,38.95
1923,36.89
1924,36.48
1925,39.84
1926,37.7
1927,39.5
1928,38.32
1929,39.18
1930,38.88
1931,37.43
1932,37.68
1933,38.49
1934,40.03
1935,38.79
1936,39.43
1937,38.15
1938,40.29
1939,39.23
1940,38.52
1941,39.32
1942,38.88
1943,37.76
1944,37.82
1945,38.96
1946,40.71
1947,37.79
1948,38.46
1949,39.24
1950,36.65
1951,37.34
1952,37.81
1953,38.66
1954,38.21
1955,38.76
1956,37.84
1957,39.33
1958,38.64
1959,38.8
1960,36.89
1961,38.32
1962,38.4
1963,39.67
1964,38.15
1965,37.59
1966,38.19
1967,38.48
1968,38.28
1969,37.55
1970,37.66
1971,36.72
1972,39.06
1973,39.35
1974,39.85
1975,37.12
1976,38.4
1977,40.4
1978,39.1
1979,38.81
1980,38.19
1981,40.09
1982,38.66
1983,37.98
1984,38.12
1985,40.77
1986,40.85
1987,40.38
1988,38.58
1989,39.48
1990,40.07
1991,41.01
1992,40.4
1993,39.13
1994,39.94
1995,38.94
1996,37.85
1997,38.24
1998,39.78
1999,39.31
2000,41.23
2001,40.32
2002,38.18
2003,39.97
2004,41.66
2005,39.07
2006,40.88
2007,40.94
2008,37.86
2009,39.5
2010,40.05
2011,39.55
2012,43.31
2013,38.19
2014,38.49
2015,40.93
2016,41.5
2017,41.35
2018,40.09
2019,39.39
2020,40.67
2021,39.97
