Year,national
1895,50.34
1896,51.99
1897,51.55
1898,51.43
1899,51.01
1900,52.77
1901,51.87
1902,51.58
1903,50.62
1904,51.15
1905,51.0
1906,51.72
1907,51.48
1908,52.07
1909,51.44
1910,52.41
1911,52.03
1912,50.24
1913,51.54
1914,51.84
1915,51.45
1916,50.85
1917,50.06
1918,51.86
1919,51.55
1920,51.07
1921,53.8
1922,52.03
1923,51.64
1924,50.59
1925,52.52
1926,51.95
1927,52.14
1928,51.91
1929,50.86
1930,51.98
1931,53.53
1932,51.74
1933,52.99
1934,54.1
1935,51.89
1936,52.15
1937,51.55
1938,53.18
1939,53.26
1940,51.88
1941,52.66
1942,51.84
1943,52.06
1944,51.83
1945,51.75
1946,52.94
1947,51.92
1948,51.61
1949,52.02
1950,51.4
1951,51.12
1952,52.28
1953,53.37
1954,53.32
1955,51.69
1956,52.34
1957,52.05
1958,51.93
1959,52.11
1960,51.44
1961,51.87
1962,51.9
1963,52.25
1964,51.67
1965,51.68
1966,51.49
1967,51.76
1968,51.32
1969,51.5
1970,51.61
1971,51.66
1972,51.37
1973,52.29
1974,52.26
1975,51.5
1976,51.47
1977,52.55
1978,51.04
1979,50.89
1980,52.38
1981,53.12
1982,51.34
1983,51.88
1984,51.98
1985,51.3
1986,53.32
1987,53.33
1988,52.63
1989,51.83
1990,53.52
1991,53.16
1992,52.6
1993,51.26
1994,52.87
1995,52.65
1996,51.89
1997,52.2
1998,54.23
1999,53.87
2000,53.26
2001,53.69
2002,53.21
2003,53.26
2004,53.09
2005,53.63
2006,54.25
2007,53.65
2008,52.29
2009,52.39
2010,52.99
2011,53.19
2012,55.28
2013,52.43
2014,52.54
2015,54.39
2016,54.91
2017,54.55
2018,53.52
2019,52.68
2020,54.37
2021,54.51
