Year,national
1895,26.66
1896,32.75
1897,32.37
1898,32.27
1899,27.98
1900,32.17
1901,32.0
1902,31.01
1903,30.05
1904,29.9
1905,28.7
1906,32.53
1907,33.71
1908,33.39
1909,33.57
1910,28.19
1911,32.84
1912,29.36
1913,31.0
1914,32.46
1915,30.41
1916,31.48
1917,29.12
1918,29.11
1919,32.86
1920,30.58
1921,34.8
1922,31.29
1923,32.59
1924,32.49
1925,31.68
1926,33.51
1927,33.6
1928,31.52
1929,28.75
1930,32.55
1931,34.03
1932,34.46
1933,31.13
1934,35.29
1935,33.4
1936,27.79
1937,30.37
1938,33.63
1939,32.72
1940,31.81
1941,33.94
1942,32.24
1943,32.9
1944,33.05
1945,32.15
1946,31.79
1947,33.13
1948,30.83
1949,30.16
1950,33.11
1951,32.6
1952,32.91
1953,35.25
1954,35.34
1955,31.45
1956,31.68
1957,33.81
1958,33.53
1959,31.41
1960,32.0
1961,32.51
1962,31.01
1963,30.66
1964,30.41
1965,32.12
1966,31.17
1967,32.9
1968,31.32
1969,30.75
1970,31.99
1971,32.17
1972,32.51
1973,31.03
1974,33.16
1975,32.94
1976,34.59
1977,30.02
1978,29.05
1979,26.64
1980,33.34
1981,34.73
1982,30.84
1983,35.27
1984,30.59
1985,30.59
1986,33.12
1987,34.43
1988,32.03
1989,32.26
1990,33.65
1991,33.39
1992,36.36
1993,31.13
1994,31.81
1995,35.57
1996,32.94
1997,33.32
1998,35.91
1999,36.29
2000,36.49
2001,31.27
2002,35.68
2003,33.57
2004,33.08
2005,35.48
2006,35.49
2007,33.46
2008,32.75
2009,33.24
2010,30.73
2011,31.75
2012,36.36
2013,34.33
2014,31.26
2015,34.29
2016,36.8
2017,35.92
2018,34.0
2019,33.32
2020,36.06
2021,33.65
