Year,national
1895,50.93
1896,50.95
1897,50.38
1898,50.6
1899,49.38
1900,51.53
1901,50.43
1902,51.47
1903,50.65
1904,50.45
1905,51.58
1906,49.47
1907,49.71
1908,51.83
1909,49.15
1910,54.08
1911,51.74
1912,48.95
1913,50.08
1914,50.98
1915,49.9
1916,50.58
1917,47.38
1918,51.86
1919,50.75
1920,48.79
1921,52.58
1922,50.64
1923,49.24
1924,48.46
1925,52.99
1926,50.22
1927,51.21
1928,50.9
1929,51.2
1930,51.35
1931,49.96
1932,49.83
1933,50.5
1934,53.72
1935,50.22
1936,52.37
1937,50.29
1938,52.19
1939,52.25
1940,50.86
1941,51.18
1942,51.16
1943,50.36
1944,49.84
1945,51.35
1946,53.37
1947,49.96
1948,50.77
1949,51.51
1950,48.99
1951,49.69
1952,49.99
1953,50.57
1954,50.67
1955,51.4
1956,50.63
1957,50.54
1958,50.13
1959,51.3
1960,49.27
1961,50.34
1962,50.66
1963,52.2
1964,50.52
1965,49.39
1966,51.04
1967,50.75
1968,50.77
1969,50.03
1970,49.67
1971,49.41
1972,51.78
1973,50.8
1974,52.1
1975,48.64
1976,51.08
1977,52.98
1978,50.88
1979,50.46
1980,50.37
1981,52.32
1982,50.48
1983,49.13
1984,49.93
1985,53.3
1986,53.38
1987,53.01
1988,51.82
1989,52.0
1990,52.04
1991,52.62
1992,52.79
1993,50.86
1994,52.62
1995,50.47
1996,50.22
1997,50.66
1998,51.63
1999,51.47
2000,53.92
2001,52.45
2002,50.79
2003,52.06
2004,54.0
2005,51.37
2006,53.38
2007,53.5
2008,50.54
2009,51.81
2010,52.24
2011,51.39
2012,56.17
2013,50.47
2014,51.15
2015,53.15
2016,53.67
2017,53.5
2018,52.42
2019,50.88
2020,52.63
2021,52.59
