Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,9.672,16.678,8.299,5.298,4.083,3.01,10.333,-999.0,-999.0,
1901,10.345,15.6,5.689,4.723,5.105,3.043,5.634,-999.0,-999.0,
1902,9.75,14.333,8.972,5.777,6.348,3.635,10.782,-999.0,-999.0,
1903,9.299,14.517,8.36,5.08,4.054,2.838,9.748,-999.0,-999.0,
1904,7.537,10.978,7.886,4.083,5.425,4.693,9.064,-999.0,-999.0,
1905,8.717,16.603,9.414,5.257,4.483,4.808,11.262,-999.0,14.333,
1906,8.355,15.943,7.526,5.224,5.208,4.859,8.826,-999.0,14.333,
1907,8.875,14.788,7.797,3.414,5.735,3.679,9.415,-999.0,14.5,
1908,7.661,14.977,7.591,4.993,3.886,3.114,10.984,-999.0,7.0,
1909,7.529,14.667,9.58,3.995,6.495,5.551,7.801,-999.0,12.667,
1910,6.833,13.404,5.963,2.302,4.452,2.138,5.813,-999.0,17.5,
1911,7.944,14.264,7.648,3.874,3.091,3.954,8.234,-999.0,18.0,
1912,8.854,16.331,7.278,3.154,4.96,3.027,7.773,-999.0,12.333,
1913,9.906,15.419,7.755,3.174,4.019,3.167,8.519,-999.0,13.667,
1914,7.167,12.686,7.342,3.715,4.505,4.571,8.744,-999.0,10.5,
1915,9.01,16.938,8.379,5.493,3.453,4.48,10.875,-999.0,15.0,
1916,7.417,13.665,7.543,3.563,5.261,3.748,7.53,-999.0,24.5,
1917,7.727,12.882,6.169,2.667,4.454,1.826,4.73,-999.0,6.5,
1918,8.283,14.565,7.356,3.425,3.675,2.759,8.975,-999.0,34.0,
1919,8.392,17.023,8.255,3.259,4.946,3.293,10.801,-999.0,6.5,
1920,9.667,17.248,7.001,3.728,4.538,2.88,9.302,-999.0,7.667,
1921,6.606,13.006,8.296,3.486,5.406,3.015,7.659,-999.0,18.0,
1922,8.119,16.35,7.426,3.422,3.496,3.029,9.132,-999.0,13.333,
1923,7.429,16.889,7.287,4.647,3.895,2.5,11.777,-999.0,16.667,
1924,9.029,13.989,7.362,2.758,3.925,1.869,6.742,-999.0,12.333,
1925,8.142,12.009,6.642,2.939,2.886,2.533,7.172,-999.0,7.667,
1926,7.792,15.458,8.293,3.079,4.487,3.601,10.005,-999.0,6.0,
1927,9.091,15.059,9.169,3.784,6.25,3.691,9.384,-999.0,16.333,
1928,7.383,15.843,7.822,3.237,3.978,2.587,9.593,-999.0,12.333,
1929,7.755,17.082,7.849,3.043,3.278,2.135,9.38,-999.0,23.667,
1930,4.823,12.546,5.114,3.582,2.339,2.621,8.485,-999.0,22.0,
1931,6.745,12.618,7.283,2.653,4.858,3.079,7.425,-999.0,16.0,
1932,8.772,16.69,6.796,3.103,5.283,1.73,8.599,-999.0,16.667,
1933,7.444,13.845,6.56,2.538,5.819,2.858,7.664,-999.0,12.333,
1934,7.116,13.847,6.138,1.925,5.013,1.852,7.25,-999.0,15.333,
1935,7.263,14.575,7.639,3.136,2.833,2.611,10.292,-999.0,18.333,
1936,8.803,14.298,5.614,1.545,4.007,3.352,7.268,-999.0,24.667,
1937,10.461,15.722,7.708,2.964,6.807,3.667,6.696,-999.0,21.667,
1938,8.299,12.915,8.838,3.514,4.0,3.747,8.268,-999.0,15.667,
1939,6.299,14.562,6.6,2.218,2.864,1.66,6.186,-999.0,19.0,
1940,7.77,13.806,6.273,2.402,4.742,4.195,9.44,-999.0,10.0,
1941,6.303,12.945,8.05,3.765,3.768,5.154,11.596,-999.0,14.0,
1942,9.586,14.532,8.688,4.017,4.559,3.336,10.058,-999.0,19.0,
1943,6.656,12.905,7.366,2.837,3.575,2.79,6.563,-999.0,12.333,
1944,6.896,16.171,6.643,5.08,1.675,3.1,10.564,-999.0,9.333,
1945,9.967,17.123,9.414,2.86,4.802,3.041,9.781,-999.0,8.667,
