Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,1.313,3.415,1.54,0.317,1.305,0.652,1.994,2.048,6.398,
1951,0.938,3.09,1.216,0.388,0.945,0.588,1.903,2.565,7.378,
1952,1.551,2.807,0.975,0.273,0.292,0.545,1.417,3.188,4.079,
1953,1.256,3.534,0.671,0.373,1.138,0.302,1.75,2.2,1.961,
1954,1.737,2.344,1.231,0.279,0.86,0.58,1.211,2.18,5.989,
1955,1.609,2.908,1.077,0.273,1.129,0.635,1.603,2.24,6.314,
1956,0.668,2.893,0.894,0.253,0.988,0.338,0.829,3.18,6.718,
1957,0.448,3.989,1.361,0.422,0.694,0.473,3.04,2.417,5.721,
1958,1.108,2.962,1.338,0.236,0.8,0.599,2.049,2.66,5.069,
1959,1.211,3.459,1.477,0.225,1.259,0.397,2.505,3.34,4.962,
1960,1.281,2.961,0.986,0.304,1.021,0.511,2.075,2.94,4.399,
1961,0.767,3.884,1.511,0.255,1.078,0.257,2.539,3.24,4.258,
1962,1.106,2.795,0.893,0.466,0.889,0.647,1.459,2.771,2.542,
1963,0.98,2.884,0.86,0.316,0.61,0.549,1.129,3.583,6.2,
1964,0.532,5.025,1.212,0.501,1.334,0.428,1.778,2.022,5.939,
1965,0.446,2.867,1.363,0.421,0.786,0.511,2.237,3.92,7.818,
1966,0.959,3.383,1.028,0.353,0.879,0.522,1.788,3.354,4.584,
1967,1.276,3.306,1.005,0.322,0.815,0.488,2.049,2.41,8.475,
1968,0.955,2.937,1.352,0.484,0.993,0.391,2.272,2.52,7.014,
1969,1.523,3.76,1.404,0.342,0.725,0.871,2.206,2.4,8.509,
1970,1.067,3.046,1.451,0.283,0.838,0.681,1.676,2.413,5.9,
1971,1.394,3.148,0.924,0.455,1.093,0.268,1.997,2.87,4.173,
1972,1.739,3.688,1.197,0.275,1.449,0.339,1.795,2.886,4.729,
1973,1.443,4.663,1.437,0.468,0.753,0.534,3.1,1.783,4.99,
1974,0.923,3.405,1.084,0.263,1.482,0.58,2.546,3.109,4.438,
1975,1.468,3.889,1.267,0.383,1.298,0.408,1.878,2.348,4.285,
1976,1.147,2.941,0.74,0.254,0.558,0.193,1.781,4.06,4.158,
1977,1.462,3.564,1.311,0.407,0.933,0.363,1.841,2.52,3.587,
1978,1.058,3.126,1.34,0.461,0.392,0.755,1.626,2.24,4.917,
1979,1.685,5.262,1.483,0.325,0.842,0.499,2.545,2.58,7.153,
1980,0.977,3.472,0.986,0.227,1.048,0.633,1.651,2.72,7.729,
1981,0.986,2.591,1.41,0.323,1.108,0.589,2.403,3.16,4.388,
1982,0.877,3.906,1.591,0.464,1.37,0.853,1.956,1.76,10.771,
1983,1.689,4.73,1.294,0.341,1.271,0.968,1.738,2.44,2.532,
1984,1.415,3.906,1.258,0.267,0.978,0.222,1.673,2.48,3.4,
1985,1.4,3.388,1.736,0.335,0.391,0.317,2.806,2.96,4.521,
1986,1.001,2.864,1.664,0.444,1.044,0.61,2.93,3.28,5.511,
1987,1.161,3.359,1.104,0.44,0.828,0.36,2.125,5.0,7.021,
1988,0.966,3.196,0.992,0.367,0.702,0.296,1.508,3.5,5.679,
1989,1.364,4.005,1.247,0.36,0.609,0.272,2.174,3.34,10.927,
1990,1.608,3.989,1.767,0.267,1.335,0.214,2.413,2.771,7.557,
1991,1.183,4.817,1.318,0.338,0.943,0.479,2.781,4.333,4.331,
1992,0.941,3.526,1.174,0.344,0.57,0.497,2.297,4.0,5.437,
1993,1.068,3.035,1.91,0.558,0.609,0.6,2.342,3.72,2.688,
1994,1.184,4.1,1.259,0.399,1.199,0.28,2.312,2.76,5.282,
1995,1.258,4.244,1.393,0.424,1.375,1.002,2.424,2.08,3.258,
1996,2.56,3.701,1.613,0.354,1.742,0.771,1.997,2.2,7.052,
1997,0.991,3.909,1.055,0.428,1.201,0.531,2.722,3.609,5.469,
1998,1.456,4.503,1.592,0.481,1.525,0.702,2.871,2.864,1.873,
1999,1.717,3.308,1.264,0.454,1.252,0.35,1.811,3.06,3.648,
2000,1.395,2.712,1.528,0.386,0.439,0.444,1.971,1.688,3.339,
2001,0.896,3.954,1.355,0.411,0.772,0.359,2.447,1.354,3.474,
2002,1.082,3.985,1.606,0.307,0.931,0.533,2.447,2.98,4.466,
2003,1.516,4.095,1.241,0.252,1.147,0.337,1.861,2.88,3.352,
2004,1.879,4.521,1.521,0.33,0.634,0.634,2.796,3.42,7.63,
2005,2.607,3.452,1.308,0.435,0.941,0.624,1.458,2.021,5.476,
2006,2.013,3.612,1.495,0.296,1.463,0.463,2.015,2.96,6.953,
2007,1.474,2.571,1.518,0.661,1.088,0.31,3.156,2.38,1.929,
2008,1.891,4.03,2.285,0.511,0.589,0.487,2.404,2.78,5.291,
2009,1.321,4.853,1.619,0.289,0.746,0.312,2.52,3.18,4.428,
2010,2.297,3.266,1.904,0.561,0.821,0.713,2.259,1.083,2.058,
2011,2.251,3.979,1.477,0.469,1.075,0.307,1.119,2.58,4.02,
2012,1.48,3.359,0.891,0.185,1.459,0.424,1.883,1.74,2.231,
2013,1.595,4.659,1.777,0.606,0.587,0.217,2.108,2.542,3.249,
2014,1.485,3.993,1.813,0.711,0.989,0.526,1.829,3.027,4.93,
2015,1.215,4.492,2.153,0.519,1.479,0.296,4.11,1.875,8.911,
2016,1.048,3.876,1.743,0.509,1.043,0.514,2.618,2.36,4.14,
2017,1.504,4.368,1.742,0.363,1.231,0.773,2.585,1.604,4.257,
2018,1.922,4.949,2.12,0.419,0.558,0.432,3.282,1.375,7.9,
2019,0.994,4.114,1.618,0.662,0.72,0.642,2.694,2.64,3.796,
2020,1.227,5.1,1.631,0.24,0.651,0.119,1.975,1.292,4.854,
