Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,576.29,390.63,258.35,141.43,1170.78,1361.78,690.34
1896,-999.0,-999.0,583.12,413.76,315.47,242.09,1270.67,1572.53,832.94
1897,-999.0,-999.0,559.96,359.29,290.61,194.56,1249.15,1502.39,777.29
1898,-999.0,-999.0,623.69,507.23,341.9,229.42,1253.28,1415.48,847.83
1899,-999.0,-999.0,649.38,450.81,310.8,123.65,1295.85,1505.31,715.29
1900,-999.0,-999.0,700.6,542.03,421.59,171.29,1273.23,1443.14,776.26
1901,-999.0,-999.0,840.86,530.74,464.93,210.72,1280.88,1667.71,845.63
1902,-999.0,-999.0,468.04,304.4,241.03,122.81,1292.68,1494.55,739.59
1903,-999.0,-999.0,422.0,253.75,247.48,153.03,1083.9,1225.83,760.14
1904,-999.0,-999.0,405.34,312.98,234.0,184.52,1085.36,1275.43,727.83
1905,-999.0,-999.0,535.59,369.2,298.4,197.93,1175.24,1406.69,760.76
1906,-999.0,-999.0,559.21,458.91,275.02,258.88,1177.36,1300.7,743.45
1907,-999.0,-999.0,477.19,285.35,271.43,124.09,1155.18,1435.42,655.2
1908,-999.0,-999.0,523.49,427.91,265.18,185.36,1153.66,1345.91,708.51
1909,-999.0,-999.0,599.98,323.26,384.55,144.91,1203.38,1542.21,774.79
1910,-999.0,-999.0,572.49,356.5,342.85,158.96,1066.68,1475.45,828.0
1911,-999.0,-999.0,670.68,458.99,340.36,167.73,1214.19,1573.71,724.67
1912,-999.0,-999.0,479.94,309.42,263.26,118.23,1091.67,1414.2,645.42
1913,-999.0,-999.0,718.43,394.93,407.95,173.42,1219.75,1534.51,699.87
1914,-999.0,-999.0,696.57,356.97,396.6,192.94,1318.24,1541.18,733.88
1915,-999.0,-999.0,317.74,288.77,169.43,213.78,1114.59,1264.6,727.61
1916,-999.0,-999.0,712.75,412.08,367.8,130.55,1143.03,1492.55,704.0
