Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,56.82,17.77,22.2,1.95,221.73,300.86,112.79
1896,-999.0,-999.0,136.13,57.55,30.66,0.0,418.14,485.69,103.29
1897,-999.0,-999.0,26.57,10.76,19.49,18.54,246.01,334.72,139.73
1898,-999.0,-999.0,45.92,18.79,9.68,2.29,304.73,318.85,108.64
1899,-999.0,-999.0,57.24,23.47,12.88,0.0,334.76,410.05,73.83
1900,-999.0,-999.0,70.36,18.02,38.9,5.25,252.66,315.64,116.92
1901,-999.0,-999.0,39.74,12.27,29.66,6.93,198.89,290.73,91.56
1902,-999.0,-999.0,78.19,21.36,27.64,2.63,339.31,458.13,101.61
1903,-999.0,-999.0,65.3,31.64,14.25,1.62,248.67,251.65,84.7
1904,-999.0,-999.0,38.96,26.42,14.93,2.63,228.12,339.99,115.12
1905,-999.0,-999.0,43.49,23.45,8.63,1.28,344.62,374.4,63.81
1906,-999.0,-999.0,52.3,19.75,19.05,2.23,241.03,332.07,77.12
1907,-999.0,-999.0,15.04,5.44,3.29,3.24,248.52,285.27,78.67
1908,-999.0,-999.0,51.89,25.22,10.56,0.27,372.76,404.68,74.47
1909,-999.0,-999.0,28.26,13.5,10.21,1.28,232.75,308.8,72.63
1910,-999.0,-999.0,29.41,9.68,17.56,6.19,224.45,318.02,158.55
1911,-999.0,-999.0,104.32,55.38,26.32,0.27,305.26,369.17,87.45
1912,-999.0,-999.0,62.84,22.54,21.11,1.56,294.88,333.02,71.53
1913,-999.0,-999.0,43.66,13.33,12.86,3.63,239.51,291.81,86.88
1914,-999.0,-999.0,63.08,25.56,19.44,6.53,244.89,257.17,115.12
1915,-999.0,-999.0,35.24,9.35,12.56,2.56,268.04,272.66,62.49
1916,-999.0,-999.0,45.82,24.26,12.22,0.0,270.4,346.0,98.07
1917,-999.0,-999.0,12.17,2.01,5.31,1.28,168.24,208.18,42.24
1918,-999.0,-999.0,91.93,52.3,28.43,1.28,312.17,380.69,73.23
1919,-999.0,-999.0,28.02,16.76,13.18,3.97,220.45,254.93,120.37
1920,-999.0,-999.0,32.58,6.02,12.42,1.01,224.53,331.24,84.85
1921,-999.0,-999.0,74.47,20.98,22.1,2.9,278.96,363.58,77.96
1922,-999.0,-999.0,85.5,31.1,21.76,1.62,306.88,370.28,90.78
1923,-999.0,-999.0,31.69,9.35,12.45,1.95,216.49,307.93,112.17
1924,-999.0,-999.0,12.16,3.22,3.28,14.61,172.79,216.09,119.33
1925,-999.0,-999.0,31.14,4.43,17.68,8.82,248.19,440.38,131.47
1926,-999.0,-999.0,61.76,12.22,40.26,4.31,201.7,251.72,113.14
1927,-999.0,-999.0,35.55,10.18,9.5,1.01,324.66,460.19,104.91
1928,-999.0,-999.0,50.33,8.07,30.66,15.13,190.59,302.32,129.56
1929,-999.0,-999.0,27.98,13.13,8.33,2.56,301.14,353.43,96.94
1930,-999.0,-999.0,52.92,26.88,12.65,2.29,273.89,340.38,81.75
1931,-999.0,-999.0,23.89,15.12,10.0,9.53,152.68,164.82,141.44
1932,-999.0,-999.0,55.11,16.56,26.03,2.96,218.88,314.38,94.72
1933,-999.0,-999.0,54.97,32.68,13.2,0.0,338.42,417.36,49.41
1934,-999.0,-999.0,114.22,26.88,90.46,20.16,247.71,366.2,222.46
1935,-999.0,-999.0,18.69,6.62,4.54,1.89,290.28,321.84,69.12
1936,-999.0,-999.0,94.23,32.16,48.8,11.99,281.6,349.19,152.53
1937,-999.0,-999.0,50.21,20.44,26.55,4.58,241.45,343.41,116.36
1938,-999.0,-999.0,48.22,12.74,12.34,1.89,312.16,360.28,93.35
1939,-999.0,-999.0,83.6,29.32,52.83,7.21,250.33,402.02,135.79
1940,-999.0,-999.0,25.51,13.03,17.1,10.54,174.76,303.04,160.69
1941,-999.0,-999.0,92.75,24.77,44.01,3.97,272.2,330.68,90.76
1942,-999.0,-999.0,47.12,35.45,10.92,0.95,246.49,294.84,77.62
1943,-999.0,-999.0,32.75,22.93,8.95,1.01,292.19,360.28,139.58
1944,-999.0,-999.0,90.64,60.46,34.2,3.57,295.1,296.41,76.17
1945,-999.0,-999.0,24.19,9.86,6.06,2.56,286.6,330.95,89.13
1946,-999.0,-999.0,38.55,16.4,14.26,5.07,280.75,371.13,122.07
1947,-999.0,-999.0,19.72,12.26,6.35,14.44,249.05,278.61,142.69
1948,-999.0,-999.0,37.45,13.3,22.22,2.29,322.11,409.63,101.55
1949,-999.0,-999.0,65.21,19.82,28.95,10.65,270.22,346.96,103.94
1950,-999.0,-999.0,46.58,14.67,8.17,1.28,258.15,333.82,109.28
1951,-999.0,-999.0,59.14,18.42,18.54,2.9,223.61,310.85,98.55
1952,-999.0,-999.0,38.6,10.83,16.46,4.18,244.4,259.44,119.37
1953,-999.0,-999.0,51.49,35.76,10.86,0.27,342.74,365.17,54.34
1954,-999.0,-999.0,24.51,7.49,7.16,5.92,224.91,313.73,150.06
1955,-999.0,-999.0,80.72,32.74,40.28,1.01,350.51,457.37,75.78
1956,-999.0,-999.0,54.57,9.81,22.48,7.36,279.31,414.9,115.67
1957,-999.0,-999.0,41.06,21.75,11.42,6.56,290.74,282.2,68.65
1958,-999.0,-999.0,48.87,9.36,33.83,22.78,237.78,308.42,139.22
1959,-999.0,-999.0,84.95,39.29,15.62,0.0,298.15,341.66,117.37
1960,-999.0,-999.0,33.18,14.35,15.06,1.28,199.35,284.81,114.35
1961,-999.0,-999.0,20.95,4.88,9.41,2.96,193.43,316.81,103.21
1962,-999.0,-999.0,115.8,36.4,35.9,1.34,321.27,397.26,109.12
1963,-999.0,-999.0,40.64,10.03,19.55,5.25,299.04,474.5,119.62
1964,-999.0,-999.0,93.42,28.35,32.81,1.62,293.69,404.4,81.22
1965,-999.0,-999.0,95.21,42.88,24.79,1.28,332.62,384.22,68.03
1966,-999.0,-999.0,21.47,7.26,15.14,6.87,217.24,300.05,147.12
1967,-999.0,-999.0,22.77,2.69,7.84,1.95,277.92,436.44,83.13
1968,-999.0,-999.0,24.7,5.35,7.8,2.23,220.88,280.26,94.47
1969,-999.0,-999.0,48.8,19.28,23.91,9.43,229.43,286.64,127.17
1970,-999.0,-999.0,71.79,29.0,28.3,2.56,280.59,297.05,103.77
1971,-999.0,-999.0,25.67,6.13,10.82,4.18,166.45,301.37,67.04
1972,-999.0,-999.0,60.4,16.65,19.79,4.52,229.56,379.86,133.88
1973,-999.0,-999.0,27.86,7.27,12.08,4.91,213.1,259.79,109.47
1974,-999.0,-999.0,38.89,12.02,16.34,1.01,303.16,452.56,128.46
1975,-999.0,-999.0,78.91,38.21,22.27,1.28,284.42,315.22,62.45
1976,-999.0,-999.0,29.5,9.38,15.98,4.64,204.92,250.64,111.15
1977,-999.0,-999.0,140.95,34.35,62.36,0.0,320.84,368.05,73.5
1978,-999.0,-999.0,42.27,10.94,17.9,1.28,237.98,364.05,98.04
1979,-999.0,-999.0,35.43,19.62,8.66,3.85,236.45,262.99,99.3
1980,-999.0,-999.0,56.76,23.05,28.38,2.9,233.21,292.76,70.73
1981,-999.0,-999.0,35.37,15.14,17.54,1.62,239.48,347.64,126.95
1982,-999.0,-999.0,92.6,32.66,18.8,1.28,294.83,321.2,97.41
1983,-999.0,-999.0,20.41,7.74,6.98,2.5,173.78,218.57,79.83
1984,-999.0,-999.0,23.24,8.33,10.83,1.34,204.77,338.18,173.21
