Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,3001.65,2634.5,3087.92,1920.39,1575.21,1618.37,1682.81
1896,-999.0,-999.0,3643.21,3458.79,3943.29,2665.72,1904.7,1874.43,2342.74
1897,-999.0,-999.0,3714.06,3533.8,4025.18,2710.64,1878.5,1878.27,2368.19
1898,-999.0,-999.0,3761.91,3356.26,4033.61,2800.98,1754.36,1844.41,2540.26
1899,-999.0,-999.0,4260.36,3685.49,4578.93,2998.27,2134.6,2403.13,2613.24
1900,-999.0,-999.0,3879.35,3422.42,4069.16,2671.61,1988.57,1933.91,2238.18
1901,-999.0,-999.0,3902.67,3684.99,4003.0,2684.61,1932.8,1852.39,2302.92
1902,-999.0,-999.0,4050.11,3651.97,4070.09,2709.13,2235.57,2082.61,2290.68
1903,-999.0,-999.0,3953.89,3536.26,4354.24,2935.18,1907.69,2049.94,2590.07
1904,-999.0,-999.0,4482.98,4063.86,4226.51,2818.5,2153.75,1859.61,2363.2
1905,-999.0,-999.0,4346.71,4039.24,4344.03,2769.88,2301.38,2390.48,2336.95
1906,-999.0,-999.0,3605.92,3239.42,3857.45,2778.02,1928.86,1981.48,2428.2
1907,-999.0,-999.0,3789.96,3732.08,4219.37,2762.52,1589.78,1508.63,2105.93
1908,-999.0,-999.0,3621.97,3474.62,3797.04,2693.58,1945.7,1721.82,2283.97
1909,-999.0,-999.0,3606.73,3294.21,4152.29,2921.66,1564.19,1613.6,2305.48
1910,-999.0,-999.0,4179.34,3590.05,4641.18,3243.16,2111.13,2179.32,2686.95
1911,-999.0,-999.0,3756.61,3610.12,4181.35,2904.27,1728.28,1600.2,2255.41
1912,-999.0,-999.0,4295.42,3694.65,4337.58,2780.46,2094.57,2234.68,2508.49
1913,-999.0,-999.0,3738.2,3142.06,4275.08,3066.78,1686.07,2056.14,2689.16
1914,-999.0,-999.0,3630.04,3562.07,3976.74,2740.0,1837.92,1841.03,2402.21
1915,-999.0,-999.0,3923.69,3401.1,4303.35,2965.45,1989.4,2082.12,2576.57
1916,-999.0,-999.0,3888.08,3441.07,4505.36,3054.39,1746.48,1780.85,2359.16
1917,-999.0,-999.0,4243.6,3609.05,4671.7,3172.5,1790.84,1842.99,2703.55
1918,-999.0,-999.0,4494.89,4158.56,4455.62,2528.32,2279.54,2263.95,2266.33
1919,-999.0,-999.0,3359.79,3186.32,3816.6,2831.39,1738.13,1895.25,2590.44
1920,-999.0,-999.0,4282.11,3944.64,4223.71,3038.34,1929.69,1981.06,2287.26
1921,-999.0,-999.0,3351.41,3253.68,3700.24,2693.81,1690.64,1595.86,2330.33
1922,-999.0,-999.0,3779.39,3553.22,4447.71,3196.01,1642.69,1769.92,2451.77
1923,-999.0,-999.0,3829.64,3716.56,4207.08,3016.26,1613.65,1579.78,2267.78
1924,-999.0,-999.0,3686.33,3316.13,4011.49,2771.36,1806.96,1958.7,2410.43
1925,-999.0,-999.0,3942.67,3480.12,4229.68,2855.05,1702.24,1945.08,2480.05
1926,-999.0,-999.0,3754.8,3541.1,3676.61,2529.02,1890.54,1885.54,2312.37
1927,-999.0,-999.0,3738.54,3501.96,4059.0,2791.91,1551.19,1670.04,2276.54
1928,-999.0,-999.0,3791.4,3353.4,4267.35,2944.57,1882.58,1912.37,2408.61
1929,-999.0,-999.0,4145.38,3403.66,4634.89,3356.86,1910.12,2130.23,2655.25
1930,-999.0,-999.0,3770.42,3341.6,4208.56,2961.06,1736.03,1968.64,2283.32
1931,-999.0,-999.0,3319.46,3416.92,3495.01,2826.48,1928.3,1765.65,2420.09
1932,-999.0,-999.0,3137.22,2866.36,4081.05,3076.08,1238.63,1554.62,2634.67
1933,-999.0,-999.0,3582.62,3038.51,4275.33,3218.34,1617.57,1833.91,2841.19
1934,-999.0,-999.0,3677.83,3808.01,3584.77,2252.24,1695.49,1569.2,2036.13
1935,-999.0,-999.0,3813.21,3645.35,3866.1,2743.35,1819.68,1689.27,2195.95
1936,-999.0,-999.0,4520.28,3898.61,4815.84,2982.65,2277.87,2208.27,2359.6
1937,-999.0,-999.0,3788.5,3020.08,4675.19,3266.02,1567.19,1903.38,2765.86
1938,-999.0,-999.0,3712.57,3403.92,4064.13,2614.54,1723.64,1697.46,2192.41
1939,-999.0,-999.0,3635.16,3315.62,4021.65,2777.59,1670.36,1756.65,2495.03
1940,-999.0,-999.0,3877.89,3673.84,4001.15,2471.89,2240.47,2137.2,2172.77
1941,-999.0,-999.0,3653.75,3461.69,3823.26,2516.68,1842.35,1763.01,2149.59
1942,-999.0,-999.0,3571.14,3447.53,3977.29,2874.73,1950.42,1879.94,2458.89
1943,-999.0,-999.0,3942.27,3580.03,4126.61,2828.78,1765.8,1735.22,2154.52
1944,-999.0,-999.0,3494.34,3495.96,3822.96,2850.01,1758.15,1833.62,2485.54
1945,-999.0,-999.0,3996.03,3722.06,3952.62,2720.18,1942.63,1910.33,2301.96
1946,-999.0,-999.0,3847.58,3599.45,4025.22,2805.5,1918.65,1867.72,2479.44
1947,-999.0,-999.0,3682.33,3329.92,3944.14,2763.68,1800.13,1877.43,2275.7
1948,-999.0,-999.0,3970.07,3790.82,4127.56,2797.08,2009.62,2069.66,2481.88
1949,-999.0,-999.0,3670.22,3001.6,4776.7,3505.0,1448.03,1922.04,2879.9
1950,-999.0,-999.0,3637.71,3095.29,4461.53,3149.02,1389.84,1591.33,2391.05
1951,-999.0,-999.0,4015.4,3271.24,4064.52,2634.73,1921.3,1847.43,2215.31
1952,-999.0,-999.0,3640.14,3182.08,4291.52,3068.16,1514.65,1518.14,2496.36
