Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,89.18,96.52,449.39,395.94,0.97,6.08,145.96
1896,-999.0,-999.0,85.83,113.08,307.35,303.59,1.96,3.53,79.97
1897,-999.0,-999.0,136.67,173.58,365.19,354.86,1.64,3.33,114.91
1898,-999.0,-999.0,82.18,81.91,305.25,300.04,0.64,3.14,86.21
1899,-999.0,-999.0,72.06,83.39,394.23,495.34,0.38,3.53,127.07
1900,-999.0,-999.0,73.68,70.51,261.67,337.71,1.28,2.55,87.61
1901,-999.0,-999.0,59.79,71.15,335.33,451.07,0.74,0.59,96.25
1902,-999.0,-999.0,167.22,191.62,452.49,426.65,1.93,7.23,108.0
1903,-999.0,-999.0,196.36,267.74,399.36,371.07,12.86,18.57,129.01
1904,-999.0,-999.0,166.57,146.13,414.86,358.42,2.82,9.91,134.04
1905,-999.0,-999.0,111.92,144.34,377.21,359.79,1.32,3.33,114.1
1906,-999.0,-999.0,101.07,89.03,396.07,360.66,1.57,8.15,144.63
1907,-999.0,-999.0,146.18,185.62,457.37,448.6,9.28,5.07,173.12
1908,-999.0,-999.0,118.87,95.86,429.37,398.88,2.39,6.64,158.62
1909,-999.0,-999.0,86.2,127.69,309.83,425.11,1.18,3.14,100.69
1910,-999.0,-999.0,93.44,151.46,316.21,444.74,7.54,5.88,97.17
1911,-999.0,-999.0,73.57,105.24,361.19,398.31,0.69,1.37,120.76
1912,-999.0,-999.0,157.15,179.49,425.47,398.32,5.88,8.71,148.62
1913,-999.0,-999.0,67.64,120.25,304.82,350.82,1.15,1.76,119.93
1914,-999.0,-999.0,84.88,141.23,325.23,376.03,0.2,0.59,115.77
1915,-999.0,-999.0,243.0,164.22,542.91,350.1,6.47,19.95,148.92
1916,-999.0,-999.0,138.1,153.36,408.74,450.56,5.28,6.02,131.89
1917,-999.0,-999.0,167.74,110.03,382.05,376.6,4.11,7.2,114.97
1918,-999.0,-999.0,92.7,152.92,288.99,293.96,2.75,0.39,70.84
1919,-999.0,-999.0,62.45,94.73,207.88,375.53,1.2,4.73,84.62
1920,-999.0,-999.0,115.96,113.12,347.29,364.84,4.52,8.98,124.67
1921,-999.0,-999.0,44.69,101.14,239.08,343.65,0.74,2.52,97.8
1922,-999.0,-999.0,79.7,93.94,253.01,274.69,1.36,2.75,72.16
1923,-999.0,-999.0,79.9,129.4,320.29,341.43,1.15,3.14,149.87
1924,-999.0,-999.0,163.54,144.93,413.34,352.9,1.79,4.12,96.69
1925,-999.0,-999.0,82.27,92.17,325.74,331.83,0.59,0.98,110.31
1926,-999.0,-999.0,147.53,179.16,314.24,245.0,4.43,3.14,84.84
1927,-999.0,-999.0,206.26,225.7,409.88,299.58,9.15,11.84,128.68
1928,-999.0,-999.0,162.14,129.45,456.94,365.33,5.86,12.24,139.37
1929,-999.0,-999.0,133.51,135.04,292.29,349.5,3.93,3.92,98.53
1930,-999.0,-999.0,69.54,80.68,271.33,362.26,2.2,3.14,92.9
1931,-999.0,-999.0,52.53,87.31,200.93,293.98,1.15,2.49,66.26
1932,-999.0,-999.0,57.29,105.52,267.69,354.6,0.92,2.75,107.01
1933,-999.0,-999.0,45.25,81.4,202.97,322.27,0.54,1.37,79.32
1934,-999.0,-999.0,59.31,105.26,249.84,307.6,0.33,0.0,85.54
1935,-999.0,-999.0,120.18,89.25,318.63,332.36,3.71,5.99,84.33
1936,-999.0,-999.0,74.81,101.57,173.14,262.28,0.49,0.39,58.34
1937,-999.0,-999.0,72.74,60.24,279.19,329.34,0.56,1.76,89.72
1938,-999.0,-999.0,80.11,70.42,271.31,304.9,3.81,2.55,90.68
1939,-999.0,-999.0,68.98,74.27,326.08,360.09,0.28,2.55,96.08
1940,-999.0,-999.0,90.72,130.21,222.45,233.48,1.92,4.09,65.56
1941,-999.0,-999.0,68.89,97.68,278.65,304.27,1.2,4.09,134.08
1942,-999.0,-999.0,98.28,90.39,365.98,334.47,1.15,4.31,110.12
1943,-999.0,-999.0,54.18,68.66,345.79,428.73,0.0,0.98,118.36
1944,-999.0,-999.0,66.63,68.03,397.2,387.78,0.36,2.35,144.58
1945,-999.0,-999.0,164.21,111.32,421.48,359.89,2.67,10.5,139.5
1946,-999.0,-999.0,124.39,149.24,314.19,351.55,4.35,2.16,83.76
1947,-999.0,-999.0,109.38,103.25,366.38,412.75,3.63,4.31,127.14
1948,-999.0,-999.0,88.45,110.73,321.44,336.86,1.35,3.92,110.09
1949,-999.0,-999.0,44.39,37.72,293.67,366.31,0.89,3.47,110.25
1950,-999.0,-999.0,153.61,114.93,434.51,334.58,4.69,11.7,128.66
1951,-999.0,-999.0,156.35,115.19,483.55,334.44,1.43,9.75,133.08
1952,-999.0,-999.0,71.04,56.98,299.83,370.55,0.08,0.78,101.68
1953,-999.0,-999.0,57.17,82.49,292.44,437.85,0.43,0.78,104.96
1954,-999.0,-999.0,72.64,121.57,341.69,523.24,0.59,0.39,102.98
1955,-999.0,-999.0,76.63,86.34,315.71,421.4,12.11,6.52,116.76
1956,-999.0,-999.0,82.45,124.37,287.25,374.15,2.21,0.59,91.93
1957,-999.0,-999.0,88.93,99.13,319.76,374.97,1.07,3.5,92.37
1958,-999.0,-999.0,167.24,176.82,359.31,182.09,3.62,4.9,82.66
1959,-999.0,-999.0,55.02,88.15,261.98,322.31,2.42,2.94,67.26
1960,-999.0,-999.0,113.29,101.95,297.77,318.27,2.39,4.51,71.79
