Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,1644.58,1458.42,2114.69,1602.87,650.04,692.63,1078.22
1896,-999.0,-999.0,1761.98,1390.36,2506.28,1690.71,488.63,602.55,1059.15
1897,-999.0,-999.0,1311.49,1367.25,1920.35,1524.0,468.86,451.82,973.07
1898,-999.0,-999.0,1582.81,1332.8,2229.49,1588.79,654.61,656.91,1088.4
1899,-999.0,-999.0,1219.41,1365.93,1765.95,1351.63,468.63,408.96,951.95
1900,-999.0,-999.0,1276.63,1116.63,1975.76,1556.93,434.02,439.63,939.33
1901,-999.0,-999.0,1477.11,1529.26,1850.23,1316.86,696.62,433.8,870.52
1902,-999.0,-999.0,1319.39,1224.2,1973.95,1484.39,427.36,421.9,995.38
1903,-999.0,-999.0,1576.77,1468.65,2027.06,1500.4,660.37,581.06,944.9
1904,-999.0,-999.0,1392.72,1601.77,1663.24,1245.82,607.96,465.48,933.95
1905,-999.0,-999.0,1452.74,1449.33,1944.71,1598.91,527.72,479.81,1027.96
1906,-999.0,-999.0,1435.35,1348.21,1930.84,1438.01,576.26,606.58,1063.32
1907,-999.0,-999.0,1580.32,1533.41,1872.01,1318.95,647.46,583.38,978.8
1908,-999.0,-999.0,1315.98,1285.63,1885.15,1475.07,544.33,524.95,1107.12
1909,-999.0,-999.0,1366.64,1369.01,1857.66,1423.47,452.85,347.83,984.02
1910,-999.0,-999.0,1489.03,1406.1,1822.63,1458.57,588.95,443.41,872.2
1911,-999.0,-999.0,1672.51,1479.75,2265.53,1671.65,588.24,614.92,1106.85
1912,-999.0,-999.0,1355.23,1285.89,2021.14,1625.74,578.67,502.07,1122.59
1913,-999.0,-999.0,1320.18,1239.48,1912.53,1511.31,531.23,435.69,983.41
1914,-999.0,-999.0,1261.17,1342.63,1693.01,1442.01,560.31,443.47,872.52
1915,-999.0,-999.0,1295.75,1247.64,1862.6,1504.69,448.25,401.13,966.0
1916,-999.0,-999.0,1474.73,1394.79,2116.88,1712.08,553.77,511.92,1168.18
1917,-999.0,-999.0,1701.24,1698.9,1845.55,1306.18,764.25,561.65,859.95
1918,-999.0,-999.0,1451.34,1378.37,1923.38,1362.24,557.87,554.68,1019.82
1919,-999.0,-999.0,1470.51,1283.47,2357.54,1684.8,394.89,531.05,1136.63
1920,-999.0,-999.0,1275.62,1270.9,1914.01,1567.6,598.49,569.68,1086.23
1921,-999.0,-999.0,1416.55,1322.13,1920.2,1462.36,469.82,394.72,837.45
1922,-999.0,-999.0,1192.21,1296.34,1756.35,1475.65,484.99,440.52,1021.65
1923,-999.0,-999.0,1442.32,1375.53,1861.5,1369.75,630.81,599.09,1049.47
1924,-999.0,-999.0,1389.36,1438.3,1852.09,1513.59,539.35,403.8,989.79
1925,-999.0,-999.0,1730.25,1592.87,2197.54,1523.84,629.1,631.33,1089.21
1926,-999.0,-999.0,1635.71,1442.93,2069.46,1408.19,613.67,544.87,877.59
1927,-999.0,-999.0,1258.49,1146.81,1896.46,1394.72,386.7,335.75,857.51
1928,-999.0,-999.0,1402.88,1372.31,1946.73,1468.31,540.33,498.3,989.29
1929,-999.0,-999.0,1609.88,1393.97,2137.16,1533.67,606.9,682.82,1056.89
1930,-999.0,-999.0,1405.68,1320.66,1995.07,1599.28,627.2,528.87,1062.42
1931,-999.0,-999.0,1000.19,1012.77,1810.52,1573.97,335.17,317.87,1014.78
1932,-999.0,-999.0,1618.04,1345.72,1999.95,1350.57,666.23,649.12,926.48
1933,-999.0,-999.0,1477.42,1486.84,1740.06,1427.41,541.13,404.48,803.5
1934,-999.0,-999.0,1256.96,1282.01,1738.11,1290.18,466.29,367.65,866.77
1935,-999.0,-999.0,1526.31,1306.99,2073.0,1576.39,503.53,568.21,1046.09
1936,-999.0,-999.0,1523.57,1431.21,1913.63,1483.74,583.99,622.5,974.85
1937,-999.0,-999.0,1596.88,1448.98,1853.82,1238.69,699.07,584.06,853.99
1938,-999.0,-999.0,1251.7,1294.32,1773.3,1427.92,502.57,470.52,1052.62
1939,-999.0,-999.0,1321.64,1425.81,1702.62,1335.53,579.54,495.08,886.36
1940,-999.0,-999.0,1411.57,1505.45,1815.52,1397.52,573.42,516.63,974.49
1941,-999.0,-999.0,1248.9,1178.01,1912.1,1468.54,465.11,482.62,1026.33
1942,-999.0,-999.0,1424.64,1286.13,1915.79,1396.69,476.95,441.53,913.3
1943,-999.0,-999.0,1623.57,1455.5,1822.31,1312.08,666.6,575.45,924.96
1944,-999.0,-999.0,1310.37,1356.36,1820.25,1298.96,573.52,444.17,970.65
1945,-999.0,-999.0,1478.58,1306.71,1947.92,1485.84,519.84,435.58,957.33
1946,-999.0,-999.0,1279.47,1103.4,2118.09,1681.11,423.0,455.31,1143.98
1947,-999.0,-999.0,1313.57,1213.19,1877.02,1415.81,526.61,499.22,1026.41
1948,-999.0,-999.0,1321.82,1212.04,1851.31,1560.02,545.06,531.76,1043.18
1949,-999.0,-999.0,1370.24,1292.2,1758.78,1401.66,542.44,438.79,857.06
1950,-999.0,-999.0,1467.44,1309.54,1928.1,1399.83,620.65,491.29,792.86
1951,-999.0,-999.0,1678.04,1397.39,2186.75,1488.57,645.72,610.58,1027.0
1952,-999.0,-999.0,1514.8,1384.99,1891.46,1408.76,692.32,596.26,996.68
1953,-999.0,-999.0,1175.19,1205.82,1566.35,1238.93,545.91,475.47,862.47
1954,-999.0,-999.0,1331.64,1260.32,1735.16,1385.56,573.75,432.05,832.73
1955,-999.0,-999.0,1506.19,1358.97,2108.75,1593.63,603.49,524.32,948.13
1956,-999.0,-999.0,1300.47,1360.97,1823.36,1578.41,567.5,480.68,997.47
1957,-999.0,-999.0,1544.7,1284.03,2032.08,1476.75,611.97,644.03,1121.53
1958,-999.0,-999.0,1283.43,1341.37,1800.24,1384.2,513.52,451.57,891.18
1959,-999.0,-999.0,1673.04,1246.7,2220.1,1533.79,576.91,692.94,967.15
1960,-999.0,-999.0,1295.67,1278.1,1806.25,1411.07,513.35,418.12,931.32
1961,-999.0,-999.0,1341.09,1118.06,2111.14,1668.47,522.38,577.87,1115.39
1962,-999.0,-999.0,1367.2,1477.68,1707.7,1327.11,584.77,463.77,826.78
1963,-999.0,-999.0,1041.26,1187.27,1467.35,1233.42,499.86,348.74,795.22
1964,-999.0,-999.0,1380.99,1368.79,1950.06,1523.44,549.48,461.02,980.36
1965,-999.0,-999.0,1406.91,1400.21,1981.81,1334.06,509.03,374.94,880.13
1966,-999.0,-999.0,1472.18,1369.2,1891.44,1341.12,590.97,450.29,888.15
1967,-999.0,-999.0,1564.85,1478.3,1834.48,1285.75,700.45,531.24,835.98
1968,-999.0,-999.0,1374.72,1251.07,1908.57,1475.17,597.62,551.47,980.38
1969,-999.0,-999.0,1505.3,1354.32,1971.07,1495.55,632.08,557.87,1032.12
1970,-999.0,-999.0,1386.13,1171.48,2088.18,1598.84,591.86,618.14,1051.83
1971,-999.0,-999.0,1180.3,1158.1,1984.11,1632.71,482.48,439.62,1107.91
1972,-999.0,-999.0,1584.45,1514.22,2098.45,1543.77,637.26,672.95,1108.59
1973,-999.0,-999.0,1209.1,1236.12,1942.75,1498.43,399.43,362.93,975.49
1974,-999.0,-999.0,1480.7,1458.27,1851.72,1315.54,628.67,555.05,945.43
1975,-999.0,-999.0,1291.09,1167.39,1940.33,1475.14,494.18,471.92,1021.31
1976,-999.0,-999.0,1810.05,1634.27,2015.87,1357.71,878.87,834.25,984.66
1977,-999.0,-999.0,1428.69,1285.91,1930.18,1523.26,539.73,432.72,839.04
1978,-999.0,-999.0,1367.63,1397.23,1978.31,1573.45,466.68,444.82,937.73
1979,-999.0,-999.0,1429.81,1235.67,1884.59,1367.56,567.71,552.11,971.69
1980,-999.0,-999.0,1488.89,1458.41,1792.35,1363.66,638.95,546.33,925.0
1981,-999.0,-999.0,1422.67,1441.09,1750.65,1395.62,578.23,446.5,875.46
1982,-999.0,-999.0,1391.09,1218.04,2056.47,1561.95,516.77,503.56,1071.65
1983,-999.0,-999.0,1296.33,1229.17,1853.25,1417.45,530.53,414.03,888.67
1984,-999.0,-999.0,1366.86,1272.44,2065.48,1592.35,532.14,504.62,1074.18
1985,-999.0,-999.0,1451.4,1148.89,2457.13,1892.89,315.9,496.12,1088.8
1986,-999.0,-999.0,1475.32,1390.2,2064.41,1455.88,454.91,564.61,1012.37
1987,-999.0,-999.0,1417.71,1390.89,1778.19,1208.98,607.19,510.51,886.26
1988,-999.0,-999.0,1510.72,1432.66,1841.95,1254.06,606.57,454.66,856.95
1989,-999.0,-999.0,1471.21,1311.43,1855.53,1355.65,527.39,451.57,885.9
1990,-999.0,-999.0,1252.23,1144.47,1694.97,1352.7,456.14,395.35,848.96
1991,-999.0,-999.0,1561.49,1268.36,2075.66,1339.04,593.88,602.64,913.06
1992,-999.0,-999.0,1512.99,1427.77,1951.98,1418.78,594.88,571.52,958.87
1993,-999.0,-999.0,1632.26,1385.85,2155.83,1481.41,609.06,673.04,1040.44
1994,-999.0,-999.0,1187.1,1210.86,1822.45,1541.45,450.7,419.44,1063.92
1995,-999.0,-999.0,1596.59,1344.7,1958.75,1275.96,635.13,500.37,774.43
1996,-999.0,-999.0,1592.36,1432.25,2136.67,1494.13,625.33,542.69,933.61
1997,-999.0,-999.0,1455.36,1411.82,1841.77,1328.66,636.34,553.74,908.6
1998,-999.0,-999.0,1137.71,1196.65,1631.24,1295.71,406.68,353.21,883.22
1999,-999.0,-999.0,1201.71,1147.25,1647.7,1252.2,448.18,354.53,757.72
2000,-999.0,-999.0,1341.47,1317.03,2068.71,1567.89,570.86,560.36,1097.12
2001,-999.0,-999.0,1144.07,1108.98,1605.82,1293.86,466.48,389.57,771.44
2002,-999.0,-999.0,1485.61,1310.12,2012.55,1401.62,555.53,589.73,947.32
2003,-999.0,-999.0,1347.06,1203.88,1912.51,1348.53,426.86,429.61,865.47
2004,-999.0,-999.0,1181.15,1200.5,1744.69,1419.03,387.84,404.83,997.74
2005,-999.0,-999.0,1178.92,1090.76,1673.57,1449.59,444.09,375.61,824.27
2006,-999.0,-999.0,1425.83,1193.33,1965.14,1412.27,570.61,447.83,934.14
2007,-999.0,-999.0,1171.45,1093.34,1730.78,1488.22,451.56,391.35,799.2
2008,-999.0,-999.0,1369.17,1316.6,1778.55,1303.62,624.42,473.99,794.05
2009,-999.0,-999.0,1304.05,1223.86,1848.73,1421.1,522.46,500.15,919.39
2010,-999.0,-999.0,1259.83,1189.89,1791.86,1400.91,484.93,419.08,889.26
2011,-999.0,-999.0,1228.75,1057.32,1734.21,1369.23,513.16,440.12,903.15
2012,-999.0,-999.0,1417.14,1268.28,1788.2,1283.45,615.49,428.88,762.02
2013,-999.0,-999.0,1405.39,1285.42,1861.8,1424.7,581.21,544.3,917.24
