Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,2.41,5.15,2.39,7.83,8.38,2.7,5.07
1896,-999.0,-999.0,5.48,9.68,2.76,15.89,12.15,5.07,4.09
1897,-999.0,-999.0,5.92,7.11,2.76,13.3,11.26,3.38,5.88
1898,-999.0,-999.0,6.37,12.1,2.35,12.8,11.55,4.59,3.47
1899,-999.0,-999.0,4.27,9.39,2.93,12.48,14.2,3.61,3.81
1900,-999.0,-999.0,5.62,11.62,2.29,11.01,13.23,4.97,3.21
1901,-999.0,-999.0,3.05,5.89,2.06,14.17,11.07,2.44,5.13
1902,-999.0,-999.0,4.14,12.57,2.89,13.41,13.47,2.23,4.06
1903,-999.0,-999.0,6.16,12.72,2.88,13.72,16.68,6.5,4.62
1904,-999.0,-999.0,4.71,8.47,2.84,14.01,9.35,2.11,3.84
1905,-999.0,-999.0,4.56,7.96,2.3,10.02,13.11,4.14,6.22
1906,-999.0,-999.0,4.98,8.21,1.73,12.2,13.12,3.95,4.94
1907,-999.0,-999.0,6.6,9.41,3.84,15.31,9.73,3.45,7.76
1908,-999.0,-999.0,6.0,11.18,2.2,11.97,14.25,4.35,5.46
1909,-999.0,-999.0,5.99,11.48,3.07,15.34,10.68,1.53,8.05
1910,-999.0,-999.0,6.01,11.38,3.3,12.5,11.55,3.3,5.05
1911,-999.0,-999.0,4.85,8.4,2.64,10.49,8.61,4.52,6.79
1912,-999.0,-999.0,4.81,8.37,2.37,12.81,15.47,5.86,2.56
1913,-999.0,-999.0,5.34,9.78,2.11,10.83,15.37,4.72,3.74
1914,-999.0,-999.0,4.09,8.47,2.5,12.82,10.09,5.15,7.79
1915,-999.0,-999.0,5.94,12.33,2.5,8.01,15.38,6.01,7.53
1916,-999.0,-999.0,7.14,10.36,3.48,15.72,12.32,3.86,8.21
1917,-999.0,-999.0,4.21,9.04,3.22,10.66,12.38,1.9,4.96
1918,-999.0,-999.0,3.81,8.35,3.87,17.39,8.66,1.69,3.81
1919,-999.0,-999.0,4.99,8.32,2.47,13.62,14.03,6.3,4.68
1920,-999.0,-999.0,2.9,8.7,2.43,7.61,12.6,3.54,3.98
1921,-999.0,-999.0,4.24,8.98,1.99,15.97,12.44,3.79,4.65
1922,-999.0,-999.0,5.13,7.62,3.03,9.44,12.41,3.64,6.58
1923,-999.0,-999.0,4.65,10.0,2.51,14.06,14.17,4.26,4.3
1924,-999.0,-999.0,5.44,10.95,2.31,10.8,13.76,5.85,2.83
1925,3.12,-999.0,4.54,8.33,2.67,14.06,14.27,2.81,4.33
1926,9.98,-999.0,4.39,8.8,2.5,12.13,12.21,3.15,3.74
1927,9.44,-999.0,4.42,9.04,2.61,14.05,12.33,5.37,6.15
1928,10.88,-999.0,5.19,9.98,2.58,8.31,10.85,4.31,3.4
1929,11.89,-999.0,5.77,8.11,2.55,8.41,12.8,4.62,3.27
1930,5.47,-999.0,6.02,8.13,2.86,13.48,11.32,3.64,4.52
1931,10.22,-999.0,2.52,6.33,1.07,7.5,9.18,5.43,3.27
1932,10.78,-999.0,6.16,9.91,2.53,12.79,18.41,8.36,6.28
1933,6.32,-999.0,5.52,7.38,2.2,13.0,14.73,5.62,4.47
1934,5.87,-999.0,3.37,8.25,2.63,15.52,9.97,4.93,4.17
1935,11.55,-999.0,4.47,9.98,1.99,11.33,10.0,3.84,5.02
1936,6.17,-999.0,4.21,9.75,3.15,14.85,13.79,3.07,6.27
1937,9.45,-999.0,7.93,12.94,2.66,12.31,18.29,3.84,6.32
1938,6.96,-999.0,5.56,8.39,2.53,14.15,8.92,6.7,6.51
1939,8.86,-999.0,6.11,10.3,2.27,10.76,14.77,5.02,4.33
1940,7.22,-999.0,3.61,7.51,2.7,16.58,10.72,3.82,6.74
1941,7.47,-999.0,4.41,7.24,1.71,9.74,9.7,6.23,8.32
1942,7.67,-999.0,4.41,7.85,2.38,12.64,11.69,2.96,5.82
1943,6.91,-999.0,4.67,9.41,2.88,13.89,10.49,3.11,5.57
1944,11.26,-999.0,3.42,5.82,2.03,7.65,12.83,7.02,5.36
1945,8.55,-999.0,4.62,10.03,2.06,10.16,13.06,6.35,4.04
1946,6.42,-999.0,5.19,8.19,2.32,13.7,16.11,5.41,3.99
1947,8.19,-999.0,4.11,8.95,2.36,10.02,10.62,3.71,2.7
1948,8.33,-999.0,4.65,7.36,2.68,12.18,13.14,5.47,3.68
1949,9.47,-999.0,7.65,11.3,3.38,13.49,14.31,6.45,5.24
1950,5.52,-999.0,9.23,10.65,2.97,14.94,13.45,4.97,4.18
1951,7.04,-999.0,5.93,10.98,2.47,15.54,10.67,2.81,4.28
1952,7.47,-999.0,5.5,11.7,3.28,13.08,13.67,2.61,7.01
1953,7.69,-999.0,4.76,10.81,2.97,17.94,13.17,3.35,4.37
1954,7.65,-999.0,4.5,9.13,2.75,15.52,13.08,2.8,3.78
1955,9.51,-999.0,4.95,9.13,2.02,8.76,11.74,3.9,4.0
1956,7.61,-999.0,3.5,7.82,3.04,19.0,11.38,2.88,7.19
1957,7.58,-999.0,4.45,8.56,2.12,10.99,12.64,3.91,4.26
1958,6.73,-999.0,4.27,12.9,2.21,16.33,10.91,4.98,5.79
1959,6.82,-999.0,4.26,7.38,2.81,13.47,10.57,2.91,4.05
1960,8.71,-999.0,5.63,10.97,2.11,10.26,12.8,6.18,5.32
1961,8.34,-999.0,3.38,8.07,1.79,12.29,12.93,6.65,2.83
1962,8.11,-999.0,5.99,9.32,2.83,10.07,16.63,3.01,5.76
1963,9.53,-999.0,2.33,7.78,2.22,9.23,9.41,2.62,3.91
1964,9.95,-999.0,2.77,8.11,2.04,11.2,13.2,3.68,2.02
1965,7.4,-999.0,5.69,9.41,3.39,19.14,13.19,4.71,5.56
1966,6.53,-999.0,5.28,7.87,2.1,10.81,14.26,5.29,4.84
1967,6.75,-999.0,5.36,6.99,2.64,14.18,10.56,2.01,4.91
1968,8.71,-999.0,4.88,7.5,2.5,12.84,11.93,5.75,4.99
1969,4.13,-999.0,6.82,8.82,3.78,15.76,11.5,4.23,8.52
1970,7.56,-999.0,3.14,10.48,2.36,16.25,11.7,4.14,5.07
1971,7.86,-999.0,5.68,10.7,3.23,15.35,12.1,2.42,3.61
1972,7.4,-999.0,5.48,9.68,3.2,16.65,14.8,4.17,3.61
1973,6.07,-999.0,5.45,11.17,2.2,10.89,14.82,5.2,5.86
1974,5.84,-999.0,6.15,12.18,2.71,17.39,16.04,3.46,4.58
1975,7.97,-999.0,6.52,10.66,2.64,15.63,14.74,4.84,4.34
1976,7.98,-999.0,4.99,11.02,2.62,14.33,9.82,1.91,3.03
1977,9.38,-999.0,2.79,6.92,1.59,4.6,9.83,3.83,1.85
1978,5.78,-999.0,4.41,12.59,3.51,14.91,11.93,3.55,7.87
1979,6.99,-999.0,6.01,14.51,2.93,11.01,17.91,4.64,6.2
1980,8.7,-999.0,3.65,4.87,2.49,13.55,9.34,4.26,7.94
1981,8.93,-999.0,3.8,7.52,1.76,11.84,7.01,3.1,3.19
1982,5.93,-999.0,5.46,9.9,3.01,17.84,14.33,3.1,4.92
1983,6.82,-999.0,6.16,7.37,2.29,16.1,17.01,6.01,7.02
1984,7.91,-999.0,4.51,11.51,2.22,12.33,14.83,3.48,4.44
1985,10.65,-999.0,6.43,7.42,1.85,6.9,10.34,6.81,4.07
1986,9.69,-999.0,4.34,8.63,2.71,13.13,7.9,2.67,5.42
1987,9.83,-999.0,3.01,8.44,1.69,8.72,15.09,6.68,4.18
1988,8.46,-999.0,5.85,7.77,2.24,11.3,11.87,4.15,4.53
1989,8.92,-999.0,4.62,6.16,2.44,9.34,11.72,4.86,3.37
1990,10.26,-999.0,4.93,8.46,2.2,11.72,15.7,5.27,3.15
1991,9.92,-999.0,5.61,10.43,1.92,8.72,16.3,4.83,2.73
1992,10.38,-999.0,4.27,8.39,1.74,9.01,13.77,10.09,5.03
1993,10.06,-999.0,5.7,8.77,2.57,10.37,12.92,6.52,10.0
1994,7.82,-999.0,4.3,11.2,2.4,10.5,13.66,4.01,3.38
1995,7.28,-999.0,4.22,8.89,2.07,13.22,12.35,4.5,6.74
1996,7.84,-999.0,4.69,10.65,2.77,17.89,10.99,2.21,6.12
1997,7.35,-999.0,6.31,10.72,3.65,18.61,13.82,5.23,6.84
1998,7.49,-999.0,5.4,11.6,2.25,12.87,18.22,7.08,7.98
1999,7.09,-999.0,5.77,9.67,2.65,18.62,13.25,3.63,3.7
2000,10.1,-999.0,5.28,8.52,2.44,13.33,8.81,3.68,4.75
2001,10.61,-999.0,5.66,7.7,2.02,6.12,10.25,6.12,4.08
2002,8.98,-999.0,4.71,6.94,1.65,13.2,10.65,3.95,3.35
2003,8.8,-999.0,3.56,9.49,2.14,13.35,14.05,5.04,4.99
2004,8.26,-999.0,4.83,9.1,2.37,13.25,11.67,5.03,5.48
2005,10.09,-999.0,6.91,10.27,1.63,7.55,10.89,5.04,7.54
