Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,10.43,10.15,6.32,1.43,15.4,11.99,3.36
1896,-999.0,-999.0,12.09,11.85,6.02,2.82,14.08,5.8,3.53
1897,-999.0,-999.0,10.98,14.41,6.64,3.82,13.23,8.16,3.03
1898,-999.0,-999.0,10.99,12.69,5.6,2.62,18.14,10.16,3.66
1899,-999.0,-999.0,11.18,10.26,6.86,3.12,12.98,10.09,3.53
1900,-999.0,-999.0,13.29,10.79,6.17,2.82,16.5,9.16,1.98
1901,-999.0,-999.0,9.03,13.24,7.3,1.97,17.11,5.37,2.77
1902,-999.0,-999.0,14.94,13.55,7.09,2.7,11.4,8.7,2.54
1903,-999.0,-999.0,12.03,15.44,7.61,3.57,14.63,9.62,2.93
1904,-999.0,-999.0,11.04,11.82,6.55,2.8,15.02,11.02,3.78
1905,-999.0,-999.0,13.61,14.21,8.43,3.19,16.72,9.45,2.44
1906,-999.0,-999.0,11.35,13.18,7.13,3.51,18.68,11.67,3.78
1907,-999.0,-999.0,12.83,11.19,7.61,4.6,13.61,8.06,4.0
1908,-999.0,-999.0,10.2,10.34,7.72,3.66,16.34,10.63,3.74
1909,-999.0,-999.0,11.51,9.35,7.64,2.79,16.15,8.24,4.04
1910,-999.0,-999.0,8.19,10.17,4.68,1.28,18.0,5.79,2.8
1911,-999.0,-999.0,9.87,13.2,6.17,2.63,15.4,7.52,3.68
1912,-999.0,-999.0,11.39,11.0,7.25,5.23,15.46,8.03,4.01
1913,-999.0,-999.0,9.1,8.57,6.17,5.68,12.42,5.85,3.98
1914,-999.0,-999.0,10.85,11.16,7.18,2.97,13.47,9.4,4.63
1915,-999.0,-999.0,14.78,15.24,10.18,2.73,15.72,11.94,3.07
1916,-999.0,-999.0,10.46,12.47,7.43,4.28,18.42,7.75,3.39
1917,-999.0,-999.0,10.6,14.56,3.85,1.46,15.06,6.33,2.57
1918,-999.0,-999.0,9.07,10.94,6.41,3.02,12.23,5.4,3.55
1919,-999.0,-999.0,10.94,12.7,4.54,0.93,16.86,10.7,3.43
1920,-999.0,-999.0,10.5,13.43,6.4,3.7,16.84,10.83,3.32
1921,-999.0,-999.0,10.55,10.76,6.42,2.22,13.08,10.21,5.07
1922,-999.0,-999.0,8.93,15.03,6.66,2.73,14.72,6.61,3.16
1923,-999.0,-999.0,10.86,9.83,9.27,4.93,15.52,7.73,4.32
1924,-999.0,-999.0,13.8,10.9,6.41,1.98,12.09,6.06,1.85
1925,9.4,-999.0,11.19,11.16,7.03,2.95,10.58,6.95,4.5
1926,7.73,-999.0,11.54,12.2,6.75,2.77,16.18,9.27,2.71
1927,9.25,-999.0,9.51,12.32,7.15,2.58,15.25,10.61,4.18
1928,11.77,-999.0,14.84,15.8,8.83,2.0,20.23,10.83,2.72
1929,10.17,-999.0,9.6,9.06,4.39,2.66,13.0,6.01,4.11
1930,12.41,-999.0,7.27,9.14,5.68,2.0,9.53,5.72,3.77
1931,10.09,-999.0,9.9,13.3,5.06,2.63,13.54,7.2,3.55
1932,12.41,-999.0,11.55,11.07,7.09,2.55,14.2,9.77,3.77
1933,8.6,-999.0,6.96,12.46,5.11,2.18,14.33,7.71,3.11
1934,8.97,-999.0,9.01,10.99,4.93,2.19,15.19,4.34,2.77
1935,9.91,-999.0,12.95,13.21,5.57,1.82,14.72,8.81,2.86
1936,8.09,-999.0,6.28,10.46,3.96,4.03,12.85,5.16,3.93
1937,9.99,-999.0,10.58,13.4,6.77,4.68,15.22,7.16,3.08
1938,11.45,-999.0,11.75,14.22,6.31,2.46,15.84,8.11,3.15
1939,12.47,-999.0,12.25,10.55,6.26,2.49,17.25,8.04,2.3
1940,9.12,-999.0,11.56,11.07,5.52,1.63,17.92,9.46,2.37
1941,8.51,-999.0,10.51,12.57,7.98,5.29,17.23,11.78,4.29
1942,11.05,-999.0,12.71,13.06,6.73,3.18,16.6,11.07,2.65
1943,11.38,-999.0,12.21,11.68,7.71,3.65,12.6,6.2,3.38
1944,11.7,-999.0,11.66,9.79,9.75,3.66,12.76,8.95,2.55
1945,12.12,-999.0,11.65,13.05,6.99,2.29,16.42,10.04,3.9
1946,8.91,-999.0,10.64,12.06,6.19,3.2,15.23,7.0,3.36
1947,9.74,-999.0,11.39,12.87,8.18,4.72,13.09,6.37,3.46
1948,9.93,-999.0,10.79,11.73,8.43,5.02,13.6,9.22,3.21
1949,10.8,-999.0,12.27,9.89,5.62,1.53,18.17,9.36,3.47
1950,9.4,-999.0,11.93,12.09,6.58,3.7,16.6,12.03,3.05
1951,11.19,-999.0,14.18,12.07,8.5,2.4,13.42,9.51,3.31
1952,9.67,-999.0,12.42,11.04,5.99,3.58,11.37,4.63,3.25
1953,10.11,-999.0,10.23,8.87,6.73,3.62,12.8,7.3,3.32
1954,9.27,-999.0,11.24,12.25,6.96,4.79,9.43,4.82,3.12
1955,11.63,-999.0,10.36,13.65,5.99,2.99,14.7,7.34,3.94
1956,10.0,-999.0,11.69,12.16,6.56,3.56,12.4,4.45,2.29
1957,6.55,-999.0,12.4,8.67,7.61,2.56,13.68,7.28,3.84
1958,11.28,-999.0,14.46,13.76,7.39,3.81,16.0,9.84,3.18
1959,10.81,-999.0,10.7,12.22,5.12,2.45,15.38,10.41,3.34
1960,10.7,-999.0,11.29,11.2,5.78,2.19,14.81,11.1,2.38
1961,12.74,-999.0,10.73,12.1,4.5,2.33,16.54,11.45,3.73
1962,10.18,-999.0,10.92,10.16,8.64,2.52,13.86,9.53,2.35
