Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,6.02,8.57,4.73,7.79,13.42,6.43,3.36
1896,-999.0,-999.0,11.36,9.38,7.95,10.74,10.29,5.11,4.27
1897,-999.0,-999.0,9.76,11.3,4.74,7.59,14.02,8.59,3.97
1898,-999.0,-999.0,11.08,10.6,6.78,5.49,10.38,8.09,3.61
1899,-999.0,-999.0,9.74,10.0,6.07,8.57,11.11,5.96,3.34
1900,-999.0,-999.0,6.49,9.39,5.5,8.07,13.94,11.1,4.56
1901,-999.0,-999.0,7.05,15.14,4.82,7.19,13.82,6.28,3.39
1902,-999.0,-999.0,8.86,11.02,6.05,8.93,11.52,8.59,3.43
1903,-999.0,-999.0,10.86,9.39,5.87,7.06,13.39,7.54,3.74
1904,-999.0,-999.0,10.47,10.87,5.47,10.82,9.59,7.48,4.48
1905,-999.0,-999.0,9.84,8.24,6.6,8.19,14.56,12.4,6.41
1906,-999.0,-999.0,8.07,11.1,7.72,8.04,11.9,7.08,6.96
1907,-999.0,-999.0,8.11,9.6,4.99,8.41,14.9,7.55,5.36
1908,-999.0,-999.0,12.37,12.39,7.12,7.95,13.76,10.5,2.88
1909,-999.0,-999.0,10.0,11.27,5.03,4.8,15.3,5.81,2.62
1910,-999.0,-999.0,6.61,8.66,3.69,6.15,9.42,6.53,1.98
1911,-999.0,-999.0,7.57,7.46,4.32,5.95,10.95,6.99,3.67
1912,-999.0,-999.0,10.12,13.26,6.28,8.2,18.92,7.58,5.23
1913,-999.0,-999.0,10.54,12.61,5.06,7.01,13.46,5.92,2.51
1914,-999.0,-999.0,7.35,10.58,5.11,6.14,9.53,10.56,3.48
1915,-999.0,-999.0,7.8,6.22,6.49,8.8,10.06,10.44,5.14
1916,-999.0,-999.0,9.29,10.83,5.18,10.03,9.67,6.83,3.04
1917,-999.0,-999.0,9.42,10.3,6.22,9.8,12.73,5.59,3.92
1918,-999.0,-999.0,9.6,10.53,5.31,5.5,11.07,7.43,3.7
1919,-999.0,-999.0,9.49,12.11,4.47,7.34,14.8,9.46,3.83
1920,-999.0,-999.0,10.29,10.42,6.9,8.01,16.09,7.22,4.62
1921,-999.0,-999.0,10.45,9.7,5.56,8.51,12.88,7.15,3.6
1922,-999.0,-999.0,11.26,10.73,5.83,7.91,17.54,12.72,3.62
1923,-999.0,-999.0,8.41,9.55,5.29,6.78,17.54,8.97,3.45
1924,-999.0,-999.0,8.08,11.71,3.92,2.77,12.98,7.81,3.07
1925,6.41,-999.0,5.61,8.63,4.66,6.91,7.09,5.78,3.55
1926,8.13,-999.0,6.53,6.98,3.44,4.66,11.24,9.05,4.83
1927,6.28,-999.0,13.09,9.23,8.56,7.22,13.39,7.4,3.12
1928,6.14,-999.0,6.83,10.44,3.47,8.81,15.59,7.04,4.13
1929,7.81,-999.0,11.03,13.67,5.97,6.52,17.01,10.81,3.16
1930,7.69,-999.0,6.52,9.23,5.59,6.65,11.08,7.93,3.98
1931,6.13,-999.0,7.4,10.99,3.68,7.21,10.89,7.48,3.12
1932,4.09,-999.0,6.52,9.94,5.9,10.55,10.84,5.93,3.13
1933,5.57,-999.0,11.5,13.58,6.1,7.41,14.35,6.97,3.13
1934,6.54,-999.0,4.81,9.36,2.59,5.97,13.13,6.68,2.0
1935,7.49,-999.0,10.01,8.76,7.09,7.19,15.65,10.5,5.19
1936,6.47,-999.0,6.06,13.01,3.48,6.2,10.99,7.41,2.48
1937,5.76,-999.0,8.51,10.84,4.37,8.45,11.58,5.99,4.0
1938,6.45,-999.0,12.1,9.45,6.68,9.17,13.73,9.06,5.68
1939,6.3,-999.0,8.08,9.5,3.94,4.53,12.28,5.64,2.87
1940,5.92,-999.0,8.47,13.69,5.2,8.07,11.47,7.45,3.54
1941,8.2,-999.0,6.98,6.3,5.94,7.21,8.92,11.33,7.14
1942,5.54,-999.0,9.72,11.09,7.73,7.55,12.68,8.68,4.35
1943,5.33,-999.0,11.33,11.97,4.87,8.08,14.25,7.9,3.77
1944,7.45,-999.0,11.5,10.81,6.14,6.59,17.25,10.28,4.03
1945,5.55,-999.0,13.36,12.65,5.47,10.28,13.31,8.86,3.9
1946,7.24,-999.0,8.74,9.95,5.55,7.11,15.59,8.45,3.26
1947,6.73,-999.0,10.93,11.91,4.45,6.2,15.24,10.16,3.23
1948,5.19,-999.0,8.87,13.44,4.67,10.43,15.03,6.47,4.19
1949,6.11,-999.0,7.38,9.35,5.21,5.92,13.07,9.45,3.97
1950,4.93,-999.0,9.51,9.51,5.6,8.21,13.05,7.01,2.49
1951,5.44,-999.0,10.03,11.53,5.0,6.38,11.18,7.45,3.18
1952,6.12,-999.0,8.67,12.75,4.4,5.82,13.77,8.59,4.76
1953,5.13,-999.0,9.45,14.96,6.65,8.88,15.92,7.45,3.54
1954,5.03,-999.0,9.38,12.31,4.74,6.11,10.86,7.48,3.61
1955,7.3,-999.0,8.36,10.16,5.19,8.65,13.57,7.08,2.47
1956,6.6,-999.0,8.52,11.81,4.27,6.99,11.47,4.56,2.27
1957,4.4,-999.0,11.02,8.78,7.07,10.93,15.34,15.73,5.57
1958,5.73,-999.0,6.43,11.09,4.39,7.52,15.67,8.11,5.63
1959,6.37,-999.0,9.68,8.68,5.18,7.34,14.19,7.65,2.15
1960,5.27,-999.0,9.26,10.13,5.07,10.55,11.48,5.4,2.82
1961,6.38,-999.0,10.68,12.23,5.33,9.3,15.16,6.39,3.36
1962,6.38,-999.0,8.24,8.74,6.9,8.9,11.37,5.1,2.66
1963,8.13,-999.0,9.3,9.26,5.14,9.26,10.87,5.47,3.83
1964,7.29,-999.0,11.22,9.75,6.08,6.95,15.92,6.78,3.34
1965,7.8,-999.0,10.1,7.06,6.39,5.43,11.24,7.46,4.14
1966,6.71,-999.0,8.23,8.18,3.6,5.81,12.4,7.08,1.57
1967,6.13,-999.0,8.99,11.59,5.5,8.01,11.09,7.07,4.23
1968,6.28,-999.0,9.9,11.52,5.03,6.17,13.67,9.45,2.98
1969,4.82,-999.0,7.92,8.91,3.8,5.61,13.18,9.76,2.81
1970,6.85,-999.0,10.58,10.26,6.66,6.86,13.66,8.07,2.89
1971,6.12,-999.0,6.13,8.94,6.13,9.49,12.38,4.66,3.45
1972,5.4,-999.0,9.17,12.1,5.92,9.22,12.31,6.57,1.74
1973,6.31,-999.0,13.63,13.59,5.87,5.33,20.55,10.38,4.38
1974,4.19,-999.0,10.96,12.4,5.91,9.5,13.62,7.13,3.02
1975,5.93,-999.0,9.62,10.26,6.96,8.04,18.0,8.9,4.75
