Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,38.539,3.526,63.775,64.775,26.388,7.395,6.187,106.917,0.0,
1951,35.377,4.414,60.645,70.07,26.582,11.767,9.974,114.942,0.0,
1952,29.032,1.259,45.145,63.384,29.676,14.627,6.24,102.472,0.0,
1953,23.239,1.218,39.276,36.723,8.57,7.096,2.734,102.547,0.0,
1954,35.1,2.174,38.811,41.196,16.63,5.7,3.785,111.7,0.0,
1955,47.123,3.159,60.734,77.653,35.176,13.87,6.319,118.9,0.0,
1956,36.17,1.5,49.437,56.423,28.878,9.765,7.507,125.08,0.0,
1957,31.96,2.301,44.537,51.173,27.152,8.388,6.376,90.146,0.0,
1958,50.644,6.965,55.943,53.299,13.399,6.179,10.262,99.947,0.0,
1959,39.514,3.156,52.155,53.799,16.682,6.401,7.417,112.547,0.0,
1960,48.132,5.849,66.928,67.515,29.256,14.33,13.85,100.413,0.0,
1961,41.08,4.697,44.396,45.726,16.809,8.934,8.07,117.46,0.0,
1962,45.151,6.017,56.859,53.177,22.479,12.051,9.783,101.181,0.0,
1963,53.319,8.621,65.268,50.943,22.132,10.324,13.289,100.319,0.0,
1964,36.154,2.364,46.042,56.294,26.033,13.491,4.774,115.146,0.0,
1965,39.55,3.379,50.161,59.632,18.506,10.611,5.929,107.507,0.0,
1966,42.275,5.837,56.872,61.899,15.51,12.375,11.397,120.375,0.0,
1967,39.542,2.927,49.928,52.913,16.75,11.293,4.708,103.681,0.0,
1968,49.265,6.17,52.712,55.846,19.23,11.129,8.288,109.033,0.0,
1969,47.261,3.412,58.967,69.545,26.972,9.36,6.832,98.973,0.0,
1970,50.923,6.749,57.716,58.234,20.247,8.156,6.196,100.645,0.0,
1971,41.947,5.138,55.226,64.702,24.83,14.144,8.416,119.08,0.0,
1972,43.536,3.185,59.218,63.391,28.576,13.01,10.724,127.144,0.0,
1973,33.627,5.094,44.319,49.967,19.433,13.321,9.191,109.21,0.0,
1974,38.084,2.399,45.753,44.956,18.645,13.052,7.34,112.174,0.0,
1975,37.497,1.916,56.439,67.643,25.222,12.708,6.383,116.5,0.0,
1976,47.01,3.869,54.342,45.583,18.579,8.185,6.082,100.407,0.0,
1977,53.724,9.558,62.948,53.979,26.548,7.416,7.152,100.747,0.0,
1978,59.091,10.386,76.527,82.487,24.885,12.984,20.703,90.693,0.0,
1979,43.832,7.817,63.965,66.251,30.871,15.324,14.991,99.773,0.0,
1980,50.424,6.303,59.259,51.363,20.193,6.848,10.425,97.773,0.0,
1981,41.4,4.79,45.496,38.397,14.248,4.214,3.607,83.653,0.0,
1982,42.221,5.865,57.593,63.255,27.766,12.045,11.032,115.027,0.0,
1983,33.736,6.571,53.323,56.532,21.634,10.649,15.74,99.947,0.0,
1984,37.846,3.841,48.202,48.998,28.794,12.708,6.771,97.947,0.0,
1985,49.045,8.35,67.078,71.069,52.017,15.025,15.802,103.4,0.0,
1986,36.899,3.055,47.39,44.007,16.978,5.689,5.564,97.307,0.0,
1987,35.215,2.105,31.67,38.75,20.552,12.715,7.254,88.087,0.0,
1988,41.16,5.975,51.828,51.49,24.71,13.608,8.632,99.133,0.0,
1989,52.456,8.728,62.168,60.872,26.258,12.352,13.335,104.987,0.0,
1990,21.323,1.261,31.848,40.797,22.728,12.132,6.841,106.694,0.0,
1991,29.824,1.72,50.994,48.491,17.302,11.885,7.038,94.917,0.0,
1992,34.732,1.381,40.791,44.179,19.872,12.423,4.342,105.861,0.0,
1993,41.482,3.051,57.931,64.628,34.916,12.576,10.822,83.053,0.0,
1994,43.87,4.678,52.152,55.137,19.436,7.754,6.487,112.827,0.0,
1995,45.706,4.758,63.695,58.068,15.328,5.832,8.37,102.133,0.0,
1996,44.385,8.041,66.021,73.408,22.242,8.156,11.316,117.6,0.0,
1997,37.313,3.898,54.633,60.061,17.81,12.746,10.085,98.16,0.0,
1998,23.214,2.048,36.412,46.599,15.507,7.41,7.207,91.907,0.0,
1999,33.186,2.918,37.489,32.048,14.273,4.658,3.144,112.7,0.0,
2000,45.671,7.095,58.436,58.725,23.119,6.017,8.674,91.917,0.0,
2001,33.951,2.457,46.309,54.259,24.392,10.425,7.293,105.167,0.0,
2002,30.083,2.359,40.967,53.771,19.772,9.906,5.735,86.893,0.0,
2003,51.03,5.012,57.851,57.336,12.268,6.467,6.922,88.413,0.0,
2004,42.823,4.205,47.2,44.153,18.773,10.894,7.436,95.54,0.0,
2005,44.382,2.806,54.33,48.214,23.38,7.836,8.056,95.722,0.0,
2006,25.343,1.312,30.879,38.999,19.959,8.946,3.855,110.42,0.0,
2007,46.629,3.189,60.253,59.661,24.086,14.669,13.377,109.02,0.0,
2008,38.779,3.427,62.237,55.631,25.16,13.514,7.28,114.593,0.0,
2009,44.54,4.011,57.393,60.108,28.144,11.704,7.585,105.6,0.0,
2010,44.019,8.982,64.186,64.888,18.603,10.125,8.915,102.958,0.0,
2011,36.427,4.413,52.034,56.633,24.013,12.614,10.356,104.02,0.0,
2012,24.472,1.25,33.435,41.259,16.811,7.522,3.827,114.133,0.0,
2013,41.396,3.486,63.9,61.563,29.413,17.83,10.952,98.59,0.0,
2014,50.494,7.322,71.743,63.484,23.859,9.29,13.808,84.033,0.0,
2015,47.729,5.533,52.151,48.712,18.571,9.84,10.222,86.472,0.0,
2016,34.442,4.073,45.663,43.888,23.151,10.18,5.356,76.813,0.0,
2017,37.585,3.107,44.836,52.228,30.426,7.332,5.985,103.181,0.0,
2018,39.597,5.98,56.903,62.222,16.161,7.249,9.691,91.819,0.0,
2019,41.896,2.454,58.883,72.902,27.634,13.354,10.215,76.667,0.0,
