Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,82.44,78.73,77.41,74.81,88.27,90.41,83.77
1896,-999.0,-999.0,81.94,77.97,79.77,76.93,89.57,94.15,85.91
1897,-999.0,-999.0,81.02,76.34,78.54,75.35,89.86,93.02,84.73
1898,-999.0,-999.0,82.24,79.2,79.84,77.51,89.08,91.09,85.94
1899,-999.0,-999.0,82.83,79.41,78.27,73.15,90.43,92.75,84.4
1900,-999.0,-999.0,83.3,80.45,81.61,75.59,89.38,91.85,86.27
1901,-999.0,-999.0,85.86,79.63,80.13,75.33,89.98,95.53,86.14
1902,-999.0,-999.0,79.3,75.75,76.41,74.42,90.92,92.39,85.59
1903,-999.0,-999.0,78.63,73.91,76.82,75.14,87.53,88.84,84.65
1904,-999.0,-999.0,78.89,76.79,77.11,76.49,88.04,89.33,84.14
1905,-999.0,-999.0,80.46,76.96,77.37,76.37,88.39,90.93,85.56
1906,-999.0,-999.0,81.14,78.66,77.08,76.9,88.35,89.24,84.03
1907,-999.0,-999.0,79.79,76.2,76.55,72.89,88.76,91.84,82.38
1908,-999.0,-999.0,80.86,79.27,76.8,75.61,88.5,90.05,84.01
1909,-999.0,-999.0,81.94,77.74,79.33,75.53,88.86,92.99,85.3
1910,-999.0,-999.0,82.49,77.26,80.58,76.45,86.99,93.45,86.81
1911,-999.0,-999.0,83.59,79.39,78.93,76.01,89.54,94.02,84.53
1912,-999.0,-999.0,79.55,76.17,76.29,73.42,87.34,91.9,83.07
1913,-999.0,-999.0,84.59,79.05,80.19,74.66,90.02,93.26,83.76
1914,-999.0,-999.0,83.77,77.67,79.9,76.33,90.98,92.33,83.94
1915,-999.0,-999.0,76.58,75.9,73.63,76.39,88.1,89.02,84.46
1916,-999.0,-999.0,82.78,77.68,78.11,73.86,87.9,93.01,84.32
1917,-999.0,-999.0,79.76,77.5,79.61,77.38,88.36,93.87,86.51
1918,-999.0,-999.0,82.91,77.7,79.97,77.45,89.88,95.65,86.14
1919,-999.0,-999.0,83.43,78.91,83.0,78.4,88.46,90.33,86.41
1920,-999.0,-999.0,80.74,77.15,78.87,76.59,87.2,89.81,84.46
1921,-999.0,-999.0,84.94,79.73,81.73,76.82,90.01,91.72,84.63
1922,-999.0,-999.0,82.52,77.6,80.76,78.79,88.51,93.41,86.78
1923,-999.0,-999.0,82.55,78.07,78.3,75.32,87.98,92.74,83.37
1924,-999.0,-999.0,79.23,77.15,77.44,77.01,90.04,93.93,87.05
1925,60.3,-999.0,82.71,78.87,79.35,77.09,91.3,94.5,84.45
1926,62.37,-999.0,80.82,76.54,79.82,79.04,89.12,91.78,86.72
1927,60.53,-999.0,78.53,75.03,76.22,76.55,87.53,91.02,84.58
1928,58.23,-999.0,79.55,77.2,76.25,75.85,88.02,90.96,85.32
1929,59.3,-999.0,81.15,77.74,81.53,77.67,88.58,92.99,85.7
1930,58.87,-999.0,84.74,79.9,81.69,77.23,90.95,93.79,85.74
1931,58.53,-999.0,84.54,79.19,83.46,78.92,90.0,92.74,87.39
1932,56.93,-999.0,83.68,78.81,80.88,75.81,90.44,92.68,85.33
1933,57.77,-999.0,85.73,79.59,83.96,78.11,89.35,93.85,87.24
1934,58.2,-999.0,86.47,79.75,83.19,77.95,90.89,97.78,87.03
1935,58.67,-999.0,81.55,78.95,81.04,76.92,89.17,92.51,86.73
1936,62.13,-999.0,87.62,79.59,86.25,78.08,91.58,96.15,87.31
1937,59.5,-999.0,83.59,80.05,82.05,76.36,89.63,94.6,86.71
1938,58.4,-999.0,82.77,79.64,81.4,77.58,88.85,93.26,85.83
1939,58.7,-999.0,82.56,79.82,81.03,77.1,89.11,94.19,87.08
1940,61.43,-999.0,81.84,77.59,82.81,79.79,87.66,91.16,87.89
1941,60.23,-999.0,83.19,79.04,79.82,75.37,89.33,90.48,83.1
1942,59.5,-999.0,80.79,78.17,78.27,76.49,89.03,91.12,86.4
1943,58.77,-999.0,83.22,80.01,79.84,74.25,91.64,94.85,84.99
1944,58.8,-999.0,82.97,80.83,77.34,74.8,90.35,93.06,84.6
1945,56.67,-999.0,79.23,77.84,77.32,76.84,88.3,91.12,84.9
1946,59.17,-999.0,80.86,77.08,80.11,76.37,87.24,93.42,86.54
1947,58.1,-999.0,82.38,78.99,79.53,74.35,88.56,93.33,84.68
1948,56.2,-999.0,82.18,78.67,79.06,74.62,89.64,93.3,85.47
1949,55.77,-999.0,83.54,82.0,81.3,76.73,88.38,91.73,85.17
1950,59.93,-999.0,78.85,77.73,77.01,76.26,87.17,89.68,85.45
1951,58.9,-999.0,78.97,77.95,75.53,76.71,90.33,93.12,85.73
1952,57.37,-999.0,83.42,81.09,80.77,75.98,92.2,95.33,85.85
1953,60.03,-999.0,84.11,80.33,80.16,74.47,90.43,94.75,85.98
1954,58.03,-999.0,83.44,77.92,79.9,72.69,92.59,96.06,85.56
1955,56.1,-999.0,83.96,80.91,80.54,75.57,88.24,92.11,84.79
1956,57.43,-999.0,81.78,77.02,80.83,75.7,89.6,95.73,86.18
1957,61.57,-999.0,81.84,79.14,79.57,75.3,88.86,93.03,85.61
1958,59.4,-999.0,79.22,76.34,78.14,78.92,88.33,92.82,86.83
1959,57.97,-999.0,83.18,79.64,82.28,77.03,88.52,91.42,87.37
1960,57.6,-999.0,80.82,78.09,80.83,78.09,88.83,91.8,88.21
1961,56.8,-999.0,81.46,77.87,83.7,81.42,86.68,89.61,87.21
1962,59.33,-999.0,80.84,77.51,77.72,75.21,88.99,92.61,85.79
1963,56.43,-999.0,82.31,78.03,80.87,74.16,88.48,94.02,84.58
1964,58.47,-999.0,81.93,77.8,79.17,73.75,88.29,93.76,85.19
1965,55.9,-999.0,80.12,77.77,77.62,75.11,87.61,91.72,82.99
1966,58.2,-999.0,82.35,80.1,79.85,75.65,88.09,91.27,86.11
1967,58.5,-999.0,79.51,78.18,78.85,79.68,85.77,90.53,84.59
1968,60.6,-999.0,81.06,78.16,77.73,75.22,88.83,90.34,84.3
1969,57.43,-999.0,80.47,78.27,79.07,76.5,89.16,93.16,85.61
1970,56.63,-999.0,82.28,78.83,82.58,78.86,88.02,92.65,86.29
1971,58.23,-999.0,81.66,78.62,81.08,76.64,87.75,90.82,85.97
1972,59.67,-999.0,80.1,76.03,78.77,77.2,87.56,90.54,85.82
1973,56.57,-999.0,82.15,79.85,81.18,77.11,88.12,90.87,85.94
1974,59.13,-999.0,80.86,77.67,80.85,77.67,86.63,91.51,86.65
1975,58.03,-999.0,82.0,78.77,78.87,74.17,87.65,90.29,84.65
1976,59.77,-999.0,82.83,77.72,80.84,72.96,87.05,90.41,84.6
1977,62.13,-999.0,81.34,77.35,79.77,77.86,90.07,93.23,86.9
1978,59.17,-999.0,81.22,78.21,79.12,75.56,89.25,93.62,86.6
1979,59.73,-999.0,80.03,77.27,79.26,77.16,87.02,90.23,85.32
1980,57.53,-999.0,83.28,78.69,80.48,73.43,91.45,96.6,86.62
1981,57.23,-999.0,80.6,78.21,79.75,76.44,89.15,91.29,87.63
1982,58.5,-999.0,79.16,76.23,78.3,75.46,87.63,91.55,84.26
1983,58.57,-999.0,84.87,80.55,81.52,73.8,89.54,92.35,84.15
1984,58.23,-999.0,82.6,78.72,81.04,75.71,87.88,92.89,84.56
1985,58.0,-999.0,79.17,76.63,79.16,78.38,87.91,92.01,87.39
1986,58.6,-999.0,81.03,76.88,80.42,78.33,89.97,91.47,85.98
1987,59.7,-999.0,83.31,79.2,79.63,76.41,89.95,90.6,85.41
1988,59.63,-999.0,86.34,80.7,85.57,78.12,89.71,92.36,86.68
1989,60.37,-999.0,81.16,77.72,80.77,76.04,86.91,89.66,85.91
1990,61.47,-999.0,80.61,78.22,80.41,77.11,89.63,92.25,86.24
1991,59.3,-999.0,83.26,80.36,81.13,76.31,88.29,91.38,84.79
1992,59.87,-999.0,77.15,75.47,75.42,78.04,86.11,88.42,84.65
1993,61.27,-999.0,79.89,79.58,73.34,70.46,90.31,91.65,84.06
1994,60.17,-999.0,80.39,79.17,80.35,78.95,87.23,93.08,89.23
