Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,59.71,54.64,56.01,54.51,71.97,75.11,64.45
1896,-999.0,-999.0,59.39,56.04,50.61,49.77,75.18,75.91,62.91
1897,-999.0,-999.0,55.62,55.01,52.05,54.26,73.33,74.61,63.52
1898,-999.0,-999.0,58.15,55.85,51.32,54.41,74.01,73.35,63.17
1899,-999.0,-999.0,55.4,55.29,47.31,50.04,73.69,74.6,63.27
1900,-999.0,-999.0,58.38,53.76,57.41,57.21,72.6,72.7,64.72
1901,-999.0,-999.0,57.49,53.56,55.88,53.69,71.39,73.75,63.6
1902,-999.0,-999.0,59.78,56.62,53.35,51.81,74.1,75.79,63.02
1903,-999.0,-999.0,59.56,59.56,51.76,52.2,73.2,71.28,62.06
1904,-999.0,-999.0,54.89,54.18,52.02,53.24,72.87,75.71,65.09
1905,-999.0,-999.0,58.41,55.83,53.94,55.59,74.95,73.3,61.77
1906,-999.0,-999.0,55.77,53.21,51.35,54.22,72.13,71.72,61.67
1907,-999.0,-999.0,53.81,52.64,50.32,53.74,73.09,74.67,63.19
1908,-999.0,-999.0,58.59,56.1,53.97,53.52,76.78,75.94,64.21
1909,-999.0,-999.0,54.45,53.44,49.88,53.38,72.73,74.64,61.94
1910,-999.0,-999.0,62.39,58.63,61.71,59.72,75.18,77.04,69.2
1911,-999.0,-999.0,60.3,56.55,56.33,53.94,74.59,75.46,64.14
1912,-999.0,-999.0,55.86,54.57,49.93,52.46,72.27,71.13,60.07
1913,-999.0,-999.0,57.08,57.17,52.16,52.94,73.23,73.89,63.74
1914,-999.0,-999.0,57.52,54.18,54.21,57.33,72.27,72.13,65.42
1915,-999.0,-999.0,56.98,54.47,52.98,56.89,71.29,68.62,61.84
1916,-999.0,-999.0,55.77,52.73,53.0,53.23,73.58,76.07,65.58
1917,-999.0,-999.0,54.52,51.31,47.3,47.33,72.48,72.87,58.79
1918,-999.0,-999.0,61.12,58.47,55.05,54.55,75.11,75.61,63.56
1919,-999.0,-999.0,57.38,56.05,53.23,55.27,73.16,71.88,64.14
1920,-999.0,-999.0,55.66,54.3,48.5,51.2,71.4,73.44,61.34
1921,-999.0,-999.0,62.26,61.64,54.71,53.44,76.01,75.58,63.89
1922,-999.0,-999.0,59.35,57.5,51.82,50.44,74.02,73.41,61.57
1923,-999.0,-999.0,55.66,54.24,52.0,53.45,72.26,72.13,62.65
1924,-999.0,-999.0,53.76,51.66,49.93,56.77,70.17,69.8,62.79
1925,33.3,-999.0,61.17,56.63,57.49,56.93,75.5,78.31,66.92
1926,38.2,-999.0,55.91,51.43,56.88,59.78,70.84,70.44,64.9
1927,27.73,-999.0,57.21,55.18,50.95,51.75,74.54,76.18,64.21
1928,31.2,-999.0,57.2,53.09,55.96,56.42,71.64,74.46,65.47
1929,29.8,-999.0,58.66,57.09,52.9,53.15,74.91,74.44,62.98
1930,31.07,-999.0,59.25,55.79,55.05,56.37,73.26,74.56,64.13
1931,31.57,-999.0,56.67,55.48,55.05,57.16,69.73,69.51,65.62
1932,34.27,-999.0,55.87,53.66,52.36,53.06,72.06,73.19,63.77
1933,33.13,-999.0,56.91,55.13,52.83,51.61,74.08,76.02,61.91
1934,33.53,-999.0,59.86,56.58,61.37,63.14,73.17,76.28,71.58
1935,32.37,-999.0,55.91,54.51,49.87,52.59,74.47,73.99,61.61
1936,32.83,-999.0,58.83,57.25,55.84,56.8,74.96,76.32,67.44
1937,30.6,-999.0,55.56,53.96,53.59,54.23,72.45,73.38,64.2
1938,34.43,-999.0,60.33,57.43,54.18,53.93,75.88,75.64,63.01
1939,31.1,-999.0,58.78,54.57,57.81,58.29,73.99,76.76,66.68
1940,38.23,-999.0,54.12,51.74,53.93,58.26,71.71,75.06,67.03
1941,34.4,-999.0,59.79,57.25,55.18,57.46,73.13,70.9,61.88
1942,34.63,-999.0,60.25,58.96,53.64,53.63,74.21,73.76,62.58
1943,33.7,-999.0,55.15,53.26,53.04,54.11,73.23,74.38,66.19
1944,31.73,-999.0,56.08,55.73,51.59,54.06,73.79,72.51,61.69
1945,29.6,-999.0,59.52,59.95,53.01,52.46,76.24,75.25,62.52
1946,29.03,-999.0,61.95,59.01,58.27,56.21,75.18,76.86,66.14
1947,32.93,-999.0,53.29,53.67,51.69,58.91,71.17,71.29,66.19
1948,31.2,-999.0,58.62,56.48,53.32,50.94,75.37,75.14,62.32
1949,31.9,-999.0,58.75,57.13,56.05,57.14,73.07,72.61,64.32
1950,34.1,-999.0,53.18,53.15,48.12,52.08,72.06,74.08,65.48
1951,31.4,-999.0,55.4,56.0,49.98,54.65,72.77,73.6,63.93
1952,28.87,-999.0,57.15,54.93,53.03,54.64,73.07,72.26,62.11
1953,34.13,-999.0,56.61,56.25,51.11,52.6,74.76,75.32,62.4
1954,34.43,-999.0,56.57,55.68,51.66,54.93,73.18,73.84,66.24
1955,29.77,-999.0,61.18,58.15,53.82,48.87,76.38,77.04,62.93
1956,31.23,-999.0,56.62,52.29,52.84,55.49,73.48,76.57,65.61
1957,35.47,-999.0,57.36,56.98,51.88,54.28,73.25,70.31,61.52
1958,35.7,-999.0,57.8,54.54,53.71,55.78,70.62,69.24,62.25
1959,28.37,-999.0,59.11,57.45,53.52,53.97,73.55,74.0,65.7
1960,31.53,-999.0,53.76,53.79,52.25,53.53,69.94,71.98,65.9
1961,30.13,-999.0,55.53,52.91,53.61,53.82,71.9,74.38,64.18
1962,31.07,-999.0,57.57,56.42,52.89,53.11,72.85,74.77,64.01
1963,32.27,-999.0,59.89,56.24,55.95,53.6,75.84,77.94,63.94
1964,26.4,-999.0,59.38,57.19,52.85,51.33,74.2,75.51,61.64
1965,34.17,-999.0,55.42,55.13,49.27,54.01,73.4,72.27,61.42
1966,27.07,-999.0,56.51,54.17,54.95,57.07,72.14,74.34,67.54
1967,34.73,-999.0,57.23,52.41,51.92,51.63,75.64,77.76,63.12
1968,33.07,-999.0,59.58,57.19,54.84,55.06,72.96,72.22,63.35
1969,35.67,-999.0,57.12,55.48,54.15,56.08,71.38,70.84,64.32
1970,33.8,-999.0,56.96,55.26,50.11,52.45,73.47,72.25,62.54
1971,26.13,-999.0,56.63,53.25,53.03,52.44,71.43,74.97,62.96
1972,25.9,-999.0,57.3,53.82,54.62,55.15,73.23,77.25,68.17
1973,31.5,-999.0,58.0,56.16,54.14,55.36,72.37,71.95,61.24
1974,33.33,-999.0,57.74,55.57,54.03,52.48,75.31,77.77,66.18
1975,31.2,-999.0,55.32,54.38,48.32,49.93,72.31,72.68,60.02
1976,31.77,-999.0,59.87,57.58,55.45,53.22,74.0,73.44,63.86
1977,28.93,-999.0,64.9,60.3,58.27,53.91,76.31,74.82,62.9
1978,35.53,-999.0,56.14,53.69,52.99,54.11,72.43,75.16,64.24
1979,35.1,-999.0,55.32,56.76,51.23,55.42,72.99,72.58,63.34
1980,35.43,-999.0,57.77,55.88,56.13,54.38,71.66,72.95,61.65
1981,38.6,-999.0,60.07,57.0,58.2,55.03,73.63,74.07,64.76
1982,30.5,-999.0,57.37,56.21,51.44,52.65,73.82,73.26,62.83
1983,34.93,-999.0,54.59,54.32,51.19,54.53,70.06,70.75,60.2
1984,33.2,-999.0,53.81,52.26,52.16,52.38,71.38,73.66,65.07
1985,29.4,-999.0,62.17,58.52,58.87,55.45,75.5,75.72,65.52
1986,29.97,-999.0,61.3,58.87,57.14,56.46,75.07,76.9,66.73
1987,33.9,-999.0,63.54,58.54,58.67,58.84,73.77,73.55,65.25
1988,34.43,-999.0,61.28,56.38,58.48,56.04,73.7,74.77,65.3
1989,34.27,-999.0,57.02,54.89,54.15,55.15,72.78,76.55,69.1
