Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,59.32,59.25,55.46,55.42,74.43,73.71,65.49
1896,-999.0,-999.0,56.16,57.94,48.92,53.88,75.33,72.98,64.76
1897,-999.0,-999.0,64.1,59.91,57.42,55.38,76.98,78.24,65.82
1898,-999.0,-999.0,58.42,59.16,52.75,54.91,72.34,74.42,66.73
1899,-999.0,-999.0,63.23,58.88,58.84,57.48,75.74,77.2,67.66
1900,-999.0,-999.0,62.2,62.06,54.69,54.51,76.86,75.89,66.06
1901,-999.0,-999.0,60.65,57.24,57.06,57.64,72.95,76.79,68.67
1902,-999.0,-999.0,60.53,60.64,56.32,56.86,75.18,75.03,66.89
1903,-999.0,-999.0,58.98,58.2,55.22,55.8,73.32,74.37,68.32
1904,-999.0,-999.0,61.16,56.67,60.92,60.43,75.23,76.0,67.93
1905,-999.0,-999.0,60.34,58.28,56.84,55.93,75.09,75.24,66.53
1906,-999.0,-999.0,60.4,59.16,56.31,57.19,74.34,72.79,65.93
1907,-999.0,-999.0,58.64,56.43,58.17,59.31,73.69,74.28,66.65
1908,-999.0,-999.0,63.47,61.75,57.32,57.27,75.07,75.29,66.05
1909,-999.0,-999.0,61.36,59.33,57.42,56.91,76.97,78.13,67.23
1910,-999.0,-999.0,59.78,57.89,57.68,56.63,75.33,78.31,69.28
1911,-999.0,-999.0,57.02,57.26,51.58,54.08,75.52,75.53,65.56
1912,-999.0,-999.0,61.74,60.04,54.51,53.86,75.41,75.7,64.77
1913,-999.0,-999.0,61.16,60.07,56.5,56.02,74.08,73.23,66.47
1914,-999.0,-999.0,62.71,60.05,60.19,56.71,73.78,76.01,68.8
1915,-999.0,-999.0,62.03,60.69,56.46,56.08,76.73,77.27,68.34
1916,-999.0,-999.0,60.23,59.81,54.65,55.25,75.32,75.75,65.1
1917,-999.0,-999.0,57.4,55.16,58.16,60.41,72.15,76.53,70.29
1918,-999.0,-999.0,59.31,58.36,55.88,57.84,73.45,72.85,65.97
1919,-999.0,-999.0,59.7,59.58,50.18,53.55,77.63,73.7,64.7
1920,-999.0,-999.0,62.35,60.1,56.37,53.81,74.61,74.55,65.02
1921,-999.0,-999.0,60.65,60.02,56.8,57.21,77.91,79.69,70.49
1922,-999.0,-999.0,63.75,60.47,59.35,57.85,76.51,77.41,67.84
1923,-999.0,-999.0,60.23,59.23,57.11,58.35,73.38,71.98,65.39
1924,-999.0,-999.0,61.41,58.86,57.35,56.0,74.82,77.56,68.14
1925,36.23,-999.0,57.0,55.92,52.38,55.84,75.42,73.07,64.83
1926,37.83,-999.0,56.45,57.52,53.53,56.71,74.7,75.44,69.23
1927,27.83,-999.0,62.69,62.06,55.93,55.73,78.25,79.13,68.3
1928,33.83,-999.0,59.81,58.26,56.43,57.43,74.21,75.1,67.55
1929,36.5,-999.0,57.83,58.67,53.11,58.19,72.53,72.08,67.08
1930,30.9,-999.0,61.27,60.92,55.19,55.4,73.36,74.62,66.05
1931,33.2,-999.0,65.93,64.09,58.51,55.46,79.74,79.86,66.5
1932,30.43,-999.0,58.38,59.6,55.68,59.17,72.81,73.49,69.35
1933,31.17,-999.0,60.95,57.68,59.85,58.79,76.64,78.57,71.5
1934,34.53,-999.0,61.82,59.83,58.57,58.43,76.38,78.37,69.54
1935,32.77,-999.0,58.8,59.42,55.84,56.85,75.09,72.98,67.11
1936,35.07,-999.0,59.71,58.44,58.1,59.67,75.13,73.11,67.82
1937,37.43,-999.0,58.66,57.7,57.29,59.88,71.72,75.25,69.95
1938,37.03,-999.0,63.73,60.67,58.81,57.75,76.62,78.52,66.86
1939,29.43,-999.0,63.67,59.12,61.3,59.94,76.25,78.12,68.58
1940,35.03,-999.0,61.28,57.18,57.91,55.72,74.88,75.52,66.42
1941,32.63,-999.0,61.99,62.45,55.61,55.16,77.76,75.15,65.41
1942,32.37,-999.0,60.37,60.36,56.63,58.42,75.92,75.17,68.85
1943,35.43,-999.0,58.39,58.09,58.94,59.75,73.62,74.81,69.6
1944,32.7,-999.0,61.14,58.86,58.16,59.28,74.59,75.56,67.62
1945,29.17,-999.0,59.57,59.85,56.35,56.68,75.56,77.18,68.4
1946,32.1,-999.0,62.58,63.6,52.85,53.39,75.89,74.66,64.83
1947,33.03,-999.0,61.91,61.84,56.38,56.29,75.03,77.97,67.5
1948,28.37,-999.0,62.34,61.54,58.7,56.07,74.38,75.86,67.63
1949,36.2,-999.0,61.01,59.69,58.99,59.02,74.55,76.81,70.45
1950,32.8,-999.0,59.93,59.29,56.4,57.31,73.43,77.06,70.55
1951,34.13,-999.0,56.69,58.96,52.24,56.2,73.96,74.64,67.62
1952,35.8,-999.0,61.31,59.61,59.41,60.92,73.5,75.76,69.32
1953,32.03,-999.0,65.55,62.74,62.34,60.9,76.55,77.17,70.24
1954,35.4,-999.0,61.34,59.8,58.95,58.59,76.46,78.96,70.35
1955,27.53,-999.0,60.49,59.07,55.06,55.3,75.22,76.73,69.36
1956,27.03,-999.0,63.14,59.49,58.76,56.12,74.62,78.7,69.28
1957,35.73,-999.0,58.16,60.07,53.74,56.88,72.08,71.07,64.43
1958,30.27,-999.0,62.25,59.23,59.12,58.51,75.25,74.51,69.1
1959,33.1,-999.0,57.02,60.45,52.2,55.75,73.91,73.58,68.24
1960,30.03,-999.0,62.48,60.41,58.85,58.12,75.44,76.91,68.36
1961,30.03,-999.0,61.08,62.71,53.85,54.19,75.23,72.98,64.86
1962,32.07,-999.0,60.27,57.01,59.5,58.94,73.81,75.63,69.77
1963,29.37,-999.0,66.33,62.26,63.01,59.73,76.33,79.5,69.68
1964,33.13,-999.0,61.57,60.38,57.05,56.78,74.67,75.23,67.8
1965,31.97,-999.0,59.73,58.41,55.12,58.44,74.92,76.99,68.37
1966,32.13,-999.0,59.71,58.95,57.24,59.05,73.64,75.77,68.83
1967,33.77,-999.0,58.31,57.35,57.9,60.07,72.35,73.82,69.8
1968,31.27,-999.0,59.96,59.85,56.57,55.73,73.64,74.5,67.41
1969,34.57,-999.0,58.91,58.69,56.01,56.81,73.2,73.72,66.23
1970,30.57,-999.0,59.79,60.59,54.0,54.7,74.51,73.19,66.01
