Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,33.96,34.14,27.11,32.21,49.23,46.88,37.86
1896,-999.0,-999.0,36.47,35.61,28.71,34.13,51.62,49.58,39.89
1897,-999.0,-999.0,35.69,35.6,28.67,34.03,51.38,48.49,38.99
1898,-999.0,-999.0,36.43,37.15,28.93,32.76,51.24,48.19,37.91
1899,-999.0,-999.0,35.23,35.48,27.6,33.21,50.51,48.35,38.37
1900,-999.0,-999.0,37.08,36.29,31.74,35.12,51.46,50.43,39.61
1901,-999.0,-999.0,35.62,35.45,30.99,34.06,48.88,49.14,39.27
1902,-999.0,-999.0,36.25,35.5,29.38,33.17,50.57,49.89,38.63
1903,-999.0,-999.0,34.99,35.18,28.8,32.76,49.54,47.84,37.56
1904,-999.0,-999.0,33.68,32.74,29.11,34.31,49.13,48.78,38.84
1905,-999.0,-999.0,35.22,34.35,29.52,33.3,50.42,48.74,38.8
1906,-999.0,-999.0,36.45,35.93,30.36,34.56,50.78,48.65,39.21
1907,-999.0,-999.0,35.01,33.93,28.71,33.91,50.78,49.78,39.52
1908,-999.0,-999.0,36.97,35.36,30.49,33.48,51.11,49.59,37.82
1909,-999.0,-999.0,35.91,35.39,29.13,33.01,50.57,49.06,38.48
1910,-999.0,-999.0,35.59,35.48,30.78,33.76,49.45,49.19,39.61
1911,-999.0,-999.0,37.09,36.07,29.02,31.86,52.23,50.56,38.23
1912,-999.0,-999.0,34.07,34.38,28.86,33.32,49.79,47.6,37.03
1913,-999.0,-999.0,36.8,36.84,29.38,32.76,50.95,48.8,37.57
1914,-999.0,-999.0,36.18,33.87,30.41,34.06,50.09,49.35,39.43
1915,-999.0,-999.0,36.44,36.18,30.36,34.51,50.27,48.69,38.3
1916,-999.0,-999.0,34.88,34.88,27.17,31.16,50.11,48.54,37.78
1917,-999.0,-999.0,32.37,32.89,27.46,32.97,48.17,47.02,37.43
1918,-999.0,-999.0,35.86,34.64,30.29,34.29,50.53,48.88,38.78
1919,-999.0,-999.0,36.71,36.26,29.68,32.36,51.42,48.94,38.07
1920,-999.0,-999.0,35.78,34.85,30.15,33.51,49.99,48.66,38.13
1921,-999.0,-999.0,39.6,37.44,31.97,33.92,52.54,50.81,39.78
1922,-999.0,-999.0,37.2,35.93,29.28,31.77,52.27,49.77,38.16
1923,-999.0,-999.0,36.12,34.38,30.44,33.55,51.07,49.92,38.1
1924,-999.0,-999.0,33.86,33.8,28.33,32.65,49.14,47.63,37.35
1925,17.18,-999.0,35.89,35.16,31.28,35.52,51.26,49.73,39.11
1926,21.79,-999.0,35.16,33.54,31.26,35.17,50.14,49.19,39.69
1927,15.51,-999.0,36.35,36.0,29.33,34.03,52.01,50.35,39.31
1928,18.6,-999.0,36.47,35.78,30.25,33.77,50.02,49.31,38.82
1929,19.82,-999.0,34.35,35.21,28.04,31.38,50.83,48.52,37.74
1930,17.41,-999.0,36.77,35.76,30.79,32.62,50.33,49.12,37.96
1931,18.86,-999.0,40.25,37.79,32.55,33.67,51.12,50.44,39.33
1932,15.91,-999.0,36.31,36.43,29.68,32.75,51.55,48.84,37.74
1933,14.72,-999.0,37.31,36.33,31.19,33.35,52.13,50.77,38.06
1934,18.43,-999.0,37.07,34.55,32.95,37.03,50.77,50.74,41.05
1935,17.64,-999.0,36.63,35.08,30.11,32.8,50.92,50.39,38.96
1936,18.06,-999.0,35.15,35.16,29.23,33.47,50.56,48.98,39.58
1937,18.78,-999.0,35.49,36.61,29.31,33.37,50.7,49.24,38.45
1938,19.04,-999.0,38.38,36.62,31.9,34.89,51.45,50.63,39.29
1939,16.8,-999.0,37.33,35.59,31.28,34.64,51.18,50.01,39.06
1940,20.71,-999.0,35.63,34.11,31.4,36.26,48.55,48.25,40.53
1941,18.8,-999.0,38.61,35.72,32.43,35.87,50.86,50.62,39.55
1942,19.57,-999.0,37.05,36.3,30.4,33.61,50.03,48.88,38.15
1943,19.68,-999.0,35.26,34.69,29.62,33.46,49.77,48.7,39.44
1944,20.23,-999.0,37.52,35.67,29.97,33.32,50.61,49.52,37.62
1945,18.29,-999.0,35.82,35.92,29.55,34.26,51.06,49.17,38.38
1946,16.79,-999.0,37.49,36.0,31.26,33.96,51.69,50.77,38.81
1947,18.3,-999.0,36.54,35.83,30.55,34.77,50.2,48.72,38.64
1948,15.56,-999.0,36.1,35.31,29.71,32.71,50.82,48.78,37.39
1949,18.05,-999.0,37.3,37.72,28.94,32.1,52.02,49.22,37.47
1950,18.1,-999.0,34.16,35.5,27.63,33.64,50.53,48.87,38.95
1951,17.43,-999.0,34.96,36.22,27.4,32.99,50.29,48.75,38.32
1952,18.15,-999.0,36.99,36.96,29.86,32.8,50.37,49.12,38.36
1953,18.35,-999.0,37.88,37.65,32.36,35.27,50.96,50.19,38.74
1954,16.55,-999.0,37.93,36.4,31.52,33.65,50.58,50.82,39.71
1955,15.84,-999.0,36.61,36.24,28.88,32.07,50.45,49.47,37.61
1956,14.36,-999.0,36.36,35.49,29.95,33.35,50.61,49.69,38.05
1957,20.72,-999.0,36.84,36.35,30.69,33.64,51.78,50.11,39.49
1958,19.63,-999.0,35.56,34.79,31.0,36.4,49.12,49.07,40.06
1959,16.87,-999.0,36.62,36.54,29.9,33.92,50.85,48.58,39.21
1960,19.38,-999.0,35.77,35.47,29.73,33.54,49.12,48.65,38.92
1961,16.44,-999.0,36.5,36.12,30.86,35.03,49.6,48.23,38.86
1962,19.57,-999.0,36.03,34.46,30.54,33.93,49.93,49.57,38.88
1963,19.36,-999.0,35.47,33.76,31.71,35.01,48.55,49.55,39.4
1964,15.79,-999.0,36.8,35.13,29.68,32.65,50.05,49.25,37.54
1965,17.56,-999.0,36.17,34.99,29.54,34.34,50.44,49.99,38.74
1966,16.25,-999.0,35.27,35.18,29.45,34.57,49.21,48.25,38.85
1967,19.67,-999.0,35.4,34.95,30.25,35.17,49.3,49.15,38.98
1968,17.6,-999.0,36.54,35.13,29.87,34.53,48.53,48.46,38.53
1969,19.42,-999.0,35.98,35.85,29.67,33.81,49.2,49.49,39.61
1970,17.84,-999.0,36.26,35.86,29.68,34.08,49.88,48.53,38.77
1971,14.6,-999.0,36.53,35.8,29.9,33.67,50.54,49.44,38.06
1972,15.87,-999.0,35.31,35.13,29.31,33.72,50.56,48.97,39.11
1973,17.08,-999.0,39.0,38.02,31.26,34.68,51.13,49.15,38.44
1974,15.62,-999.0,36.73,35.85,30.71,34.29,50.83,49.31,38.87
1975,15.27,-999.0,37.2,36.97,29.67,33.73,51.08,48.46,37.53
1976,17.94,-999.0,34.7,34.42,30.73,33.45,48.2,47.51,38.17
1977,19.28,-999.0,37.05,35.99,31.32,34.38,50.02,50.01,39.69
1978,21.45,-999.0,34.85,34.28,28.63,34.34,49.27,48.63,39.67
1979,20.02,-999.0,34.77,36.5,28.71,34.03,49.44,47.63,38.48
1980,19.07,-999.0,36.4,35.12,31.21,34.95,49.91,49.56,39.78
1981,21.91,-999.0,37.44,36.1,32.87,35.62,49.22,50.37,41.11
1982,18.05,-999.0,36.03,35.41,29.2,33.54,51.13,49.29,38.97
1983,19.58,-999.0,37.93,36.96,31.53,35.49,49.61,48.62,40.14
1984,17.61,-999.0,37.34,36.64,30.94,33.61,50.42,49.49,39.18
1985,18.75,-999.0,35.84,36.1,28.55,31.43,50.94,49.28,38.91
1986,19.22,-999.0,38.21,36.54,32.53,35.7,51.88,51.08,40.72
1987,19.95,-999.0,39.75,36.76,33.3,35.27,50.51,49.37,39.51
1988,19.68,-999.0,36.28,35.62,31.61,34.94,49.17,48.59,39.47
1989,19.24,-999.0,35.15,35.32,29.87,34.16,50.37,48.4,39.31
1990,17.45,-999.0,38.54,38.49,31.59,34.82,52.16,50.53,39.5
1991,19.26,-999.0,38.66,37.94,32.27,35.03,52.49,50.42,39.38
1992,17.53,-999.0,37.55,35.82,31.92,36.36,50.67,49.85,40.3
1993,22.35,-999.0,36.63,35.84,29.26,33.33,50.48,48.87,39.14
1994,18.74,-999.0,36.95,35.74,31.4,35.29,51.26,50.22,40.21
1995,20.38,-999.0,37.11,36.48,31.28,35.78,50.84,49.67,40.53
1996,17.07,-999.0,35.25,36.44,28.88,34.62,50.07,49.18,40.76
1997,20.26,-999.0,36.94,35.82,31.34,35.29,50.58,49.38,40.14
1998,21.29,-999.0,41.3,39.66,33.53,36.33,53.42,52.09,39.84
1999,16.31,-999.0,38.85,37.81,33.06,34.66,51.34,50.84,39.68
2000,21.13,-999.0,37.72,36.53,31.45,34.87,50.51,50.91,40.92
2001,19.93,-999.0,39.1,37.59,32.52,35.0,51.06,51.0,40.75
2002,22.53,-999.0,38.67,38.04,31.09,34.42,51.84,50.09,39.8
2003,21.47,-999.0,37.02,36.38,31.95,36.36,51.15,50.18,41.33
2004,21.57,-999.0,37.93,37.05,31.91,36.08,51.89,50.97,40.37
2005,21.52,-999.0,38.99,37.49,32.49,34.99,51.66,50.73,40.76
2006,18.95,-999.0,39.93,39.26,33.15,35.18,51.52,51.18,40.27
2007,20.49,-999.0,38.79,36.98,32.6,35.01,51.93,50.57,40.38
2008,17.48,-999.0,36.16,37.04,29.85,33.65,50.69,49.27,39.5
2009,18.92,-999.0,36.89,36.77,30.15,34.24,51.41,49.76,39.87
2010,19.95,-999.0,38.77,38.99,31.65,35.26,50.55,50.17,40.08
2011,19.27,-999.0,38.72,38.84,31.16,33.88,51.78,50.6,39.3
2012,16.77,-999.0,40.59,39.84,33.47,35.49,52.91,52.09,41.19
2013,20.14,-999.0,36.64,37.6,31.0,34.87,51.28,49.41,39.73
2014,22.83,-999.0,35.23,36.13,30.71,36.71,50.11,49.32,41.74
2015,22.7,-999.0,38.8,37.0,33.46,37.54,53.09,51.35,42.1
2016,24.48,-999.0,40.72,38.71,33.98,36.57,53.13,52.19,41.58
2017,21.72,-999.0,39.55,38.71,32.52,35.54,53.38,51.82,42.06
2018,23.36,-999.0,38.15,38.53,30.99,35.86,53.03,50.63,41.45
2019,24.84,-999.0,37.58,37.52,29.97,34.86,53.27,50.54,40.14
2020,19.97,-999.0,39.16,39.39,32.15,35.73,53.46,51.09,41.22
2021,19.05,-999.0,39.86,39.65,32.94,36.33,52.62,51.11,41.61
