Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,3.3,8.1,0.33,19.25,28.34,24.14,22.22
1896,-999.0,-999.0,14.92,15.4,9.18,23.32,33.78,30.27,23.54
1897,-999.0,-999.0,14.69,14.71,9.18,23.55,34.4,30.71,24.67
1898,-999.0,-999.0,14.01,16.89,9.12,21.63,35.69,30.66,21.28
1899,-999.0,-999.0,7.1,12.5,2.49,19.57,31.22,24.28,20.98
1900,-999.0,-999.0,11.71,15.4,8.54,23.05,32.47,30.66,25.0
1901,-999.0,-999.0,12.08,13.0,9.51,23.45,33.18,30.04,24.27
1902,-999.0,-999.0,10.33,13.2,9.68,22.89,29.82,27.99,23.97
1903,-999.0,-999.0,11.69,14.63,4.96,19.36,34.31,29.74,20.92
1904,-999.0,-999.0,4.95,7.84,6.52,22.08,30.22,28.88,22.08
1905,-999.0,-999.0,6.62,8.5,5.22,21.41,29.38,25.35,24.91
1906,-999.0,-999.0,14.52,17.01,10.63,21.82,33.35,29.09,23.21
1907,-999.0,-999.0,13.08,11.44,7.02,22.7,37.19,34.66,28.29
1908,-999.0,-999.0,15.4,14.63,11.28,23.07,33.36,32.37,24.78
1909,-999.0,-999.0,14.83,16.81,7.86,21.53,37.21,32.37,25.24
1910,-999.0,-999.0,9.26,14.19,3.11,16.46,30.68,27.01,20.1
1911,-999.0,-999.0,13.34,13.52,6.76,20.93,35.85,33.65,25.67
1912,-999.0,-999.0,8.14,12.62,6.86,22.26,31.37,26.82,21.05
1913,-999.0,-999.0,12.43,18.13,5.67,17.52,36.56,28.58,19.37
1914,-999.0,-999.0,14.73,13.21,9.15,22.7,34.36,31.6,24.02
1915,-999.0,-999.0,12.98,16.27,6.68,19.45,34.01,30.0,22.28
1916,-999.0,-999.0,11.91,15.67,3.75,18.67,34.98,30.86,24.56
1917,-999.0,-999.0,6.52,12.78,1.25,16.72,34.43,29.04,19.66
1918,-999.0,-999.0,4.62,6.42,4.11,25.6,29.3,25.31,23.58
1919,-999.0,-999.0,18.39,18.55,11.93,21.27,35.64,30.63,20.6
