Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,57.02,55.2,48.45,45.75,67.33,66.65,54.53
1896,-999.0,-999.0,58.13,55.92,50.91,48.45,68.3,67.87,57.32
1897,-999.0,-999.0,57.39,55.13,50.39,46.89,67.63,66.87,55.44
1898,-999.0,-999.0,58.53,57.65,51.39,47.68,68.3,67.33,56.77
1899,-999.0,-999.0,58.82,56.1,50.33,44.87,67.95,68.22,54.68
1900,-999.0,-999.0,59.56,57.24,52.76,46.64,68.42,68.41,55.09
1901,-999.0,-999.0,60.18,58.0,52.67,46.11,68.02,69.27,56.13
1902,-999.0,-999.0,56.85,53.88,49.4,44.58,67.42,68.58,54.6
1903,-999.0,-999.0,55.73,53.37,50.43,46.67,66.01,65.95,55.1
1904,-999.0,-999.0,55.68,54.65,49.44,46.29,65.75,66.47,55.1
1905,-999.0,-999.0,58.13,55.63,51.26,47.0,67.54,67.72,54.59
1906,-999.0,-999.0,57.89,57.03,50.51,47.44,67.63,66.15,54.78
1907,-999.0,-999.0,56.96,53.71,49.83,45.56,66.36,67.27,53.57
1908,-999.0,-999.0,57.26,55.36,50.05,46.57,66.78,67.01,54.34
1909,-999.0,-999.0,58.82,54.09,53.0,45.54,67.58,68.66,55.93
1910,-999.0,-999.0,56.92,54.72,50.82,45.07,66.28,67.65,55.59
1911,-999.0,-999.0,58.5,56.22,50.8,46.12,67.11,68.52,54.9
1912,-999.0,-999.0,56.66,53.63,50.4,46.48,66.47,66.91,54.04
1913,-999.0,-999.0,58.97,54.13,52.4,47.85,66.7,67.69,55.02
1914,-999.0,-999.0,59.06,54.55,51.98,46.65,68.1,68.73,55.66
1915,-999.0,-999.0,54.57,54.36,48.5,46.96,66.49,65.94,54.09
1916,-999.0,-999.0,58.84,56.03,51.15,45.35,67.1,67.69,54.09
1917,-999.0,-999.0,55.98,56.44,49.63,45.98,65.85,66.83,55.45
1918,-999.0,-999.0,58.16,54.51,52.16,47.54,66.2,68.88,56.58
1919,-999.0,-999.0,59.67,56.05,53.32,46.03,67.3,66.75,55.82
1920,-999.0,-999.0,56.54,55.29,51.26,46.72,65.95,66.04,54.58
1921,-999.0,-999.0,61.03,56.22,53.6,47.1,67.8,68.21,56.28
1922,-999.0,-999.0,58.01,56.14,52.59,48.29,66.79,67.8,56.57
1923,-999.0,-999.0,58.51,53.88,52.98,47.85,66.95,68.32,54.44
1924,-999.0,-999.0,55.94,53.95,49.15,45.81,67.04,68.24,54.85
1925,40.6,-999.0,58.02,55.15,51.41,47.46,67.16,68.87,55.97
