Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,34.82,32.57,28.91,30.77,49.29,47.74,36.6
1896,-999.0,-999.0,37.25,33.61,27.3,30.09,52.15,50.37,36.22
1897,-999.0,-999.0,33.7,33.74,27.04,32.31,50.83,48.51,36.81
1898,-999.0,-999.0,35.74,35.48,27.56,30.66,50.59,48.57,36.41
1899,-999.0,-999.0,33.15,33.45,24.23,30.58,50.97,48.51,35.77
1900,-999.0,-999.0,34.67,31.09,31.77,34.39,49.31,49.61,37.98
1901,-999.0,-999.0,34.77,34.16,31.33,32.04,47.29,46.66,36.16
1902,-999.0,-999.0,37.13,35.27,30.34,31.96,50.74,51.07,36.02
1903,-999.0,-999.0,37.79,36.51,27.81,30.51,51.56,48.27,35.98
1904,-999.0,-999.0,33.38,33.17,27.91,32.36,48.66,49.12,37.75
1905,-999.0,-999.0,35.99,33.05,30.45,33.4,52.55,51.07,37.94
1906,-999.0,-999.0,33.72,31.5,28.04,31.5,48.55,47.79,36.8
1907,-999.0,-999.0,32.09,31.12,26.9,32.56,49.96,48.4,37.31
1908,-999.0,-999.0,36.5,34.54,28.89,31.22,53.48,50.72,35.74
1909,-999.0,-999.0,33.15,32.74,26.73,30.19,49.45,47.19,34.7
1910,-999.0,-999.0,37.13,35.67,33.3,34.58,49.42,49.51,39.04
1911,-999.0,-999.0,36.36,32.32,30.4,29.89,49.98,50.25,37.16
1912,-999.0,-999.0,33.26,32.6,26.27,31.1,50.6,47.25,35.32
1913,-999.0,-999.0,33.77,34.64,27.93,31.34,49.34,46.62,35.04
1914,-999.0,-999.0,35.03,32.38,30.43,33.75,48.03,47.81,38.16
1915,-999.0,-999.0,35.44,32.53,30.32,34.54,47.57,46.56,37.0
1916,-999.0,-999.0,33.79,31.46,28.8,31.62,48.65,48.56,36.96
1917,-999.0,-999.0,32.43,31.58,25.37,28.95,47.83,45.65,32.49
1918,-999.0,-999.0,36.36,34.37,30.16,30.67,51.47,49.61,36.31
1919,-999.0,-999.0,35.3,34.15,29.04,31.87,49.48,48.54,37.31
1920,-999.0,-999.0,33.39,31.7,27.08,30.11,48.97,47.17,34.85
1921,-999.0,-999.0,38.85,37.54,30.11,32.55,51.79,50.07,36.8
1922,-999.0,-999.0,37.92,34.98,29.71,29.07,51.96,49.44,34.4
