Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,36.14,36.83,27.92,32.54,50.3,47.42,38.89
1896,-999.0,-999.0,34.72,38.69,24.62,32.52,52.14,48.68,40.39
1897,-999.0,-999.0,39.43,37.58,31.31,34.86,51.91,49.52,41.04
1898,-999.0,-999.0,38.02,39.7,28.14,33.13,51.57,46.78,37.75
1899,-999.0,-999.0,40.52,38.81,32.5,36.14,51.74,50.84,40.68
1900,-999.0,-999.0,41.3,42.3,31.42,34.35,55.07,52.95,40.0
1901,-999.0,-999.0,37.44,36.79,32.18,36.07,48.46,51.44,40.71
1902,-999.0,-999.0,40.07,40.19,29.88,33.67,52.95,51.08,39.74
1903,-999.0,-999.0,36.68,37.18,30.04,34.45,48.6,48.01,39.25
1904,-999.0,-999.0,38.92,35.72,32.59,36.32,49.97,50.4,39.61
1905,-999.0,-999.0,38.78,37.31,31.29,32.42,52.29,51.48,39.21
1906,-999.0,-999.0,39.8,39.51,32.01,35.15,52.24,48.53,38.76
1907,-999.0,-999.0,37.22,37.58,30.76,35.53,50.2,50.06,39.99
1908,-999.0,-999.0,39.55,38.26,32.33,34.56,50.02,48.1,37.45
1909,-999.0,-999.0,39.16,38.17,32.16,36.27,51.0,50.98,39.54
1910,-999.0,-999.0,38.22,38.98,32.49,35.59,51.1,50.41,41.02
1911,-999.0,-999.0,37.28,37.89,28.75,32.26,53.32,50.2,38.01
1912,-999.0,-999.0,39.17,39.72,30.87,33.21,51.39,49.41,37.26
1913,-999.0,-999.0,40.29,40.34,31.89,34.74,50.86,51.18,40.13
1914,-999.0,-999.0,40.37,37.5,33.41,35.16,50.95,51.28,40.23
1915,-999.0,-999.0,40.38,40.23,32.48,34.22,53.17,50.71,38.53
1916,-999.0,-999.0,37.47,36.91,28.91,30.78,49.57,48.47,37.03
1917,-999.0,-999.0,35.76,34.25,31.97,35.7,46.74,47.28,40.01
1918,-999.0,-999.0,38.31,38.23,31.52,36.54,50.95,49.34,40.24
1919,-999.0,-999.0,38.69,39.85,27.79,32.63,55.29,51.37,38.29
