Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,13.86,17.99,11.57,27.1,38.4,36.25,33.07
1896,-999.0,-999.0,23.96,24.3,20.33,30.78,44.16,42.81,35.46
1897,-999.0,-999.0,23.12,23.6,19.34,30.05,44.65,42.75,35.16
1898,-999.0,-999.0,22.86,25.53,19.89,28.86,46.01,43.27,33.06
1899,-999.0,-999.0,16.78,21.8,13.08,26.57,41.52,36.46,32.43
1900,-999.0,-999.0,21.18,24.71,19.25,30.39,43.19,41.88,36.82
1901,-999.0,-999.0,21.28,21.63,19.8,30.17,43.79,42.32,35.9
1902,-999.0,-999.0,19.62,22.18,19.4,30.04,40.37,40.74,36.39
1903,-999.0,-999.0,20.6,23.69,15.49,27.01,44.37,40.09,32.21
1904,-999.0,-999.0,14.98,17.47,17.25,29.04,41.57,43.17,35.47
1905,-999.0,-999.0,16.27,17.79,15.92,29.06,39.65,36.73,35.52
1906,-999.0,-999.0,24.25,26.68,21.44,28.87,43.86,41.53,34.55
1907,-999.0,-999.0,22.24,21.1,17.17,29.67,48.12,47.16,38.64
1908,-999.0,-999.0,24.41,23.8,22.37,30.33,43.68,44.46,36.23
1909,-999.0,-999.0,24.17,26.12,18.02,28.15,48.33,45.57,36.01
1910,-999.0,-999.0,18.24,22.88,12.8,23.67,41.85,39.21,31.38
1911,-999.0,-999.0,22.7,22.68,17.49,27.86,46.68,45.73,36.46
1912,-999.0,-999.0,16.84,21.62,16.28,29.22,41.99,38.38,33.84
1913,-999.0,-999.0,22.46,27.59,16.88,25.56,46.96,40.11,31.55
1914,-999.0,-999.0,23.79,22.68,19.87,29.64,44.91,43.02,34.83
1915,-999.0,-999.0,21.26,24.98,16.56,27.09,43.35,40.37,32.82
1916,-999.0,-999.0,21.01,24.54,14.16,25.94,46.2,43.89,35.52
1917,-999.0,-999.0,17.2,22.3,11.96,24.37,45.78,42.92,31.37
1918,-999.0,-999.0,14.69,16.57,14.57,32.42,40.44,38.9,36.54
1919,-999.0,-999.0,26.98,27.42,21.79,28.77,46.06,41.56,32.05
1920,-999.0,-999.0,17.34,18.77,17.71,26.75,44.07,41.75,35.94
1921,-999.0,-999.0,27.24,26.6,23.53,30.11,46.85,45.61,35.89
1922,-999.0,-999.0,22.31,23.39,14.32,23.78,47.53,43.74,33.95
1923,-999.0,-999.0,21.66,21.39,17.19,26.67,47.82,45.76,36.17
1924,-999.0,-999.0,23.54,25.61,20.17,29.36,45.45,41.37,34.74
1925,-7.2,-999.0,20.87,24.23,17.58,28.8,46.93,42.11,33.76
1926,7.0,-999.0,23.17,23.33,24.02,32.38,44.54,42.95,36.12
1927,4.57,-999.0,23.02,23.96,19.08,29.19,48.89,44.94,36.45
1928,8.33,-999.0,22.22,25.24,16.87,27.34,44.51,42.04,34.77
1929,11.23,-999.0,18.34,24.67,12.57,22.23,44.31,39.71,31.74
1930,2.17,-999.0,22.75,25.64,17.81,27.73,46.43,42.23,36.4
1931,9.87,-999.0,27.89,24.73,26.24,28.47,43.94,43.9,34.66
1932,-2.33,-999.0,29.31,30.81,19.11,25.32,52.71,45.76,31.97
1933,-0.43,-999.0,24.21,29.15,16.8,23.86,47.8,42.34,29.22
1934,-2.23,-999.0,23.29,20.03,24.67,36.15,46.73,46.11,39.42
1935,7.07,-999.0,22.46,22.02,21.69,29.89,45.3,45.05,37.13
1936,1.3,-999.0,14.11,19.24,10.27,26.42,40.05,39.26,35.49
1937,4.93,-999.0,22.0,28.97,12.19,23.17,48.55,41.99,30.41
1938,0.0,-999.0,23.21,24.83,19.19,31.36,46.61,44.79,37.14
1939,4.33,-999.0,23.74,25.77,19.38,29.4,47.23,43.47,33.46
1940,9.07,-999.0,21.59,21.87,19.99,32.92,40.48,40.11,37.54
1941,6.53,-999.0,23.89,24.11,22.13,32.14,44.87,44.06,37.73
1942,11.03,-999.0,24.88,24.19,20.56,27.76,43.61,42.37,34.28
1943,-2.77,-999.0,20.97,22.78,18.74,28.79,46.03,44.56,37.86
1944,8.77,-999.0,25.81,23.88,22.0,28.48,46.21,42.83,33.82
1945,11.3,-999.0,20.62,21.22,20.61,30.25,44.08,42.55,36.2
1946,4.97,-999.0,21.76,22.68,19.93,28.91,44.32,42.92,33.99
1947,-3.03,-999.0,23.37,25.43,20.43,30.18,45.47,42.35,36.61
1948,5.5,-999.0,20.36,20.64,18.87,29.45,43.25,40.46,34.13
1949,-0.97,-999.0,23.5,29.38,11.08,20.34,50.02,41.63,29.27
1950,-0.23,-999.0,23.59,28.16,14.2,25.55,50.86,45.95,35.18
1951,0.03,-999.0,20.26,26.16,19.29,30.98,44.09,43.0,37.26
1952,0.87,-999.0,24.19,27.13,16.4,25.61,49.09,46.63,33.64
1953,2.2,-999.0,26.12,29.0,23.89,33.39,46.84,44.71,37.02
1954,-1.3,-999.0,26.57,27.97,23.94,31.89,46.89,45.23,37.57
1955,-0.4,-999.0,22.99,24.37,19.46,26.82,44.44,43.33,31.88
1956,-3.1,-999.0,21.06,23.99,15.82,27.4,45.11,42.71,36.43
1957,1.73,-999.0,23.43,25.93,18.3,26.37,50.11,45.57,36.73
1958,2.6,-999.0,23.18,24.49,24.34,33.57,41.32,42.65,37.84
1959,5.4,-999.0,18.28,20.62,17.16,32.2,43.71,40.88,37.6
1960,5.07,-999.0,24.92,27.05,19.66,27.45,44.18,41.12,33.41
1961,8.07,-999.0,22.72,21.13,22.92,31.89,42.79,41.17,36.05
1962,2.8,-999.0,19.53,23.38,16.17,27.75,45.94,42.19,34.02
1963,8.0,-999.0,17.04,20.02,19.84,31.57,40.21,40.4,36.7
1964,5.07,-999.0,21.88,22.03,20.66,28.44,40.3,39.46,32.88
1965,-5.03,-999.0,20.39,23.66,16.87,30.51,45.69,42.99,36.45
1966,0.73,-999.0,22.52,24.87,17.68,29.73,43.19,41.26,33.2
1967,1.6,-999.0,21.85,24.77,21.33,33.08,44.06,42.59,36.08
