Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,69.74,66.97,62.95,60.29,77.81,78.54,69.15
1896,-999.0,-999.0,70.03,66.95,65.33,62.7,78.94,81.01,71.62
1897,-999.0,-999.0,69.22,65.74,64.47,61.14,78.76,79.94,70.1
1898,-999.0,-999.0,70.41,68.42,65.59,62.6,78.7,79.2,71.36
1899,-999.0,-999.0,70.82,67.76,64.31,59.05,79.18,80.49,69.53
1900,-999.0,-999.0,71.44,68.85,67.2,61.11,78.9,80.14,70.67
1901,-999.0,-999.0,73.03,68.83,66.42,60.73,79.0,82.39,71.15
1902,-999.0,-999.0,68.07,64.81,62.93,59.5,79.16,80.47,70.09
1903,-999.0,-999.0,67.19,63.64,63.62,60.91,76.77,77.38,69.89
1904,-999.0,-999.0,67.3,65.71,63.28,61.39,76.91,77.9,69.63
1905,-999.0,-999.0,69.3,66.3,64.3,61.68,77.96,79.35,70.09
1906,-999.0,-999.0,69.52,67.84,63.8,62.19,77.99,77.7,69.41
1907,-999.0,-999.0,68.38,64.95,63.2,59.24,77.57,79.55,68.0
1908,-999.0,-999.0,69.07,67.31,63.43,61.09,77.64,78.53,69.18
1909,-999.0,-999.0,70.38,65.92,66.18,60.52,78.22,80.85,70.62
1910,-999.0,-999.0,69.71,65.99,65.7,60.77,76.64,80.55,71.21
1911,-999.0,-999.0,71.05,67.81,64.88,61.06,78.33,81.28,69.71
1912,-999.0,-999.0,68.11,64.9,63.34,59.97,76.93,79.4,68.57
1913,-999.0,-999.0,71.79,66.58,66.28,61.24,78.37,80.49,69.39
1914,-999.0,-999.0,71.44,66.12,65.95,61.5,79.54,80.49,69.81
1915,-999.0,-999.0,65.59,65.14,61.07,61.69,77.3,77.5,69.26
1916,-999.0,-999.0,70.81,66.86,64.64,59.59,77.51,80.36,69.21
1917,-999.0,-999.0,67.88,66.98,64.63,61.7,77.1,80.35,70.99
1918,-999.0,-999.0,70.52,66.11,66.06,62.49,78.04,82.28,71.37
1919,-999.0,-999.0,71.56,67.49,68.16,62.25,77.89,78.56,71.11
1920,-999.0,-999.0,68.64,66.23,65.06,61.69,76.58,77.93,69.52
1921,-999.0,-999.0,72.98,67.98,67.69,61.97,78.92,79.94,70.48
1922,-999.0,-999.0,70.28,66.87,66.69,63.56,77.66,80.61,71.68
1923,-999.0,-999.0,70.54,65.98,65.66,61.58,77.47,80.53,68.93
1924,-999.0,-999.0,67.58,65.55,63.31,61.39,78.55,81.1,70.95
1925,50.43,-999.0,70.37,67.01,65.39,62.27,79.23,81.7,70.21
1926,52.53,-999.0,68.88,65.41,65.67,63.58,77.92,79.28,71.3
1927,51.17,-999.0,66.45,63.83,63.17,62.04,76.73,78.97,69.96
1928,49.47,-999.0,68.35,66.92,62.96,61.34,77.7,79.35,69.95
1929,50.2,-999.0,68.77,65.53,66.63,62.27,77.15,80.35,70.8
1930,50.37,-999.0,71.39,67.48,67.33,62.2,78.3,80.72,70.79
1931,49.77,-999.0,72.16,68.03,68.53,63.34,78.31,80.07,72.35
1932,48.6,-999.0,71.42,66.85,66.96,61.17,79.21,80.68,70.31
1933,48.87,-999.0,72.57,67.69,68.96,62.89,77.97,81.06,71.91
1934,49.3,-999.0,73.21,67.78,67.97,62.78,79.88,84.2,71.68
1935,49.8,-999.0,70.52,67.88,66.6,61.69,78.2,80.4,71.33
1936,52.53,-999.0,73.68,67.44,71.0,63.62,79.59,82.52,72.4
1937,50.5,-999.0,71.64,68.87,67.74,61.95,78.55,81.97,71.55
1938,49.73,-999.0,71.16,68.33,67.07,62.58,77.9,80.95,70.85
1939,49.63,-999.0,70.84,68.23,66.23,62.1,78.37,81.26,71.4
1940,51.37,-999.0,70.23,66.27,67.83,64.05,77.18,78.85,72.2
1941,51.1,-999.0,71.19,67.15,66.66,62.27,78.58,78.82,68.77
1942,50.97,-999.0,69.72,67.27,64.7,61.96,78.29,79.35,70.76
1943,50.73,-999.0,71.89,68.62,65.81,60.06,80.04,82.07,70.02
1944,50.93,-999.0,70.94,68.48,63.95,60.49,78.63,80.77,68.97
1945,48.97,-999.0,67.82,66.68,63.76,61.73,77.47,78.94,69.92
1946,50.5,-999.0,68.92,65.35,65.75,61.87,76.58,80.63,71.25
1947,49.5,-999.0,70.75,67.78,65.74,60.49,77.35,80.6,69.64
1948,48.53,-999.0,70.22,67.13,65.62,61.07,78.17,80.73,70.02
1949,48.37,-999.0,72.08,70.04,66.63,61.42,78.17,79.61,69.98
1950,51.27,-999.0,67.21,66.06,62.88,61.67,76.51,78.01,69.79
1951,50.87,-999.0,68.01,66.6,62.48,61.54,78.81,80.86,70.37
1952,49.43,-999.0,71.47,69.02,66.14,61.48,80.17,82.5,70.79
1953,51.67,-999.0,71.75,67.58,66.39,60.33,78.86,82.15,70.74
1954,49.87,-999.0,71.59,66.28,66.04,59.22,80.03,82.98,70.49
1955,48.4,-999.0,72.18,69.19,66.7,61.02,77.15,79.81,69.89
1956,49.73,-999.0,70.23,65.89,66.4,61.37,77.88,82.26,70.56
1957,52.7,-999.0,70.47,66.9,66.04,60.92,77.8,80.74,70.8
1958,51.53,-999.0,67.87,65.43,64.43,64.58,77.74,80.56,71.72
1959,49.7,-999.0,71.54,68.49,67.29,62.13,77.74,79.51,72.18
1960,49.63,-999.0,69.23,66.48,66.26,62.74,77.83,79.76,72.27
1961,49.3,-999.0,69.56,66.85,68.47,65.85,75.97,77.76,72.3
1962,51.37,-999.0,69.12,65.86,64.27,60.56,77.71,80.05,70.13
1963,49.0,-999.0,70.25,66.23,67.05,60.54,77.28,81.54,69.96
1964,50.33,-999.0,69.99,66.03,65.34,60.28,77.48,81.04,70.32
1965,48.4,-999.0,68.51,65.64,64.58,61.38,76.79,79.58,68.74
1966,50.0,-999.0,70.28,67.49,65.87,61.13,76.82,79.56,71.1
1967,50.9,-999.0,67.89,67.29,64.67,64.36,75.35,78.52,70.43
1968,51.77,-999.0,69.82,66.8,64.21,61.5,77.65,78.75,69.74
1969,49.17,-999.0,69.07,67.27,64.97,62.0,77.99,80.7,71.11
1970,48.87,-999.0,70.57,67.46,67.68,63.68,77.22,79.95,71.48
1971,50.07,-999.0,69.65,66.79,66.36,62.35,77.1,78.95,71.1
1972,51.33,-999.0,68.67,65.78,65.05,62.68,76.32,78.55,71.07
1973,48.83,-999.0,71.07,69.13,66.58,62.19,77.56,78.66,70.62
1974,50.4,-999.0,69.2,66.46,66.0,62.75,75.93,78.9,71.13
1975,49.57,-999.0,70.79,67.94,65.4,60.97,77.22,78.54,69.53
1976,50.8,-999.0,70.15,66.72,66.44,59.8,75.88,78.08,69.56
1977,52.8,-999.0,69.92,66.44,65.96,63.61,78.77,81.09,72.21
1978,50.8,-999.0,69.86,67.03,64.99,61.65,78.26,80.98,70.98
1979,51.57,-999.0,68.99,66.46,65.5,62.58,76.59,78.52,70.01
1980,49.7,-999.0,71.49,67.32,66.15,59.9,79.59,83.48,71.1
1981,49.47,-999.0,69.99,67.15,65.89,61.92,78.62,79.82,72.54
1982,50.37,-999.0,68.04,65.16,64.89,62.04,77.25,79.69,69.96
1983,50.5,-999.0,73.0,68.39,67.67,60.95,78.28,79.99,69.83
1984,50.13,-999.0,70.89,67.72,67.0,61.7,77.03,80.31,70.63
1985,49.73,-999.0,67.87,65.64,64.8,63.24,77.3,79.47,71.96
1986,50.27,-999.0,69.82,65.98,66.38,63.61,78.89,79.89,71.42
1987,51.27,-999.0,71.95,67.96,65.83,62.08,79.02,79.13,70.41
1988,51.5,-999.0,73.22,68.65,70.04,63.1,78.12,79.99,71.97
1989,52.3,-999.0,69.94,67.31,66.56,62.03,77.13,78.17,70.93
1990,52.77,-999.0,69.81,67.54,66.42,63.24,78.33,80.31,71.49
1991,50.8,-999.0,71.83,68.65,67.41,62.25,78.16,79.61,70.28
1992,51.6,-999.0,66.22,64.94,62.43,63.69,76.24,77.11,70.13
1993,52.8,-999.0,69.82,68.07,61.44,58.0,79.29,80.24,69.34
1994,51.87,-999.0,69.33,68.3,66.08,63.72,77.33,80.65,73.62
1995,51.07,-999.0,72.49,69.31,65.89,60.66,78.52,79.57,70.25
1996,50.2,-999.0,69.37,67.19,66.49,63.44,77.27,79.89,73.01
1997,53.27,-999.0,69.37,66.6,66.21,62.06,76.81,79.17,70.76
1998,50.8,-999.0,70.61,67.55,65.97,64.1,79.9,82.56,71.11
1999,51.77,-999.0,71.18,69.12,65.77,61.47,78.97,80.43,70.25
2000,50.13,-999.0,69.54,65.96,67.09,63.11,78.51,81.09,72.8
