Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1895,-999.0,-999.0,47.26,43.6,42.45,42.65,60.65,61.43,50.52
1896,-999.0,-999.0,48.32,44.83,38.96,39.94,63.67,63.16,49.56
1897,-999.0,-999.0,44.68,44.39,39.56,43.29,62.08,61.58,50.16
1898,-999.0,-999.0,46.94,45.67,39.45,42.54,62.31,60.94,49.79
1899,-999.0,-999.0,44.29,44.37,35.78,40.31,62.34,61.58,49.51
1900,-999.0,-999.0,46.53,42.43,44.6,45.8,60.95,61.13,51.36
1901,-999.0,-999.0,46.14,43.87,43.6,42.87,59.34,60.2,49.88
1902,-999.0,-999.0,48.45,45.95,41.86,41.89,62.43,63.44,49.53
1903,-999.0,-999.0,48.69,48.04,39.78,41.36,62.37,59.78,49.03
1904,-999.0,-999.0,44.14,43.68,39.96,42.81,60.77,62.41,51.44
1905,-999.0,-999.0,47.19,44.44,42.19,44.5,63.75,62.2,49.86
1906,-999.0,-999.0,44.75,42.35,39.69,42.86,60.32,59.75,49.24
1907,-999.0,-999.0,42.95,41.88,38.62,43.14,61.52,61.56,50.27
1908,-999.0,-999.0,47.55,45.33,41.42,42.38,65.14,63.34,49.97
1909,-999.0,-999.0,43.8,43.08,38.3,41.79,61.1,60.92,48.32
1910,-999.0,-999.0,49.77,47.16,47.51,47.15,62.31,63.27,54.13
1911,-999.0,-999.0,48.35,44.43,43.37,41.92,62.28,62.84,50.66
1912,-999.0,-999.0,44.56,43.59,38.09,41.78,61.43,59.21,47.71
1913,-999.0,-999.0,45.41,45.91,40.06,42.13,61.29,60.26,49.4
1914,-999.0,-999.0,46.29,43.27,42.33,45.56,60.15,59.97,51.79
1915,-999.0,-999.0,46.22,43.51,41.65,45.72,59.44,57.59,49.43
1916,-999.0,-999.0,44.79,42.1,40.91,42.44,61.12,62.31,51.29
1917,-999.0,-999.0,43.48,41.46,36.33,38.18,60.15,59.27,45.63
1918,-999.0,-999.0,48.74,46.43,42.61,42.62,63.29,62.61,49.94
1919,-999.0,-999.0,46.33,45.11,41.13,43.57,61.33,60.2,50.72
1920,-999.0,-999.0,44.53,43.01,37.79,40.64,60.18,60.28,48.1
1921,-999.0,-999.0,50.56,49.61,42.42,43.01,63.9,62.83,50.34
1922,-999.0,-999.0,48.64,46.23,40.77,39.77,62.99,61.42,48.0
1923,-999.0,-999.0,43.53,42.06,39.56,42.36,60.65,59.74,49.2
1924,-999.0,-999.0,43.27,41.92,38.36,43.93,58.7,57.54,49.04
1925,24.23,-999.0,48.19,44.8,44.61,45.49,62.56,64.69,52.62
1926,29.27,-999.0,43.76,39.98,43.56,46.79,58.49,58.67,51.9
1927,18.43,-999.0,47.18,44.38,40.34,41.37,63.16,63.5,50.31
1928,21.63,-999.0,45.28,42.24,42.77,44.95,59.82,61.16,51.84
1929,20.93,-999.0,47.58,45.96,40.93,42.09,63.61,62.28,49.28
1930,21.97,-999.0,47.42,44.38,42.75,44.77,61.36,61.52,50.45
1931,22.87,-999.0,45.52,44.94,41.78,45.0,58.01,57.09,51.31
1932,25.57,-999.0,44.53,42.63,40.71,43.11,59.99,60.22,50.1
1933,23.67,-999.0,46.54,44.9,41.22,41.04,62.5,62.58,48.07
1934,24.8,-999.0,47.21,44.31,46.88,49.82,60.97,62.37,56.15
1935,23.37,-999.0,45.63,43.62,38.94,41.53,63.2,62.22,48.91
1936,23.3,-999.0,47.21,46.2,42.97,45.08,62.36,62.86,52.67
1937,21.13,-999.0,45.02,43.17,41.74,43.33,60.28,60.61,50.35
1938,25.53,-999.0,49.22,46.05,42.75,43.28,64.06,63.21,49.89
1939,22.33,-999.0,46.9,43.29,44.33,45.66,61.88,63.16,52.27
1940,28.63,-999.0,43.4,41.62,42.21,46.57,59.5,61.55,52.93
1941,26.0,-999.0,48.27,44.7,43.56,45.73,60.65,60.03,49.63
1942,25.67,-999.0,49.05,47.88,42.04,42.65,61.75,61.03,48.76
1943,24.97,-999.0,43.75,42.35,39.93,42.86,61.17,61.08,52.18
1944,23.17,-999.0,45.6,44.32,39.98,42.64,61.91,59.95,48.27
1945,20.97,-999.0,48.22,48.24,40.62,42.2,64.16,62.12,48.67
1946,20.27,-999.0,50.28,47.18,45.25,44.63,63.6,63.75,51.87
1947,24.47,-999.0,42.96,42.95,39.8,46.59,59.62,58.93,51.99
1948,22.0,-999.0,46.94,45.07,40.84,41.07,63.63,62.09,48.61
1949,23.17,-999.0,47.1,45.58,43.36,45.37,61.23,60.98,50.83
1950,25.6,-999.0,42.6,42.0,36.9,41.22,60.17,60.85,50.6
1951,22.7,-999.0,44.83,45.45,37.68,42.59,60.62,60.42,50.09
1952,20.67,-999.0,45.98,44.58,40.76,43.02,60.79,59.47,49.08
1953,24.8,-999.0,46.11,46.33,39.64,41.92,63.02,62.44,48.66
1954,24.67,-999.0,45.26,44.62,39.36,42.89,61.25,61.4,51.99
1955,21.37,-999.0,49.12,46.81,41.02,38.71,64.15,63.75,48.73
1956,22.73,-999.0,44.99,41.26,40.45,44.07,61.32,62.73,50.96
1957,27.17,-999.0,46.53,45.91,40.83,44.34,62.02,59.57,49.23
1958,27.13,-999.0,46.56,44.5,41.97,44.46,59.85,58.19,49.47
1959,19.13,-999.0,47.78,45.66,41.59,42.7,61.69,61.1,51.16
1960,22.43,-999.0,42.75,43.06,40.0,42.77,57.85,59.26,51.48
1961,21.23,-999.0,45.02,42.86,41.79,43.36,60.14,61.28,50.32
1962,22.77,-999.0,46.9,45.28,41.01,42.46,60.77,61.65,49.92
1963,23.6,-999.0,48.14,44.46,43.55,43.11,63.35,64.82,50.24
1964,18.0,-999.0,47.91,45.66,40.59,40.44,62.23,62.42,47.97
1965,26.97,-999.0,44.87,44.1,37.71,42.31,61.73,60.36,48.42
1966,18.67,-999.0,45.44,43.34,41.78,44.27,60.42,61.39,52.38
1967,26.43,-999.0,46.09,41.47,40.06,41.23,63.12,64.54,49.55
1968,24.47,-999.0,47.81,45.55,41.96,43.45,60.67,60.22,49.65
1969,27.17,-999.0,45.57,44.06,41.36,43.98,59.4,59.03,50.25
1970,25.83,-999.0,46.14,44.54,38.83,41.49,61.65,59.83,48.61
1971,17.77,-999.0,44.79,42.23,41.12,41.76,58.56,61.07,48.95
