Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,15.581,0.678,18.64,5.38,0.929,8.397,9.072,13.97,11.89,1.012,10.882,16.236,7.123,7.659,18.039,17.748,9.94,8.695,9.776,5.968,4.91,18.793,10.423,1.147,4.797,0.65,8.309,8.505,1.639,7.745,9.991,2.935,11.473,10.33,8.714,9.526,7.353,9.643,2.733,19.44,7.844,0.635,5.07,8.517,9.714,8.937,5.67,0.61,9.481,17.043,13.593,
1951,16.362,2.348,17.502,5.645,1.552,15.373,13.287,15.142,12.573,0.954,9.321,10.754,9.997,11.732,13.722,14.511,11.559,11.976,12.452,6.802,5.398,16.347,12.426,1.113,7.588,0.624,10.112,12.186,1.154,7.847,9.523,2.318,6.698,9.882,7.411,8.628,11.492,11.477,4.234,15.939,6.11,1.325,5.706,9.118,9.471,7.685,7.906,1.173,9.372,18.94,-999.0,
1952,14.806,2.095,13.061,6.934,1.245,14.659,14.888,13.513,13.1,0.817,7.567,9.213,6.246,3.341,8.889,15.843,7.962,11.145,9.96,4.784,4.974,12.837,7.59,0.741,3.368,0.726,9.719,14.62,1.133,8.297,13.94,2.161,6.0,6.1,5.09,10.258,10.507,12.606,2.273,10.935,6.518,0.922,6.82,11.011,5.815,7.466,5.263,1.001,10.626,11.462,19.953,
1953,18.622,0.844,13.345,3.506,1.433,15.845,11.281,21.414,16.254,1.207,4.934,5.229,5.615,4.64,7.778,19.569,10.493,8.361,14.702,4.007,6.997,19.118,5.235,1.896,4.057,0.121,10.678,12.019,1.037,8.034,11.918,3.378,4.1,9.524,8.161,8.355,19.794,14.463,4.848,13.394,6.643,0.802,5.429,9.186,9.994,4.803,5.129,0.58,10.53,6.849,13.186,
1954,9.511,2.147,12.062,5.717,0.883,11.086,7.611,11.763,7.713,0.979,8.456,8.938,8.177,5.683,9.199,12.707,11.569,6.998,12.127,6.728,4.181,12.062,9.949,1.155,4.151,0.337,12.238,9.411,1.571,8.448,11.003,3.071,6.641,6.744,6.252,8.669,13.052,9.398,3.149,13.553,5.6,0.743,6.045,8.63,9.023,8.479,8.105,0.383,10.278,16.877,20.277,
1955,13.725,2.024,12.516,5.407,1.296,12.902,9.309,12.006,11.156,1.21,8.365,10.992,4.509,6.032,10.583,17.187,6.824,11.075,12.184,4.22,3.785,14.574,9.091,1.302,3.618,0.742,7.994,10.638,1.568,7.703,11.804,2.631,6.981,9.049,7.228,8.104,12.547,11.058,2.886,14.355,6.76,0.814,5.701,8.795,10.044,6.922,4.255,0.589,11.027,15.94,11.576,
1956,16.237,0.722,11.827,4.065,0.833,7.511,9.0,12.575,13.555,1.151,6.939,8.909,5.025,3.419,13.546,15.96,4.764,8.868,8.908,4.352,4.217,14.07,7.532,0.925,3.109,0.343,5.318,9.469,0.714,5.236,11.992,2.556,8.018,4.98,7.655,8.805,9.244,11.848,2.966,13.314,4.162,0.482,4.601,8.439,8.841,8.749,5.008,0.594,10.428,17.876,18.452,
1957,17.523,1.691,21.738,5.075,2.506,6.206,8.337,18.771,15.864,0.946,10.678,13.9,6.712,8.753,15.015,21.773,4.514,8.419,5.496,5.475,6.236,17.762,11.584,1.353,6.322,0.694,5.469,6.07,1.971,5.406,13.492,2.705,8.291,13.556,6.433,6.248,6.963,14.654,4.298,19.96,10.828,1.183,5.697,10.826,7.303,6.823,4.843,1.036,9.121,13.529,13.884,
1958,14.327,2.066,16.682,6.604,0.988,14.636,17.091,17.322,11.894,0.924,8.406,10.952,5.597,8.857,9.038,15.709,9.184,11.94,13.276,3.706,3.198,18.418,11.771,1.088,5.036,0.507,7.002,16.622,2.424,6.968,14.698,1.701,7.67,8.234,6.765,8.965,15.728,13.366,2.007,10.433,8.799,0.436,4.418,11.279,8.972,7.581,4.985,0.755,10.507,12.885,19.446,
1959,17.254,2.234,14.455,4.243,1.449,11.546,9.015,21.773,16.005,1.455,8.698,10.574,9.506,7.479,9.661,18.642,9.643,8.871,11.625,6.972,5.85,15.714,10.843,1.086,5.504,0.302,7.447,10.625,1.695,7.669,14.915,2.469,8.118,12.573,5.417,8.161,13.926,17.366,2.49,12.979,9.065,0.462,5.671,10.22,9.043,5.308,8.714,0.359,10.519,12.645,16.658,
