Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,1845.0,1705.0,2475.0,514.0,129.0,393.0,945.0,2958.0,1655.0,-999.0,825.0,282.0,923.0,994.0,1283.0,1213.0,2472.0,312.0,931.0,116.0,528.0,350.0,1202.0,2078.0,91.0,1341.0,270.0,875.0,189.0,667.0,614.0,1877.0,432.0,803.0,1956.0,75.0,633.0,344.0,1847.0,513.0,1372.0,2413.0,304.0,1040.0,145.0,83.0,499.0,809.0,106.0
1896,-999.0,2211.0,2129.0,2586.0,649.0,253.0,406.0,932.0,3137.0,2021.0,-999.0,778.0,436.0,895.0,918.0,1407.0,1263.0,2802.0,342.0,955.0,125.0,501.0,391.0,1307.0,2422.0,149.0,1556.0,339.0,782.0,225.0,652.0,914.0,1965.0,458.0,759.0,2179.0,169.0,632.0,365.0,2139.0,552.0,1529.0,2875.0,348.0,1092.0,177.0,141.0,545.0,880.0,180.0
1897,-999.0,2072.0,1916.0,2527.0,678.0,223.0,315.0,754.0,3162.0,1796.0,-999.0,845.0,398.0,893.0,863.0,1494.0,1193.0,2709.0,271.0,756.0,117.0,438.0,392.0,1368.0,2318.0,150.0,1344.0,383.0,921.0,196.0,510.0,789.0,2023.0,369.0,658.0,1972.0,141.0,501.0,270.0,1896.0,612.0,1445.0,2707.0,333.0,981.0,180.0,130.0,481.0,725.0,171.0
1898,-999.0,2009.0,1818.0,2654.0,669.0,246.0,497.0,1058.0,3159.0,1858.0,-999.0,804.0,444.0,885.0,1015.0,1344.0,1417.0,2483.0,397.0,1124.0,166.0,539.0,363.0,1288.0,2166.0,151.0,1513.0,328.0,868.0,250.0,748.0,782.0,2129.0,542.0,911.0,1840.0,150.0,786.0,423.0,2029.0,586.0,1560.0,2527.0,433.0,1201.0,206.0,153.0,497.0,955.0,213.0
1899,-999.0,2129.0,1853.0,2386.0,544.0,221.0,390.0,935.0,3200.0,1893.0,-999.0,820.0,281.0,906.0,1034.0,1434.0,1358.0,2658.0,349.0,972.0,122.0,488.0,392.0,1326.0,2346.0,113.0,1436.0,324.0,876.0,195.0,635.0,791.0,1744.0,461.0,849.0,2004.0,77.0,646.0,355.0,2035.0,575.0,1573.0,2779.0,305.0,1133.0,163.0,86.0,501.0,864.0,146.0
1900,-999.0,2068.0,1874.0,2416.0,521.0,251.0,559.0,1223.0,3154.0,1897.0,-999.0,983.0,359.0,1011.0,1139.0,1509.0,1534.0,2683.0,426.0,1275.0,164.0,605.0,535.0,1436.0,2275.0,166.0,1706.0,520.0,1079.0,257.0,857.0,898.0,1720.0,618.0,969.0,2023.0,97.0,855.0,454.0,2132.0,782.0,1623.0,2683.0,362.0,1406.0,195.0,97.0,590.0,1102.0,260.0
1901,-999.0,1813.0,1879.0,2467.0,615.0,333.0,508.0,1043.0,2735.0,1658.0,-999.0,1133.0,459.0,1054.0,1117.0,1688.0,1325.0,2401.0,438.0,1011.0,176.0,604.0,525.0,1661.0,2048.0,197.0,1343.0,460.0,1191.0,301.0,773.0,884.0,1931.0,561.0,903.0,2195.0,104.0,740.0,440.0,1802.0,812.0,1404.0,2759.0,463.0,1069.0,232.0,97.0,653.0,900.0,258.0
1902,-999.0,2240.0,1755.0,2497.0,540.0,199.0,243.0,780.0,3187.0,1937.0,-999.0,604.0,255.0,649.0,791.0,1237.0,1230.0,2764.0,167.0,821.0,55.0,339.0,286.0,1104.0,2392.0,80.0,1389.0,266.0,699.0,74.0,477.0,814.0,1887.0,288.0,631.0,1887.0,78.0,472.0,185.0,1926.0,458.0,1499.0,2861.0,309.0,980.0,58.0,72.0,339.0,719.0,125.0
1903,-999.0,1726.0,1353.0,2484.0,544.0,172.0,233.0,673.0,2855.0,1579.0,-999.0,579.0,330.0,631.0,756.0,1077.0,1109.0,2186.0,177.0,680.0,41.0,317.0,218.0,998.0,1890.0,87.0,1238.0,252.0,662.0,90.0,417.0,747.0,1788.0,251.0,631.0,1554.0,72.0,412.0,189.0,1717.0,447.0,1221.0,2155.0,348.0,859.0,61.0,84.0,309.0,702.0,132.0
1904,-999.0,1851.0,1503.0,2492.0,675.0,129.0,312.0,740.0,2895.0,1637.0,-999.0,571.0,377.0,578.0,681.0,1099.0,1100.0,2436.0,254.0,751.0,101.0,313.0,211.0,961.0,2056.0,122.0,1189.0,211.0,668.0,145.0,499.0,695.0,1771.0,323.0,564.0,1725.0,128.0,472.0,242.0,1668.0,442.0,1239.0,2548.0,298.0,888.0,108.0,122.0,301.0,665.0,116.0
1905,-999.0,2043.0,1655.0,2517.0,571.0,207.0,353.0,841.0,3251.0,1884.0,-999.0,767.0,390.0,761.0,860.0,1358.0,1226.0,2730.0,283.0,841.0,100.0,404.0,321.0,1174.0,2258.0,157.0,1374.0,320.0,837.0,148.0,569.0,729.0,1718.0,379.0,706.0,1827.0,138.0,551.0,285.0,1944.0,527.0,1424.0,2696.0,361.0,1028.0,112.0,120.0,384.0,778.0,140.0
1906,-999.0,1978.0,1553.0,2445.0,676.0,114.0,471.0,1023.0,2990.0,1758.0,-999.0,789.0,425.0,860.0,942.0,1186.0,1290.0,2558.0,373.0,1021.0,157.0,534.0,363.0,1171.0,2135.0,150.0,1425.0,378.0,771.0,228.0,738.0,656.0,1701.0,512.0,826.0,1597.0,218.0,704.0,360.0,1891.0,505.0,1392.0,2461.0,280.0,1128.0,182.0,190.0,489.0,919.0,118.0
1907,-999.0,1923.0,1709.0,2384.0,426.0,172.0,320.0,679.0,3174.0,1764.0,-999.0,625.0,244.0,616.0,632.0,1259.0,1040.0,2650.0,269.0,644.0,84.0,302.0,269.0,1089.0,2134.0,71.0,1221.0,263.0,808.0,136.0,455.0,648.0,1580.0,325.0,525.0,1818.0,93.0,389.0,273.0,1816.0,461.0,1285.0,2652.0,249.0,796.0,101.0,81.0,319.0,575.0,123.0
1908,-999.0,2005.0,1693.0,2375.0,552.0,164.0,504.0,880.0,3198.0,1779.0,-999.0,708.0,322.0,806.0,925.0,1200.0,1239.0,2672.0,389.0,847.0,172.0,500.0,348.0,1163.0,2212.0,134.0,1216.0,337.0,776.0,250.0,638.0,619.0,1582.0,501.0,761.0,1660.0,144.0,604.0,383.0,1787.0,540.0,1366.0,2582.0,254.0,923.0,206.0,127.0,466.0,771.0,127.0
1909,-999.0,1943.0,1838.0,2449.0,507.0,253.0,322.0,720.0,3136.0,1659.0,-999.0,778.0,357.0,729.0,752.0,1393.0,1099.0,2679.0,253.0,746.0,83.0,420.0,426.0,1244.0,2201.0,144.0,1131.0,423.0,945.0,117.0,474.0,785.0,1693.0,331.0,608.0,2049.0,70.0,450.0,254.0,1685.0,672.0,1305.0,2766.0,377.0,851.0,82.0,69.0,450.0,650.0,246.0
