Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,399.0,343.0,558.0,100.0,19.0,46.0,167.0,796.0,347.0,-999.0,118.0,8.0,136.0,149.0,238.0,229.0,550.0,27.0,164.0,0.0,59.0,32.0,214.0,441.0,4.0,292.0,16.0,138.0,8.0,110.0,69.0,317.0,56.0,129.0,371.0,1.0,98.0,42.0,405.0,64.0,275.0,526.0,23.0,210.0,5.0,1.0,60.0,152.0,8.0
1896,-999.0,387.0,269.0,571.0,93.0,9.0,11.0,76.0,888.0,354.0,-999.0,14.0,16.0,31.0,45.0,117.0,123.0,564.0,7.0,82.0,0.0,5.0,2.0,96.0,391.0,1.0,200.0,2.0,27.0,0.0,38.0,81.0,339.0,17.0,34.0,279.0,7.0,41.0,11.0,347.0,14.0,182.0,514.0,23.0,109.0,0.0,3.0,4.0,70.0,3.0
1897,-999.0,438.0,422.0,505.0,102.0,39.0,13.0,103.0,775.0,341.0,-999.0,191.0,24.0,196.0,159.0,309.0,244.0,611.0,8.0,99.0,0.0,57.0,62.0,338.0,513.0,16.0,240.0,77.0,213.0,0.0,46.0,88.0,352.0,20.0,99.0,434.0,6.0,49.0,10.0,366.0,147.0,298.0,564.0,33.0,147.0,0.0,3.0,82.0,99.0,29.0
1898,-999.0,336.0,311.0,555.0,129.0,7.0,47.0,154.0,858.0,294.0,-999.0,82.0,26.0,117.0,146.0,190.0,242.0,506.0,33.0,155.0,5.0,49.0,22.0,199.0,380.0,6.0,254.0,16.0,86.0,10.0,92.0,70.0,364.0,57.0,120.0,324.0,15.0,86.0,45.0,349.0,50.0,264.0,518.0,27.0,180.0,10.0,12.0,39.0,118.0,7.0
1899,-999.0,343.0,293.0,567.0,155.0,20.0,9.0,76.0,819.0,273.0,-999.0,63.0,39.0,70.0,98.0,207.0,166.0,516.0,6.0,74.0,0.0,13.0,6.0,171.0,397.0,15.0,200.0,12.0,90.0,0.0,34.0,99.0,376.0,15.0,68.0,348.0,19.0,31.0,9.0,317.0,32.0,198.0,572.0,42.0,112.0,0.0,14.0,14.0,69.0,12.0
1900,-999.0,515.0,446.0,436.0,63.0,10.0,66.0,214.0,937.0,441.0,-999.0,104.0,15.0,138.0,191.0,242.0,334.0,751.0,29.0,246.0,2.0,76.0,26.0,244.0,586.0,4.0,363.0,10.0,109.0,9.0,126.0,74.0,200.0,78.0,169.0,432.0,6.0,128.0,42.0,495.0,42.0,377.0,703.0,11.0,282.0,9.0,4.0,45.0,220.0,7.0
1901,-999.0,267.0,277.0,519.0,75.0,10.0,30.0,100.0,740.0,237.0,-999.0,65.0,9.0,71.0,91.0,193.0,136.0,473.0,24.0,93.0,5.0,27.0,6.0,177.0,330.0,1.0,182.0,5.0,74.0,8.0,64.0,89.0,347.0,32.0,67.0,374.0,1.0,46.0,31.0,291.0,29.0,152.0,590.0,17.0,107.0,3.0,1.0,17.0,67.0,4.0
1902,-999.0,327.0,181.0,554.0,129.0,3.0,18.0,85.0,940.0,262.0,-999.0,24.0,18.0,34.0,61.0,101.0,135.0,544.0,10.0,77.0,0.0,14.0,3.0,80.0,368.0,4.0,175.0,6.0,40.0,0.0,42.0,59.0,424.0,22.0,56.0,202.0,9.0,32.0,15.0,299.0,17.0,162.0,560.0,29.0,101.0,3.0,3.0,5.0,72.0,4.0
1903,-999.0,309.0,197.0,528.0,118.0,4.0,17.0,88.0,680.0,252.0,-999.0,34.0,12.0,55.0,88.0,141.0,153.0,435.0,14.0,86.0,2.0,21.0,4.0,117.0,337.0,3.0,159.0,2.0,51.0,7.0,44.0,62.0,281.0,23.0,79.0,252.0,7.0,42.0,15.0,263.0,19.0,173.0,444.0,13.0,103.0,3.0,2.0,14.0,78.0,1.0
1904,-999.0,424.0,324.0,489.0,153.0,12.0,13.0,84.0,779.0,344.0,-999.0,69.0,42.0,68.0,95.0,210.0,188.0,608.0,7.0,86.0,0.0,21.0,6.0,173.0,492.0,10.0,177.0,9.0,87.0,0.0,39.0,74.0,277.0,15.0,74.0,366.0,14.0,42.0,10.0,318.0,41.0,237.0,601.0,27.0,119.0,0.0,12.0,16.0,100.0,9.0
